TKT,I1,P
159,nonwinner12.ai,1
160,nonwinner03.ai,1
161,nonwinner09.ai,1
162,nonwinner15.ai,1
163,nonwinner07.ai,1
164,nonwinner14.ai,1
165,nonwinner04.ai,1
166,nonwinner02.ai,1
167,nonwinner01.ai,1
168,nonwinner05.ai,1
169,nonwinner13.ai,1
170,nonwinner11.ai,1
171,nonwinner10.ai,1
172,nonwinner06.ai,1
173,nonwinner08.ai,1
174,nonwinner12.ai,1
175,nonwinner03.ai,1
176,nonwinner09.ai,1
177,nonwinner15.ai,1
178,nonwinner07.ai,1
179,nonwinner14.ai,1
180,nonwinner04.ai,1
181,nonwinner02.ai,1
182,nonwinner01.ai,1
183,nonwinner05.ai,1
184,nonwinner13.ai,1
185,nonwinner11.ai,1
186,nonwinner10.ai,1
187,nonwinner06.ai,1
188,nonwinner08.ai,1
189,nonwinner12.ai,1
190,nonwinner03.ai,1
191,nonwinner09.ai,1
192,nonwinner15.ai,1
193,nonwinner07.ai,1
194,nonwinner14.ai,1
195,nonwinner04.ai,1
196,nonwinner02.ai,1
197,nonwinner01.ai,1
198,nonwinner05.ai,1
199,nonwinner13.ai,1
200,nonwinner11.ai,1
201,nonwinner10.ai,1
202,nonwinner06.ai,1
203,nonwinner08.ai,1
204,nonwinner12.ai,1
205,nonwinner03.ai,1
206,nonwinner09.ai,1
207,nonwinner15.ai,1
208,nonwinner07.ai,1
209,nonwinner14.ai,1
210,nonwinner04.ai,1
211,nonwinner02.ai,1
212,nonwinner01.ai,1
213,nonwinner05.ai,1
214,nonwinner13.ai,1
215,nonwinner11.ai,1
216,nonwinner10.ai,1
217,nonwinner06.ai,1
218,nonwinner08.ai,1
219,nonwinner12.ai,1
220,nonwinner03.ai,1
221,nonwinner09.ai,1
222,nonwinner15.ai,1
223,nonwinner07.ai,1
224,nonwinner14.ai,1
225,nonwinner04.ai,1
226,nonwinner02.ai,1
227,nonwinner01.ai,1
228,nonwinner05.ai,1
229,nonwinner13.ai,1
230,nonwinner11.ai,1
231,nonwinner10.ai,1
232,nonwinner06.ai,1
233,nonwinner08.ai,1
234,nonwinner12.ai,1
235,nonwinner03.ai,1
236,nonwinner09.ai,1
237,nonwinner15.ai,1
238,nonwinner07.ai,1
239,nonwinner14.ai,1
240,nonwinner04.ai,1
241,nonwinner02.ai,1
242,nonwinner01.ai,1
243,nonwinner05.ai,1
244,nonwinner13.ai,1
245,nonwinner11.ai,1
246,nonwinner10.ai,1
247,nonwinner06.ai,1
248,nonwinner08.ai,1
249,nonwinner12.ai,1
250,nonwinner03.ai,1
251,nonwinner09.ai,1
252,nonwinner15.ai,1
253,nonwinner07.ai,1
254,nonwinner14.ai,1
255,nonwinner04.ai,1
256,nonwinner02.ai,1
257,nonwinner01.ai,1
258,nonwinner05.ai,1
259,nonwinner13.ai,1
260,nonwinner11.ai,1
261,nonwinner10.ai,1
262,nonwinner06.ai,1
263,nonwinner08.ai,1
264,nonwinner12.ai,1
265,nonwinner03.ai,1
266,nonwinner09.ai,1
267,nonwinner15.ai,1
268,nonwinner07.ai,1
269,nonwinner14.ai,1
270,nonwinner04.ai,1
271,nonwinner02.ai,1
272,nonwinner01.ai,1
273,nonwinner05.ai,1
274,nonwinner13.ai,1
275,nonwinner11.ai,1
276,nonwinner10.ai,1
277,nonwinner06.ai,1
278,nonwinner08.ai,1
279,nonwinner12.ai,1
280,nonwinner03.ai,1
281,nonwinner09.ai,1
282,nonwinner15.ai,1
283,nonwinner07.ai,1
284,nonwinner14.ai,1
285,nonwinner04.ai,1
286,nonwinner02.ai,1
287,nonwinner01.ai,1
288,nonwinner05.ai,1
289,nonwinner13.ai,1
290,nonwinner11.ai,1
291,nonwinner10.ai,1
292,nonwinner06.ai,1
293,nonwinner08.ai,1
294,nonwinner12.ai,1
295,nonwinner03.ai,1
296,nonwinner09.ai,1
297,nonwinner15.ai,1
298,nonwinner07.ai,1
299,nonwinner14.ai,1
300,nonwinner04.ai,1
301,nonwinner02.ai,1
302,nonwinner01.ai,1
303,nonwinner05.ai,1
304,nonwinner13.ai,1
305,nonwinner11.ai,1
306,nonwinner10.ai,1
307,nonwinner06.ai,1
308,nonwinner08.ai,1
309,nonwinner12.ai,1
310,nonwinner03.ai,1
311,nonwinner09.ai,1
312,nonwinner15.ai,1
313,nonwinner07.ai,1
314,nonwinner14.ai,1
315,nonwinner04.ai,1
316,nonwinner02.ai,1
317,nonwinner01.ai,1
318,nonwinner05.ai,1
319,nonwinner13.ai,1
320,nonwinner11.ai,1
321,nonwinner10.ai,1
322,nonwinner06.ai,1
323,nonwinner08.ai,1
324,nonwinner12.ai,1
325,nonwinner03.ai,1
326,nonwinner09.ai,1
327,nonwinner15.ai,1
328,nonwinner07.ai,1
329,nonwinner14.ai,1
330,nonwinner04.ai,1
331,nonwinner02.ai,1
332,nonwinner01.ai,1
333,nonwinner05.ai,1
334,nonwinner13.ai,1
335,nonwinner11.ai,1
336,nonwinner10.ai,1
337,nonwinner06.ai,1
338,nonwinner08.ai,1
339,nonwinner12.ai,1
340,nonwinner03.ai,1
341,nonwinner09.ai,1
342,nonwinner15.ai,1
343,nonwinner07.ai,1
344,nonwinner14.ai,1
345,nonwinner04.ai,1
346,nonwinner02.ai,1
347,nonwinner01.ai,1
348,nonwinner05.ai,1
349,nonwinner13.ai,1
350,nonwinner11.ai,1
351,nonwinner10.ai,1
352,nonwinner06.ai,1
353,nonwinner08.ai,1
354,nonwinner12.ai,1
355,nonwinner03.ai,1
356,nonwinner09.ai,1
357,nonwinner15.ai,1
358,nonwinner07.ai,1
359,nonwinner14.ai,1
360,nonwinner04.ai,1
361,nonwinner02.ai,1
362,nonwinner01.ai,1
363,nonwinner05.ai,1
364,nonwinner13.ai,1
365,nonwinner11.ai,1
366,nonwinner10.ai,1
367,nonwinner06.ai,1
368,nonwinner08.ai,1
369,nonwinner12.ai,1
370,nonwinner03.ai,1
371,nonwinner09.ai,1
372,nonwinner15.ai,1
373,nonwinner07.ai,1
374,nonwinner14.ai,1
375,nonwinner04.ai,1
376,nonwinner02.ai,1
377,nonwinner01.ai,1
378,nonwinner05.ai,1
379,nonwinner13.ai,1
380,nonwinner11.ai,1
381,nonwinner10.ai,1
382,nonwinner06.ai,1
383,nonwinner08.ai,1
384,nonwinner12.ai,1
385,nonwinner03.ai,1
386,nonwinner09.ai,1
387,nonwinner15.ai,1
388,nonwinner07.ai,1
389,nonwinner14.ai,1
390,nonwinner04.ai,1
391,nonwinner02.ai,1
392,nonwinner01.ai,1
393,nonwinner05.ai,1
394,nonwinner13.ai,1
395,nonwinner11.ai,1
396,nonwinner10.ai,1
397,nonwinner06.ai,1
398,nonwinner08.ai,1
399,nonwinner12.ai,1
400,nonwinner03.ai,1
401,nonwinner09.ai,1
402,nonwinner15.ai,1
403,nonwinner07.ai,1
404,nonwinner14.ai,1
405,nonwinner04.ai,1
406,nonwinner02.ai,1
407,nonwinner01.ai,1
408,nonwinner05.ai,1
409,nonwinner13.ai,1
410,nonwinner11.ai,1
411,nonwinner10.ai,1
412,nonwinner06.ai,1
413,nonwinner08.ai,1
414,nonwinner12.ai,1
415,nonwinner03.ai,1
416,nonwinner09.ai,1
417,nonwinner15.ai,1
418,nonwinner07.ai,1
419,nonwinner14.ai,1
420,nonwinner04.ai,1
421,nonwinner02.ai,1
422,nonwinner01.ai,1
423,nonwinner05.ai,1
424,nonwinner13.ai,1
425,nonwinner11.ai,1
426,nonwinner10.ai,1
427,nonwinner06.ai,1
428,nonwinner08.ai,1
429,nonwinner12.ai,1
430,nonwinner03.ai,1
431,nonwinner09.ai,1
432,nonwinner15.ai,1
433,nonwinner07.ai,1
434,nonwinner14.ai,1
435,nonwinner04.ai,1
436,nonwinner02.ai,1
437,nonwinner01.ai,1
438,nonwinner05.ai,1
439,nonwinner13.ai,1
440,nonwinner11.ai,1
441,nonwinner10.ai,1
442,nonwinner06.ai,1
443,nonwinner08.ai,1
444,nonwinner12.ai,1
445,nonwinner03.ai,1
446,nonwinner09.ai,1
447,nonwinner15.ai,1
448,nonwinner07.ai,1
449,nonwinner14.ai,1
450,nonwinner04.ai,1
451,nonwinner02.ai,1
452,nonwinner01.ai,1
453,nonwinner05.ai,1
454,nonwinner13.ai,1
455,nonwinner11.ai,1
456,nonwinner10.ai,1
457,nonwinner06.ai,1
458,nonwinner08.ai,1
459,nonwinner12.ai,1
460,nonwinner03.ai,1
461,nonwinner09.ai,1
462,nonwinner15.ai,1
463,nonwinner07.ai,1
464,nonwinner14.ai,1
465,nonwinner04.ai,1
466,nonwinner02.ai,1
467,nonwinner01.ai,1
468,nonwinner05.ai,1
469,nonwinner13.ai,1
470,nonwinner11.ai,1
471,nonwinner10.ai,1
472,nonwinner06.ai,1
473,nonwinner08.ai,1
474,nonwinner12.ai,1
475,nonwinner03.ai,1
476,nonwinner09.ai,1
477,nonwinner15.ai,1
478,nonwinner07.ai,1
479,nonwinner14.ai,1
480,nonwinner04.ai,1
481,nonwinner02.ai,1
482,nonwinner01.ai,1
483,nonwinner05.ai,1
484,nonwinner13.ai,1
485,nonwinner11.ai,1
486,nonwinner10.ai,1
487,nonwinner06.ai,1
488,nonwinner08.ai,1
489,nonwinner12.ai,1
490,nonwinner03.ai,1
491,nonwinner09.ai,1
492,nonwinner15.ai,1
493,nonwinner07.ai,1
494,nonwinner14.ai,1
495,nonwinner04.ai,1
496,nonwinner02.ai,1
497,nonwinner01.ai,1
498,nonwinner05.ai,1
499,nonwinner13.ai,1
500,nonwinner11.ai,1
501,nonwinner10.ai,1
502,nonwinner06.ai,1
503,nonwinner08.ai,1
504,nonwinner12.ai,1
505,nonwinner03.ai,1
506,nonwinner09.ai,1
507,nonwinner15.ai,1
508,nonwinner07.ai,1
509,nonwinner14.ai,1
510,nonwinner04.ai,1
511,nonwinner02.ai,1
512,nonwinner01.ai,1
513,nonwinner05.ai,1
514,nonwinner13.ai,1
515,nonwinner11.ai,1
516,nonwinner10.ai,1
517,nonwinner06.ai,1
518,nonwinner08.ai,1
519,nonwinner12.ai,1
520,nonwinner03.ai,1
521,nonwinner09.ai,1
522,nonwinner15.ai,1
523,nonwinner07.ai,1
524,nonwinner14.ai,1
525,nonwinner04.ai,1
526,nonwinner02.ai,1
527,nonwinner01.ai,1
528,nonwinner05.ai,1
529,nonwinner13.ai,1
530,nonwinner11.ai,1
531,nonwinner10.ai,1
532,nonwinner06.ai,1
533,nonwinner08.ai,1
534,nonwinner12.ai,1
535,nonwinner03.ai,1
536,nonwinner09.ai,1
537,nonwinner15.ai,1
538,nonwinner07.ai,1
539,nonwinner14.ai,1
540,nonwinner04.ai,1
541,nonwinner02.ai,1
542,nonwinner01.ai,1
543,nonwinner05.ai,1
544,nonwinner13.ai,1
545,nonwinner11.ai,1
546,nonwinner10.ai,1
547,nonwinner06.ai,1
548,nonwinner08.ai,1
549,nonwinner12.ai,1
550,nonwinner03.ai,1
551,nonwinner09.ai,1
552,nonwinner15.ai,1
553,nonwinner07.ai,1
554,nonwinner14.ai,1
555,nonwinner04.ai,1
556,nonwinner02.ai,1
557,nonwinner01.ai,1
558,nonwinner05.ai,1
559,nonwinner13.ai,1
560,nonwinner11.ai,1
561,nonwinner10.ai,1
562,hold01.ai,1
563,hold02.ai,1
564,hold03.ai,1
565,hold04.ai,1
566,hold05.ai,1
567,hold06.ai,1
568,hold07.ai,1
569,hold08.ai,1
570,hold09.ai,1
571,hold10.ai,1
572,hold11.ai,1
573,hold12.ai,1
574,hold13.ai,1
575,hold14.ai,1
576,hold15.ai,1
577,winner01.ai,1
578,winner02.ai,1
579,winner02.ai,1
580,winner02.ai,1
581,winner03.ai,1
582,winner03.ai,1
583,winner03.ai,1
584,winner03.ai,1
585,winner03.ai,1
586,winner04.ai,1
587,winner04.ai,1
588,winner04.ai,1
589,winner04.ai,1
590,winner04.ai,1
591,winner04.ai,1
592,winner04.ai,1
593,winner04.ai,1
594,winner04.ai,1
595,winner04.ai,1
596,winner04.ai,1
597,winner04.ai,1
598,winner04.ai,1
599,winner04.ai,1
600,winner04.ai,1
601,winner04.ai,1
602,winner04.ai,1
603,winner04.ai,1
604,winner04.ai,1
605,winner04.ai,1
606,winner04.ai,1
607,winner04.ai,1
608,winner04.ai,1
609,winner04.ai,1
610,winner04.ai,1
611,winner05.ai,1
612,winner05.ai,1
613,winner05.ai,1
614,winner05.ai,1
615,winner05.ai,1
616,winner05.ai,1
617,winner05.ai,1
618,winner05.ai,1
619,winner05.ai,1
620,winner05.ai,1
621,winner05.ai,1
622,winner05.ai,1
623,winner05.ai,1
624,winner05.ai,1
625,winner05.ai,1
626,winner05.ai,1
627,winner05.ai,1
628,winner05.ai,1
629,winner05.ai,1
630,winner05.ai,1
631,winner05.ai,1
632,winner05.ai,1
633,winner05.ai,1
634,winner05.ai,1
635,winner05.ai,1
636,winner05.ai,1
637,winner05.ai,1
638,winner05.ai,1
639,winner05.ai,1
640,winner05.ai,1
641,winner05.ai,1
642,winner05.ai,1
643,winner05.ai,1
644,winner05.ai,1
645,winner05.ai,1
646,winner05.ai,1
647,winner05.ai,1
648,winner05.ai,1
649,winner05.ai,1
650,winner05.ai,1
651,winner05.ai,1
652,winner05.ai,1
653,winner05.ai,1
654,winner05.ai,1
655,winner05.ai,1
656,winner05.ai,1
657,winner05.ai,1
658,winner05.ai,1
659,winner05.ai,1
660,winner05.ai,1
