part,up,tier,position
AAA-14R_102,27,3,53
AAA-14R_103,17,2,33
AAA-14R_103,22,2,44
AAA-14R_105,1,1,1
AAA-14R_105,3,2,5
AAA-14R_106,10,2,20
AAA-14R_107,6,2,11
AAA-14R_107,26,3,52
AAA-14R_108,10,3,19
AAA-14R_108,12,3,23
AAA-14R_108,16,3,31
AAA-14R_109,8,2,15
AAA-14R_109,24,3,48
AAA-14R_110,9,3,17
AAA-14R_111,10,3,20
AAA-14R_112,3,3,6
AAA-14R_113,12,1,23
AAA-14R_113,28,3,55
AAA-14R_115,16,1,31
AAA-14R_115,21,2,42
AAA-14R_116,9,2,17
AAA-14R_116,21,3,42
AAA-14R_116,28,2,55
AAA-14R_117,4,2,8
AAA-14R_117,17,2,33
AAA-14R_118,9,3,18
AAA-14R_118,17,1,33
AAA-14R_119,1,2,2
AAA-14R_119,4,2,8
AAA-14R_119,13,2,25
AAA-14R_120,11,2,21
AAA-14R_120,28,3,55
AAA-14R_121,2,3,3
AAA-14R_121,5,1,9
AAA-14R_121,24,3,47
AAA-14R_123,7,3,14
AAA-14R_123,11,3,22
AAA-14R_124,8,3,16
AAA-14R_124,12,3,24
AAA-14R_126,4,3,7
AAA-14R_126,5,2,10
AAA-14R_126,25,3,50
AAA-14R_127,23,3,46
AAA-14R_127,25,3,50
AAA-14R_127,28,3,55
AAA-14R_128,8,3,15
AAA-14R_128,9,2,17
AAA-14R_128,19,3,37
AAA-14R_130,8,2,15
AAA-14R_130,11,3,22
AAA-14R_130,13,3,26
AAA-14R_130,26,3,52
AAA-14R_131,12,3,24
AAA-14R_131,13,3,26
AAA-14R_132,14,3,28
AAA-14R_134,1,3,2
AAA-14R_134,2,2,3
AAA-14R_134,4,3,8
AAA-14R_134,9,3,17
AAA-14R_134,24,2,47
AAA-14R_135,13,1,26
AAA-14R_135,27,3,54
AAA-14R_136,10,2,20
AAA-14R_136,22,3,44
AAA-14R_136,24,2,48
AAA-14R_136,28,2,55
AAA-14R_138,17,2,33
AAA-14R_139,12,2,24
AAA-14R_140,16,3,32
AAA-14R_142,1,3,2
AAA-14R_142,11,2,21
AAA-14R_142,25,3,50
AAA-14R_143,12,2,24
AAA-14R_143,15,3,29
AAA-14R_144,14,1,28
AAA-14R_145,21,3,42
AAA-14R_146,20,2,39
AAA-14R_146,26,1,52
AAA-14R_147,15,1,30
AAA-14R_148,21,2,42
AAA-14R_148,22,3,43
AAA-14R_150,1,2,2
AAA-14R_150,26,2,51
AAA-14R_150,26,3,52
AAA-14R_150,27,3,53
AAA-14R_151,6,2,11
AAA-14R_151,13,2,26
AAA-14R_152,1,2,1
AAA-14R_152,19,2,38
AAA-14R_152,25,2,49
AAA-14R_153,1,3,2
AAA-14R_154,19,3,38
AAA-14R_156,20,1,40
AAA-14R_156,24,3,47
AAA-14R_156,27,2,53
AAA-14R_157,15,2,30
AAA-14R_158,22,3,43
AAA-14R_160,21,3,41
AAA-14R_161,20,3,39
AAA-14R_162,7,3,13
AAA-14R_164,23,2,46
AAA-14R_164,24,2,47
AAA-14R_165,22,1,43
AAA-14R_166,19,3,38
AAA-14R_167,13,3,26
