TKT,I1,P,Up
76,nonwinner02.ai,1,3
459,nonwinner14.ai,1,4
391,nonwinner02.ai,1,4
157,nonwinner01.ai,1,4
222,nonwinner08.ai,1,4
124,nonwinner05.ai,1,4
269,nonwinner03.ai,1,4
68,nonwinner04.ai,1,4
301,nonwinner02.ai,1,4
167,nonwinner11.ai,1,4
526,nonwinner02.ai,1,4
87,nonwinner08.ai,1,5
207,nonwinner08.ai,1,5
452,nonwinner11.ai,1,5
609,nonwinner14.ai,1,5
70,nonwinner09.ai,1,5
418,nonwinner07.ai,1,5
122,nonwinner11.ai,1,5
92,nonwinner11.ai,1,5
465,nonwinner12.ai,1,5
565,nonwinner09.ai,1,5
634,nonwinner05.ai,1,6
218,nonwinner04.ai,1,6
249,nonwinner14.ai,1,6
443,nonwinner04.ai,1,6
202,nonwinner01.ai,1,6
638,hold04.ai,1,6
414,nonwinner14.ai,1,6
84,nonwinner14.ai,1,6
636,hold02.ai,1,6
146,nonwinner15.ai,1,6
396,nonwinner13.ai,1,7
106,nonwinner02.ai,1,7
406,nonwinner02.ai,1,7
619,nonwinner05.ai,1,7
325,nonwinner09.ai,1,7
505,nonwinner09.ai,1,7
364,nonwinner05.ai,1,7
14,nonwinner03.ai,1,7
307,nonwinner01.ai,1,7
279,nonwinner14.ai,1,7
377,nonwinner11.ai,1,8
106,nonwinner02.ai,1,8
443,nonwinner04.ai,1,8
627,nonwinner08.ai,1,8
367,nonwinner01.ai,1,8
18,nonwinner10.ai,1,8
420,nonwinner12.ai,1,8
342,nonwinner08.ai,1,8
317,nonwinner11.ai,1,8
306,nonwinner13.ai,1,8
9,nonwinner14.ai,1,1
154,nonwinner05.ai,1,1
416,nonwinner15.ai,1,1
243,nonwinner10.ai,1,1
234,nonwinner14.ai,1,1
624,nonwinner14.ai,1,1
518,nonwinner04.ai,1,1
396,nonwinner13.ai,1,1
155,nonwinner06.ai,1,1
6,nonwinner13.ai,1,1
132,nonwinner08.ai,1,2
212,nonwinner11.ai,1,2
269,nonwinner03.ai,1,2
650,winner01.ai,1,2
446,nonwinner15.ai,1,2
349,nonwinner05.ai,1,2
184,nonwinner05.ai,1,2
584,nonwinner03.ai,1,2
134,nonwinner03.ai,1,2
479,nonwinner03.ai,1,2
464,nonwinner03.ai,1,3
206,nonwinner15.ai,1,3
37,nonwinner01.ai,1,3
208,nonwinner07.ai,1,3
42,nonwinner08.ai,1,3
335,nonwinner06.ai,1,3
590,nonwinner06.ai,1,3
118,nonwinner07.ai,1,3
508,nonwinner07.ai,1,3
439,nonwinner05.ai,1,3
489,nonwinner14.ai,1,4
49,nonwinner05.ai,1,4
125,nonwinner06.ai,1,4
395,nonwinner06.ai,1,4
127,nonwinner01.ai,1,4
128,nonwinner04.ai,1,4
35,nonwinner06.ai,1,4
610,nonwinner09.ai,1,4
642,hold08.ai,1,4
656,winner02.ai,1,4
83,nonwinner04.ai,1,5
228,nonwinner10.ai,1,5
3,nonwinner10.ai,1,5
50,nonwinner06.ai,1,5
541,nonwinner02.ai,1,5
424,nonwinner05.ai,1,5
324,nonwinner14.ai,1,5
489,nonwinner14.ai,1,5
244,nonwinner05.ai,1,5
187,nonwinner01.ai,1,5
41,nonwinner15.ai,1,6
51,nonwinner13.ai,1,6
596,nonwinner15.ai,1,6
230,nonwinner06.ai,1,6
653,winner02.ai,1,6
424,nonwinner05.ai,1,6
119,nonwinner03.ai,1,6
553,nonwinner07.ai,1,6
417,nonwinner08.ai,1,6
460,nonwinner09.ai,1,6
386,nonwinner15.ai,1,7
557,nonwinner11.ai,1,7
261,nonwinner13.ai,1,7
155,nonwinner06.ai,1,7
504,nonwinner14.ai,1,7
481,nonwinner02.ai,1,7
278,nonwinner04.ai,1,7
561,nonwinner13.ai,1,7
443,nonwinner04.ai,1,7
49,nonwinner05.ai,1,7
626,nonwinner15.ai,1,8
478,nonwinner07.ai,1,8
210,nonwinner12.ai,1,8
98,nonwinner04.ai,1,8
132,nonwinner08.ai,1,8
239,nonwinner03.ai,1,8
621,nonwinner13.ai,1,8
552,nonwinner08.ai,1,8
269,nonwinner03.ai,1,8
184,nonwinner05.ai,1,8
583,nonwinner07.ai,1,1
21,nonwinner13.ai,1,1
140,nonwinner06.ai,1,1
445,nonwinner09.ai,1,1
497,nonwinner11.ai,1,1
248,nonwinner04.ai,1,1
237,nonwinner08.ai,1,1
490,nonwinner09.ai,1,1
592,nonwinner01.ai,1,1
329,nonwinner03.ai,1,1
622,nonwinner01.ai,1,2
324,nonwinner14.ai,1,2
534,nonwinner14.ai,1,2
473,nonwinner04.ai,1,2
483,nonwinner10.ai,1,2
14,nonwinner03.ai,1,2
461,nonwinner15.ai,1,2
389,nonwinner03.ai,1,2
556,nonwinner02.ai,1,2
137,nonwinner11.ai,1,2
616,nonwinner02.ai,1,3
52,nonwinner01.ai,1,3
312,nonwinner08.ai,1,3
350,nonwinner06.ai,1,3
410,nonwinner06.ai,1,3
123,nonwinner10.ai,1,3
588,nonwinner10.ai,1,3
124,nonwinner05.ai,1,3
649,hold15.ai,1,3
438,nonwinner10.ai,1,3
643,hold09.ai,1,4
404,nonwinner03.ai,1,4
454,nonwinner05.ai,1,4
577,nonwinner01.ai,1,4
399,nonwinner14.ai,1,4
660,winner02.ai,1,4
289,nonwinner05.ai,1,4
591,nonwinner13.ai,1,4
247,nonwinner01.ai,1,4
200,nonwinner06.ai,1,4
176,nonwinner15.ai,1,5
239,nonwinner03.ai,1,5
387,nonwinner08.ai,1,5
512,nonwinner11.ai,1,5
623,nonwinner04.ai,1,5
650,winner01.ai,1,5
428,nonwinner04.ai,1,5
517,nonwinner01.ai,1,5
78,nonwinner10.ai,1,5
435,nonwinner12.ai,1,5
95,nonwinner06.ai,1,6
115,nonwinner09.ai,1,6
143,nonwinner04.ai,1,6
467,nonwinner11.ai,1,6
533,nonwinner04.ai,1,6
524,nonwinner03.ai,1,6
252,nonwinner08.ai,1,6
422,nonwinner11.ai,1,6
498,nonwinner10.ai,1,6
32,nonwinner11.ai,1,6
116,nonwinner15.ai,1,7
514,nonwinner05.ai,1,7
572,nonwinner11.ai,1,7
327,nonwinner08.ai,1,7
142,nonwinner01.ai,1,7
427,nonwinner01.ai,1,7
562,nonwinner01.ai,1,7
244,nonwinner05.ai,1,7
171,nonwinner13.ai,1,7
38,nonwinner04.ai,1,7
206,nonwinner15.ai,1,8
635,hold01.ai,1,8
164,nonwinner03.ai,1,8
111,nonwinner13.ai,1,8
389,nonwinner03.ai,1,8
87,nonwinner08.ai,1,8
312,nonwinner08.ai,1,8
223,nonwinner07.ai,1,8
33,nonwinner10.ai,1,8
85,nonwinner09.ai,1,8
323,nonwinner04.ai,1,1
294,nonwinner14.ai,1,1
441,nonwinner13.ai,1,1
219,nonwinner14.ai,1,1
176,nonwinner15.ai,1,1
535,nonwinner09.ai,1,1
485,nonwinner06.ai,1,1
162,nonwinner08.ai,1,1
282,nonwinner08.ai,1,1
174,nonwinner14.ai,1,1
286,nonwinner02.ai,1,2
443,nonwinner04.ai,1,2
599,nonwinner03.ai,1,2
123,nonwinner10.ai,1,2
44,nonwinner03.ai,1,2
3,nonwinner10.ai,1,2
306,nonwinner13.ai,1,2
276,nonwinner13.ai,1,2
510,nonwinner12.ai,1,2
24,nonwinner14.ai,1,2
225,nonwinner12.ai,1,3
497,nonwinner11.ai,1,3
365,nonwinner06.ai,1,3
581,nonwinner15.ai,1,3
592,nonwinner01.ai,1,3
288,nonwinner10.ai,1,3
103,nonwinner07.ai,1,3
47,nonwinner11.ai,1,3
580,nonwinner09.ai,1,3
316,nonwinner02.ai,1,3
571,nonwinner02.ai,1,4
549,nonwinner14.ai,1,4
79,nonwinner05.ai,1,4
515,nonwinner06.ai,1,4
78,nonwinner10.ai,1,4
218,nonwinner04.ai,1,4
516,nonwinner13.ai,1,4
474,nonwinner14.ai,1,4
628,nonwinner07.ai,1,4
539,nonwinner03.ai,1,4
523,nonwinner07.ai,1,5
186,nonwinner13.ai,1,5
553,nonwinner07.ai,1,5
179,nonwinner03.ai,1,5
396,nonwinner13.ai,1,5
640,hold06.ai,1,5
473,nonwinner04.ai,1,5
399,nonwinner14.ai,1,5
464,nonwinner03.ai,1,5
654,winner02.ai,1,5
140,nonwinner06.ai,1,6
425,nonwinner06.ai,1,6
30,nonwinner12.ai,1,6
269,nonwinner03.ai,1,6
219,nonwinner14.ai,1,6
400,nonwinner09.ai,1,6
122,nonwinner11.ai,1,6
635,hold01.ai,1,6
410,nonwinner06.ai,1,6
324,nonwinner14.ai,1,6
499,nonwinner05.ai,1,7
372,nonwinner08.ai,1,7
435,nonwinner12.ai,1,7
90,nonwinner12.ai,1,7
255,nonwinner12.ai,1,7
418,nonwinner07.ai,1,7
371,nonwinner15.ai,1,7
333,nonwinner10.ai,1,7
375,nonwinner12.ai,1,7
46,nonwinner02.ai,1,7
148,nonwinner07.ai,1,8
512,nonwinner11.ai,1,8
83,nonwinner04.ai,1,8
161,nonwinner15.ai,1,8
431,nonwinner15.ai,1,8
518,nonwinner04.ai,1,8
207,nonwinner08.ai,1,8
352,nonwinner01.ai,1,8
397,nonwinner01.ai,1,8
205,nonwinner09.ai,1,8
256,nonwinner02.ai,1,1
537,nonwinner08.ai,1,1
104,nonwinner03.ai,1,1
377,nonwinner11.ai,1,1
657,winner02.ai,1,1
406,nonwinner02.ai,1,1
276,nonwinner13.ai,1,1
90,nonwinner12.ai,1,1
238,nonwinner07.ai,1,1
613,nonwinner07.ai,1,1
234,nonwinner14.ai,1,2
103,nonwinner07.ai,1,2
401,nonwinner15.ai,1,2
304,nonwinner05.ai,1,2
518,nonwinner04.ai,1,2
174,nonwinner14.ai,1,2
99,nonwinner14.ai,1,2
323,nonwinner04.ai,1,2
406,nonwinner02.ai,1,2
501,nonwinner13.ai,1,2
346,nonwinner02.ai,1,3
79,nonwinner05.ai,1,3
276,nonwinner13.ai,1,3
422,nonwinner11.ai,1,3
578,nonwinner04.ai,1,3
74,nonwinner03.ai,1,3
289,nonwinner05.ai,1,3
218,nonwinner04.ai,1,3
432,nonwinner08.ai,1,3
152,nonwinner11.ai,1,3
229,nonwinner05.ai,1,4
481,nonwinner02.ai,1,4
168,nonwinner10.ai,1,4
630,nonwinner12.ai,1,4
484,nonwinner05.ai,1,4
38,nonwinner04.ai,1,4
573,nonwinner10.ai,1,4
618,nonwinner10.ai,1,4
417,nonwinner08.ai,1,4
606,nonwinner13.ai,1,4
312,nonwinner08.ai,1,5
496,nonwinner02.ai,1,5
159,nonwinner14.ai,1,5
320,nonwinner06.ai,1,5
450,nonwinner12.ai,1,5
338,nonwinner04.ai,1,5
532,nonwinner01.ai,1,5
9,nonwinner14.ai,1,5
145,nonwinner09.ai,1,5
421,nonwinner02.ai,1,5
205,nonwinner09.ai,1,6
608,nonwinner04.ai,1,6
181,nonwinner02.ai,1,6
73,nonwinner07.ai,1,6
572,nonwinner11.ai,1,6
444,nonwinner14.ai,1,6
447,nonwinner08.ai,1,6
188,nonwinner04.ai,1,6
243,nonwinner10.ai,1,6
201,nonwinner13.ai,1,6
54,nonwinner14.ai,1,7
448,nonwinner07.ai,1,7
555,nonwinner12.ai,1,7
217,nonwinner01.ai,1,7
37,nonwinner01.ai,1,7
502,nonwinner01.ai,1,7
463,nonwinner07.ai,1,7
209,nonwinner03.ai,1,7
104,nonwinner03.ai,1,7
263,nonwinner04.ai,1,7
181,nonwinner02.ai,1,8
74,nonwinner03.ai,1,8
153,nonwinner10.ai,1,8
3,nonwinner10.ai,1,8
412,nonwinner01.ai,1,8
120,nonwinner12.ai,1,8
433,nonwinner07.ai,1,8
423,nonwinner10.ai,1,8
455,nonwinner06.ai,1,8
656,winner02.ai,1,8
123,nonwinner10.ai,1,1
131,nonwinner15.ai,1,1
590,nonwinner06.ai,1,1
41,nonwinner15.ai,1,1
391,nonwinner02.ai,1,1
471,nonwinner13.ai,1,1
366,nonwinner13.ai,1,1
567,nonwinner08.ai,1,1
584,nonwinner03.ai,1,1
63,nonwinner10.ai,1,1
6,nonwinner13.ai,1,2
572,nonwinner11.ai,1,2
140,nonwinner06.ai,1,2
303,nonwinner10.ai,1,2
51,nonwinner13.ai,1,2
416,nonwinner15.ai,1,2
524,nonwinner03.ai,1,2
219,nonwinner14.ai,1,2
589,nonwinner05.ai,1,2
480,nonwinner12.ai,1,2
126,nonwinner13.ai,1,3
471,nonwinner13.ai,1,3
482,nonwinner11.ai,1,3
194,nonwinner03.ai,1,3
409,nonwinner05.ai,1,3
149,nonwinner03.ai,1,3
82,nonwinner01.ai,1,3
38,nonwinner04.ai,1,3
215,nonwinner06.ai,1,3
68,nonwinner04.ai,1,3
51,nonwinner13.ai,1,4
290,nonwinner06.ai,1,4
466,nonwinner02.ai,1,4
196,nonwinner02.ai,1,4
245,nonwinner06.ai,1,4
576,nonwinner13.ai,1,4
204,nonwinner14.ai,1,4
472,nonwinner01.ai,1,4
377,nonwinner11.ai,1,4
150,nonwinner12.ai,1,4
488,nonwinner04.ai,1,5
628,nonwinner07.ai,1,5
263,nonwinner04.ai,1,5
161,nonwinner15.ai,1,5
10,nonwinner09.ai,1,5
118,nonwinner07.ai,1,5
306,nonwinner13.ai,1,5
596,nonwinner15.ai,1,5
190,nonwinner09.ai,1,5
344,nonwinner03.ai,1,5
381,nonwinner13.ai,1,6
88,nonwinner07.ai,1,6
276,nonwinner13.ai,1,6
547,nonwinner01.ai,1,6
48,nonwinner10.ai,1,6
523,nonwinner07.ai,1,6
530,nonwinner06.ai,1,6
521,nonwinner15.ai,1,6
353,nonwinner04.ai,1,6
312,nonwinner08.ai,1,6
163,nonwinner07.ai,1,7
185,nonwinner06.ai,1,7
77,nonwinner11.ai,1,7
265,nonwinner09.ai,1,7
438,nonwinner10.ai,1,7
445,nonwinner09.ai,1,7
201,nonwinner13.ai,1,7
31,nonwinner02.ai,1,7
290,nonwinner06.ai,1,7
433,nonwinner07.ai,1,7
473,nonwinner04.ai,1,8
366,nonwinner13.ai,1,8
41,nonwinner15.ai,1,8
47,nonwinner11.ai,1,8
349,nonwinner05.ai,1,8
536,nonwinner15.ai,1,8
400,nonwinner09.ai,1,8
623,nonwinner04.ai,1,8
140,nonwinner06.ai,1,8
524,nonwinner03.ai,1,8
68,nonwinner04.ai,1,1
572,nonwinner11.ai,1,1
49,nonwinner05.ai,1,1
119,nonwinner03.ai,1,1
478,nonwinner07.ai,1,1
607,nonwinner01.ai,1,1
510,nonwinner12.ai,1,1
209,nonwinner03.ai,1,1
358,nonwinner07.ai,1,1
66,nonwinner13.ai,1,1
637,hold03.ai,1,2
78,nonwinner10.ai,1,2
525,nonwinner12.ai,1,2
297,nonwinner08.ai,1,2
159,nonwinner14.ai,1,2
69,nonwinner14.ai,1,2
90,nonwinner12.ai,1,2
307,nonwinner01.ai,1,2
275,nonwinner06.ai,1,2
331,nonwinner02.ai,1,2
338,nonwinner04.ai,1,3
318,nonwinner10.ai,1,3
629,nonwinner03.ai,1,3
347,nonwinner11.ai,1,3
41,nonwinner15.ai,1,3
292,nonwinner01.ai,1,3
571,nonwinner02.ai,1,3
526,nonwinner02.ai,1,3
272,nonwinner11.ai,1,3
191,nonwinner15.ai,1,3
82,nonwinner01.ai,1,4
294,nonwinner14.ai,1,4
480,nonwinner12.ai,1,4
348,nonwinner10.ai,1,4
11,nonwinner15.ai,1,4
564,nonwinner14.ai,1,4
53,nonwinner04.ai,1,4
209,nonwinner03.ai,1,4
186,nonwinner13.ai,1,4
461,nonwinner15.ai,1,4
591,nonwinner13.ai,1,5
554,nonwinner03.ai,1,5
476,nonwinner15.ai,1,5
123,nonwinner10.ai,1,5
460,nonwinner09.ai,1,5
485,nonwinner06.ai,1,5
453,nonwinner10.ai,1,5
313,nonwinner07.ai,1,5
148,nonwinner07.ai,1,5
18,nonwinner10.ai,1,5
309,nonwinner14.ai,1,6
597,nonwinner08.ai,1,6
419,nonwinner03.ai,1,6
385,nonwinner09.ai,1,6
258,nonwinner10.ai,1,6
36,nonwinner13.ai,1,6
86,nonwinner15.ai,1,6
660,winner02.ai,1,6
178,nonwinner07.ai,1,6
551,nonwinner15.ai,1,6
476,nonwinner15.ai,1,7
421,nonwinner02.ai,1,7
19,nonwinner05.ai,1,7
218,nonwinner04.ai,1,7
434,nonwinner03.ai,1,7
539,nonwinner03.ai,1,7
587,nonwinner11.ai,1,7
450,nonwinner12.ai,1,7
518,nonwinner04.ai,1,7
581,nonwinner15.ai,1,7
494,nonwinner03.ai,1,8
458,nonwinner04.ai,1,8
424,nonwinner05.ai,1,8
527,nonwinner11.ai,1,8
58,nonwinner07.ai,1,8
315,nonwinner12.ai,1,8
289,nonwinner05.ai,1,8
281,nonwinner15.ai,1,8
590,nonwinner06.ai,1,8
217,nonwinner01.ai,1,8
252,nonwinner08.ai,1,1
551,nonwinner15.ai,1,1
80,nonwinner06.ai,1,1
100,nonwinner09.ai,1,1
81,nonwinner13.ai,1,1
603,nonwinner10.ai,1,1
556,nonwinner02.ai,1,1
426,nonwinner13.ai,1,1
183,nonwinner10.ai,1,1
88,nonwinner07.ai,1,1
542,nonwinner11.ai,1,2
347,nonwinner11.ai,1,2
496,nonwinner02.ai,1,2
84,nonwinner14.ai,1,2
530,nonwinner06.ai,1,2
491,nonwinner15.ai,1,2
452,nonwinner11.ai,1,2
337,nonwinner01.ai,1,2
502,nonwinner01.ai,1,2
316,nonwinner02.ai,1,2
86,nonwinner15.ai,1,3
211,nonwinner02.ai,1,3
491,nonwinner15.ai,1,3
106,nonwinner02.ai,1,3
352,nonwinner01.ai,1,3
45,nonwinner12.ai,1,3
138,nonwinner10.ai,1,3
359,nonwinner03.ai,1,3
427,nonwinner01.ai,1,3
388,nonwinner07.ai,1,3
273,nonwinner10.ai,1,4
371,nonwinner15.ai,1,4
91,nonwinner02.ai,1,4
243,nonwinner10.ai,1,4
357,nonwinner08.ai,1,4
428,nonwinner04.ai,1,4
29,nonwinner03.ai,1,4
138,nonwinner10.ai,1,4
210,nonwinner12.ai,1,4
255,nonwinner12.ai,1,4
124,nonwinner05.ai,1,5
164,nonwinner03.ai,1,5
101,nonwinner15.ai,1,5
165,nonwinner12.ai,1,5
354,nonwinner14.ai,1,5
367,nonwinner01.ai,1,5
262,nonwinner01.ai,1,5
2,nonwinner11.ai,1,5
413,nonwinner04.ai,1,5
265,nonwinner09.ai,1,5
421,nonwinner02.ai,1,6
604,nonwinner05.ai,1,6
52,nonwinner01.ai,1,6
562,nonwinner01.ai,1,6
330,nonwinner12.ai,1,6
156,nonwinner13.ai,1,6
208,nonwinner07.ai,1,6
239,nonwinner03.ai,1,6
316,nonwinner02.ai,1,6
463,nonwinner07.ai,1,6
281,nonwinner15.ai,1,7
249,nonwinner14.ai,1,7
554,nonwinner03.ai,1,7
67,nonwinner01.ai,1,7
348,nonwinner10.ai,1,7
489,nonwinner14.ai,1,7
464,nonwinner03.ai,1,7
590,nonwinner06.ai,1,7
137,nonwinner11.ai,1,7
165,nonwinner12.ai,1,7
97,nonwinner01.ai,1,8
15,nonwinner12.ai,1,8
542,nonwinner11.ai,1,8
348,nonwinner10.ai,1,8
43,nonwinner07.ai,1,8
134,nonwinner03.ai,1,8
436,nonwinner02.ai,1,8
378,nonwinner10.ai,1,8
157,nonwinner01.ai,1,8
