TKT,I1,P
194,nonwinner07.ai,1
195,nonwinner04.ai,1
196,nonwinner06.ai,1
197,nonwinner03.ai,1
198,nonwinner10.ai,1
199,nonwinner09.ai,1
200,nonwinner01.ai,1
201,nonwinner08.ai,1
202,nonwinner02.ai,1
203,nonwinner05.ai,1
204,nonwinner07.ai,1
205,nonwinner04.ai,1
206,nonwinner06.ai,1
207,nonwinner03.ai,1
208,nonwinner10.ai,1
209,nonwinner09.ai,1
210,nonwinner01.ai,1
211,nonwinner08.ai,1
212,nonwinner02.ai,1
213,nonwinner05.ai,1
214,nonwinner07.ai,1
215,nonwinner04.ai,1
216,nonwinner06.ai,1
217,nonwinner03.ai,1
218,nonwinner10.ai,1
219,nonwinner09.ai,1
220,nonwinner01.ai,1
221,nonwinner08.ai,1
222,nonwinner02.ai,1
223,nonwinner05.ai,1
224,nonwinner07.ai,1
225,nonwinner04.ai,1
226,nonwinner06.ai,1
227,nonwinner03.ai,1
228,nonwinner10.ai,1
229,nonwinner09.ai,1
230,nonwinner01.ai,1
231,nonwinner08.ai,1
232,nonwinner02.ai,1
233,nonwinner05.ai,1
234,nonwinner07.ai,1
235,nonwinner04.ai,1
236,nonwinner06.ai,1
237,nonwinner03.ai,1
238,nonwinner10.ai,1
239,nonwinner09.ai,1
240,nonwinner01.ai,1
241,nonwinner08.ai,1
242,nonwinner02.ai,1
243,nonwinner05.ai,1
244,nonwinner07.ai,1
245,nonwinner04.ai,1
246,nonwinner06.ai,1
247,nonwinner03.ai,1
248,nonwinner10.ai,1
249,nonwinner09.ai,1
250,nonwinner01.ai,1
251,nonwinner08.ai,1
252,nonwinner02.ai,1
253,nonwinner05.ai,1
254,nonwinner07.ai,1
255,nonwinner04.ai,1
256,nonwinner06.ai,1
257,nonwinner03.ai,1
258,nonwinner10.ai,1
259,nonwinner09.ai,1
260,nonwinner01.ai,1
261,nonwinner08.ai,1
262,nonwinner02.ai,1
263,nonwinner05.ai,1
264,nonwinner07.ai,1
265,nonwinner04.ai,1
266,nonwinner06.ai,1
267,nonwinner03.ai,1
268,nonwinner10.ai,1
269,nonwinner09.ai,1
270,nonwinner01.ai,1
271,nonwinner08.ai,1
272,nonwinner02.ai,1
273,nonwinner05.ai,1
274,nonwinner07.ai,1
275,nonwinner04.ai,1
276,nonwinner06.ai,1
277,nonwinner03.ai,1
278,nonwinner10.ai,1
279,nonwinner09.ai,1
280,nonwinner01.ai,1
281,nonwinner08.ai,1
282,nonwinner02.ai,1
283,nonwinner05.ai,1
284,nonwinner07.ai,1
285,nonwinner04.ai,1
286,nonwinner06.ai,1
287,nonwinner03.ai,1
288,nonwinner10.ai,1
289,nonwinner09.ai,1
290,nonwinner01.ai,1
291,nonwinner08.ai,1
292,nonwinner02.ai,1
293,nonwinner05.ai,1
294,nonwinner07.ai,1
295,nonwinner04.ai,1
296,nonwinner06.ai,1
297,nonwinner03.ai,1
298,nonwinner10.ai,1
299,nonwinner09.ai,1
300,nonwinner01.ai,1
301,nonwinner08.ai,1
302,nonwinner02.ai,1
303,nonwinner05.ai,1
304,nonwinner07.ai,1
305,nonwinner04.ai,1
306,nonwinner06.ai,1
307,nonwinner03.ai,1
308,nonwinner10.ai,1
309,nonwinner09.ai,1
310,nonwinner01.ai,1
311,nonwinner08.ai,1
312,nonwinner02.ai,1
313,nonwinner05.ai,1
314,nonwinner07.ai,1
315,nonwinner04.ai,1
316,nonwinner06.ai,1
317,nonwinner03.ai,1
318,nonwinner10.ai,1
319,nonwinner09.ai,1
320,nonwinner01.ai,1
321,nonwinner08.ai,1
322,nonwinner02.ai,1
323,nonwinner05.ai,1
324,nonwinner07.ai,1
325,nonwinner04.ai,1
326,nonwinner06.ai,1
327,nonwinner03.ai,1
328,nonwinner10.ai,1
329,nonwinner09.ai,1
330,nonwinner01.ai,1
331,nonwinner08.ai,1
332,nonwinner02.ai,1
333,nonwinner05.ai,1
334,nonwinner07.ai,1
335,nonwinner04.ai,1
336,nonwinner06.ai,1
337,nonwinner03.ai,1
338,nonwinner10.ai,1
339,nonwinner09.ai,1
340,nonwinner01.ai,1
341,nonwinner08.ai,1
342,nonwinner02.ai,1
343,nonwinner05.ai,1
344,nonwinner07.ai,1
345,nonwinner04.ai,1
346,nonwinner06.ai,1
347,nonwinner03.ai,1
348,nonwinner10.ai,1
349,nonwinner09.ai,1
350,nonwinner01.ai,1
351,nonwinner08.ai,1
352,nonwinner02.ai,1
353,nonwinner05.ai,1
354,nonwinner07.ai,1
355,nonwinner04.ai,1
356,nonwinner06.ai,1
357,nonwinner03.ai,1
358,nonwinner10.ai,1
359,nonwinner09.ai,1
360,nonwinner01.ai,1
361,nonwinner08.ai,1
362,nonwinner02.ai,1
363,nonwinner05.ai,1
364,nonwinner07.ai,1
365,nonwinner04.ai,1
366,nonwinner06.ai,1
367,nonwinner03.ai,1
368,nonwinner10.ai,1
369,nonwinner09.ai,1
370,nonwinner01.ai,1
371,nonwinner08.ai,1
372,nonwinner02.ai,1
373,nonwinner05.ai,1
374,nonwinner07.ai,1
375,nonwinner04.ai,1
376,nonwinner06.ai,1
377,nonwinner03.ai,1
378,nonwinner10.ai,1
379,nonwinner09.ai,1
380,nonwinner01.ai,1
381,nonwinner08.ai,1
382,nonwinner02.ai,1
383,nonwinner05.ai,1
384,nonwinner07.ai,1
385,nonwinner04.ai,1
386,nonwinner06.ai,1
387,nonwinner03.ai,1
388,nonwinner10.ai,1
389,nonwinner09.ai,1
390,nonwinner01.ai,1
391,nonwinner08.ai,1
392,nonwinner02.ai,1
393,nonwinner05.ai,1
394,nonwinner07.ai,1
395,nonwinner04.ai,1
396,nonwinner06.ai,1
397,nonwinner03.ai,1
398,nonwinner10.ai,1
399,nonwinner09.ai,1
400,nonwinner01.ai,1
401,nonwinner08.ai,1
402,nonwinner02.ai,1
403,nonwinner05.ai,1
404,nonwinner07.ai,1
405,nonwinner04.ai,1
406,nonwinner06.ai,1
407,nonwinner03.ai,1
408,nonwinner10.ai,1
409,nonwinner09.ai,1
410,nonwinner01.ai,1
411,nonwinner08.ai,1
412,nonwinner02.ai,1
413,nonwinner05.ai,1
414,nonwinner07.ai,1
415,nonwinner04.ai,1
416,nonwinner06.ai,1
417,nonwinner03.ai,1
418,nonwinner10.ai,1
419,nonwinner09.ai,1
420,nonwinner01.ai,1
421,nonwinner08.ai,1
422,nonwinner02.ai,1
423,nonwinner05.ai,1
424,nonwinner07.ai,1
425,nonwinner04.ai,1
426,nonwinner06.ai,1
427,nonwinner03.ai,1
428,nonwinner10.ai,1
429,nonwinner09.ai,1
430,nonwinner01.ai,1
431,nonwinner08.ai,1
432,nonwinner02.ai,1
433,nonwinner05.ai,1
434,nonwinner07.ai,1
435,nonwinner04.ai,1
436,nonwinner06.ai,1
437,nonwinner03.ai,1
438,nonwinner10.ai,1
439,nonwinner09.ai,1
440,nonwinner01.ai,1
441,nonwinner08.ai,1
442,nonwinner02.ai,1
443,nonwinner05.ai,1
444,nonwinner07.ai,1
445,nonwinner04.ai,1
446,nonwinner06.ai,1
447,nonwinner03.ai,1
448,nonwinner10.ai,1
449,nonwinner09.ai,1
450,nonwinner01.ai,1
451,nonwinner08.ai,1
452,nonwinner02.ai,1
453,nonwinner05.ai,1
454,nonwinner07.ai,1
455,nonwinner04.ai,1
456,nonwinner06.ai,1
457,nonwinner03.ai,1
458,nonwinner10.ai,1
459,nonwinner09.ai,1
460,nonwinner01.ai,1
461,nonwinner08.ai,1
462,nonwinner02.ai,1
463,nonwinner05.ai,1
464,nonwinner07.ai,1
465,nonwinner04.ai,1
466,nonwinner06.ai,1
467,nonwinner03.ai,1
468,nonwinner10.ai,1
469,nonwinner09.ai,1
470,nonwinner01.ai,1
471,nonwinner08.ai,1
472,nonwinner02.ai,1
473,nonwinner05.ai,1
474,nonwinner07.ai,1
475,nonwinner04.ai,1
476,nonwinner06.ai,1
477,nonwinner03.ai,1
478,nonwinner10.ai,1
479,nonwinner09.ai,1
480,nonwinner01.ai,1
481,nonwinner08.ai,1
482,nonwinner02.ai,1
483,nonwinner05.ai,1
484,nonwinner07.ai,1
485,nonwinner04.ai,1
486,nonwinner06.ai,1
487,nonwinner03.ai,1
488,nonwinner10.ai,1
489,nonwinner09.ai,1
490,nonwinner01.ai,1
491,nonwinner08.ai,1
492,nonwinner02.ai,1
493,nonwinner05.ai,1
494,nonwinner07.ai,1
495,nonwinner04.ai,1
496,nonwinner06.ai,1
497,nonwinner03.ai,1
498,nonwinner10.ai,1
499,nonwinner09.ai,1
500,nonwinner01.ai,1
501,nonwinner08.ai,1
502,nonwinner02.ai,1
503,nonwinner05.ai,1
504,nonwinner07.ai,1
505,nonwinner04.ai,1
506,nonwinner06.ai,1
507,nonwinner03.ai,1
508,nonwinner10.ai,1
509,nonwinner09.ai,1
510,nonwinner01.ai,1
511,nonwinner08.ai,1
512,nonwinner02.ai,1
513,nonwinner05.ai,1
514,nonwinner07.ai,1
515,nonwinner04.ai,1
516,nonwinner06.ai,1
517,nonwinner03.ai,1
518,nonwinner10.ai,1
519,nonwinner09.ai,1
520,nonwinner01.ai,1
521,nonwinner08.ai,1
522,nonwinner02.ai,1
523,nonwinner05.ai,1
524,nonwinner07.ai,1
525,nonwinner04.ai,1
526,nonwinner06.ai,1
527,nonwinner03.ai,1
528,nonwinner10.ai,1
529,nonwinner09.ai,1
530,nonwinner01.ai,1
531,nonwinner08.ai,1
532,nonwinner02.ai,1
533,nonwinner05.ai,1
534,nonwinner07.ai,1
535,nonwinner04.ai,1
536,nonwinner06.ai,1
537,nonwinner03.ai,1
538,nonwinner10.ai,1
539,nonwinner09.ai,1
540,nonwinner01.ai,1
541,nonwinner08.ai,1
542,nonwinner02.ai,1
543,nonwinner05.ai,1
544,nonwinner07.ai,1
545,nonwinner04.ai,1
546,nonwinner06.ai,1
547,nonwinner03.ai,1
548,nonwinner10.ai,1
549,nonwinner09.ai,1
550,nonwinner01.ai,1
551,nonwinner08.ai,1
552,nonwinner02.ai,1
553,nonwinner05.ai,1
554,nonwinner07.ai,1
555,nonwinner04.ai,1
556,nonwinner06.ai,1
557,nonwinner03.ai,1
558,nonwinner10.ai,1
559,nonwinner09.ai,1
560,nonwinner01.ai,1
561,nonwinner08.ai,1
562,nonwinner02.ai,1
563,nonwinner05.ai,1
564,nonwinner07.ai,1
565,nonwinner04.ai,1
566,nonwinner06.ai,1
567,nonwinner03.ai,1
568,nonwinner10.ai,1
569,nonwinner09.ai,1
570,nonwinner01.ai,1
571,nonwinner08.ai,1
572,nonwinner02.ai,1
573,nonwinner05.ai,1
574,nonwinner07.ai,1
575,nonwinner04.ai,1
576,nonwinner06.ai,1
577,nonwinner03.ai,1
578,nonwinner10.ai,1
579,nonwinner09.ai,1
580,nonwinner01.ai,1
581,nonwinner08.ai,1
582,nonwinner02.ai,1
583,nonwinner05.ai,1
584,nonwinner07.ai,1
585,nonwinner04.ai,1
586,nonwinner06.ai,1
587,nonwinner03.ai,1
588,nonwinner10.ai,1
589,nonwinner09.ai,1
590,nonwinner01.ai,1
591,nonwinner08.ai,1
592,nonwinner02.ai,1
593,nonwinner05.ai,1
594,nonwinner07.ai,1
595,nonwinner04.ai,1
596,nonwinner06.ai,1
597,nonwinner03.ai,1
598,nonwinner10.ai,1
599,nonwinner09.ai,1
600,nonwinner01.ai,1
601,hold01.ai,1
602,hold02.ai,1
603,hold03.ai,1
604,hold04.ai,1
605,hold05.ai,1
606,hold06.ai,1
607,hold07.ai,1
608,hold08.ai,1
609,hold09.ai,1
610,hold10.ai,1
611,hold11.ai,1
612,hold12.ai,1
613,hold13.ai,1
614,hold14.ai,1
615,hold15.ai,1
616,winner01.ai,1
617,winner02.ai,1
618,winner02.ai,1
619,winner02.ai,1
620,winner02.ai,1
621,winner02.ai,1
622,winner02.ai,1
623,winner02.ai,1
624,winner03.ai,1
625,winner03.ai,1
626,winner03.ai,1
627,winner03.ai,1
628,winner03.ai,1
629,winner03.ai,1
630,winner03.ai,1
631,winner03.ai,1
632,winner03.ai,1
633,winner03.ai,1
634,winner03.ai,1
635,winner03.ai,1
636,winner04.ai,1
637,winner04.ai,1
638,winner04.ai,1
639,winner04.ai,1
640,winner04.ai,1
641,winner04.ai,1
642,winner04.ai,1
643,winner04.ai,1
644,winner04.ai,1
645,winner04.ai,1
646,winner04.ai,1
647,winner04.ai,1
648,winner04.ai,1
649,winner04.ai,1
650,winner04.ai,1
651,winner04.ai,1
652,winner04.ai,1
653,winner04.ai,1
654,winner04.ai,1
655,winner04.ai,1
656,winner04.ai,1
657,winner04.ai,1
658,winner04.ai,1
659,winner04.ai,1
660,winner04.ai,1
