TKT,VER,N1B,N1C,N2B,N2C,N3B,N3C,N4B,N4C,N5B,N5C,I1,I2,I3,I4,I5,B,P,CD,Up
118,3003,01,12,24,30,38,36,46,54,64,72,,,,,,base02.ai,2,,6
,,,,,,,,,,,,,,nonwinner144.ai,nonwinner156.ai,nonwinner10.ai,,2,,6
,,,,,,,,,,,,winner03.ai,,,,,,2,3,6
,,,,,,,,,,,,winner05.ai,,,,,,2,,6
,,,,,,,,,,,,winner04.ai,,,,,,3,4,7
,,,,,,,,,,,,,,nonwinner109.ai,nonwinner136.ai,nonwinner148.ai,,3,,7
71,1823,04,11,16,27,36,42,48,53,61,70,,,,,,base02.ai,3,,7
113,3989,06,09,28,29,40,33,60,58,68,70,,,,,,base02.ai,3,,7
,,,,,,,,,,,,winner03.ai,,,,,,3,3,7
,,,,,,,,,,,,,,nonwinner146.ai,nonwinner104.ai,nonwinner67.ai,,3,,7
,,,,,,,,,,,,winner05.ai,,,,,,3,,7
4,8797,,,18,26,44,39,,,61,63,free01.ai,free04.ai,,,,base02.ai,4,,8
,,,,,,,,,,,,,,nonwinner89.ai,nonwinner35.ai,nonwinner70.ai,,4,,8
,,,,,,,,,,,,winner03.ai,,,,,,4,3,8
,,,,,,,,,,,,,,nonwinner47.ai,nonwinner13.ai,nonwinner26.ai,,4,,8
,,,,,,,,,,,,,,nonwinner22.ai,nonwinner32.ai,nonwinner10.ai,,4,,8
81,3849,04,06,24,25,31,43,59,48,65,69,,,,,,base02.ai,4,,8
25,3775,11,08,28,25,,,58,54,73,63,free03.ai,,,,,base02.ai,4,,8
,,,,,,,,,,,,,,nonwinner42.ai,nonwinner52.ai,nonwinner106.ai,,1,,1
,,,,,,,,,,,,,,nonwinner60.ai,nonwinner27.ai,nonwinner87.ai,,1,,1
,,,,,,,,,,,,,,nonwinner71.ai,nonwinner66.ai,nonwinner18.ai,,1,,1
110,5921,01,09,19,21,35,32,52,51,74,63,,,,,,base02.ai,1,,1
40,6912,15,05,28,20,43,38,,,63,75,free04.ai,,,,,base02.ai,1,,1
,,,,,,,,,,,,,,nonwinner41.ai,nonwinner85.ai,nonwinner13.ai,,1,,1
131,1156,04,01,24,29,33,35,47,56,71,66,,,,,,base02.ai,1,,1
,,,,,,,,,,,,,,nonwinner160.ai,nonwinner78.ai,nonwinner59.ai,,2,,2
,,,,,,,,,,,,,,nonwinner91.ai,nonwinner33.ai,nonwinner65.ai,,2,,2
136,4234,01,06,16,24,45,43,59,50,75,66,,,,,,base02.ai,2,,2
,,,,,,,,,,,,,,nonwinner76.ai,nonwinner159.ai,nonwinner39.ai,,2,,2
,,,,,,,,,,,,winner05.ai,,,,,,2,,2
,,,,,,,,,,,,,,nonwinner96.ai,nonwinner154.ai,nonwinner109.ai,,2,,2
80,5673,14,10,27,30,39,44,55,54,64,62,,,,,,base02.ai,2,,2
,,,,,,,,,,,,,,nonwinner45.ai,nonwinner58.ai,nonwinner120.ai,,3,,3
14,7120,01,08,,,,,48,53,64,74,free02.ai,free03.ai,,,,base02.ai,3,,3
,,,,,,,,,,,,winner05.ai,,,,,,3,,3
77,7161,07,11,25,22,36,39,52,50,72,74,,,,,,base02.ai,3,,3
21,813,01,10,19,21,,,53,54,61,72,free03.ai,,,,,base02.ai,3,,3
49,5317,12,09,26,25,,,46,58,65,66,free03.ai,,,,,base02.ai,3,,3
105,8472,12,05,22,27,37,35,55,46,69,71,,,,,,base02.ai,3,,3
,,,,,,,,,,,,,,nonwinner69.ai,nonwinner136.ai,nonwinner31.ai,,4,,4
119,5191,10,09,17,27,36,41,49,48,62,75,,,,,,base02.ai,4,,4
,,,,,,,,,,,,,,nonwinner152.ai,nonwinner137.ai,nonwinner05.ai,,4,,4
133,4654,03,05,30,16,40,43,51,56,61,72,,,,,,base02.ai,4,,4
,,,,,,,,,,,,winner05.ai,,,,,,4,,4
126,2811,08,09,25,17,37,45,58,47,66,65,,,,,,base02.ai,4,,4
,,,,,,,,,,,,,,nonwinner40.ai,nonwinner55.ai,nonwinner99.ai,,4,,4
,,,,,,,,,,,,,,nonwinner101.ai,nonwinner18.ai,nonwinner150.ai,,1,,5
66,7438,12,06,20,19,37,34,56,60,61,71,,,,,,base02.ai,1,,5
45,2615,14,07,,,33,38,60,54,75,74,free02.ai,,,,,base02.ai,1,,5
,,,,,,,,,,,,,,nonwinner102.ai,nonwinner20.ai,nonwinner11.ai,,1,,5
10,7232,02,09,18,16,,,51,49,,,free03.ai,free05.ai,,,,base02.ai,1,,5
,,,,,,,,,,,,winner05.ai,,,,,,1,,5
,,,,,,,,,,,,winner05.ai,,,,,,1,,5
,,,,,,,,,,,,,,nonwinner103.ai,nonwinner74.ai,nonwinner10.ai,,2,,6
,,,,,,,,,,,,,,nonwinner07.ai,nonwinner110.ai,nonwinner68.ai,,2,,6
,,,,,,,,,,,,,,nonwinner16.ai,nonwinner17.ai,nonwinner36.ai,,2,,6
,,,,,,,,,,,,winner05.ai,,,,,,2,,6
,,,,,,,,,,,,,,nonwinner134.ai,nonwinner31.ai,nonwinner133.ai,,2,,6
,,,,,,,,,,,,,,nonwinner81.ai,nonwinner157.ai,nonwinner165.ai,,2,,6
,,,,,,,,,,,,,,nonwinner26.ai,nonwinner105.ai,nonwinner125.ai,,2,,6
29,6655,05,01,24,25,33,38,,,67,72,free04.ai,,,,,base02.ai,3,,7
,,,,,,,,,,,,winner04.ai,,,,,,3,4,7
,,,,,,,,,,,,winner02.ai,,,,,,3,2,7
,,,,,,,,,,,,winner05.ai,,,,,,3,,7
,,,,,,,,,,,,,,nonwinner33.ai,nonwinner42.ai,nonwinner164.ai,,3,,7
,,,,,,,,,,,,,,nonwinner83.ai,nonwinner154.ai,nonwinner07.ai,,3,,7
,,,,,,,,,,,,,,nonwinner95.ai,nonwinner66.ai,nonwinner157.ai,,3,,7
,,,,,,,,,,,,,,nonwinner143.ai,nonwinner139.ai,nonwinner02.ai,,4,,8
88,1990,11,06,29,20,42,35,48,55,75,68,,,,,,base02.ai,4,,8
32,5044,06,03,17,21,,,50,55,66,72,free03.ai,,,,,base02.ai,4,,8
,,,,,,,,,,,,,,nonwinner92.ai,nonwinner108.ai,nonwinner93.ai,,4,,8
,,,,,,,,,,,,winner04.ai,,,,,,4,4,8
46,1633,,,23,18,31,42,51,56,69,62,free01.ai,,,,,base02.ai,4,,8
,,,,,,,,,,,,,,nonwinner100.ai,nonwinner96.ai,nonwinner72.ai,,4,,8
82,4657,04,14,25,30,43,44,50,59,74,66,,,,,,base02.ai,1,,1
,,,,,,,,,,,,,,nonwinner139.ai,nonwinner111.ai,nonwinner134.ai,,1,,1
117,7655,11,01,30,21,43,33,49,58,68,69,,,,,,base02.ai,1,,1
,,,,,,,,,,,,winner05.ai,,,,,,1,,1
,,,,,,,,,,,,,,nonwinner154.ai,nonwinner39.ai,nonwinner112.ai,,1,,1
,,,,,,,,,,,,winner05.ai,,,,,,1,,1
5,1665,,,29,30,32,42,51,53,,,free01.ai,free05.ai,,,,base02.ai,1,,1
10,5329,02,09,,,38,40,55,47,,,free02.ai,free05.ai,,,,base02.ai,2,,2
,,,,,,,,,,,,,,nonwinner102.ai,nonwinner109.ai,nonwinner70.ai,,2,,2
,,,,,,,,,,,,winner05.ai,,,,,,2,,2
,,,,,,,,,,,,winner05.ai,,,,,,2,,2
,,,,,,,,,,,,,,nonwinner44.ai,nonwinner130.ai,nonwinner98.ai,,2,,2
3,2029,,,22,19,,,46,58,65,71,free01.ai,free03.ai,,,,base02.ai,2,,2
,,,,,,,,,,,,winner04.ai,,,,,,2,4,2
,,,,,,,,,,,,,,nonwinner51.ai,nonwinner111.ai,nonwinner73.ai,,3,,3
91,7577,02,06,27,29,36,43,56,53,64,63,,,,,,base02.ai,3,,3
,,,,,,,,,,,,,,nonwinner18.ai,nonwinner99.ai,nonwinner153.ai,,3,,3
,,,,,,,,,,,,,,nonwinner66.ai,nonwinner105.ai,nonwinner156.ai,,3,,3
,,,,,,,,,,,,winner05.ai,,,,,,3,,3
,,,,,,,,,,,,winner03.ai,,,,,,3,3,3
133,2109,02,15,18,26,35,31,56,54,74,68,,,,,,base02.ai,3,,3
,,,,,,,,,,,,,,nonwinner19.ai,nonwinner156.ai,nonwinner78.ai,,4,,4
56,811,09,13,25,20,35,44,,,64,75,free04.ai,,,,,base02.ai,4,,4
70,143,03,09,19,22,31,39,55,47,71,69,,,,,,base02.ai,4,,4
,,,,,,,,,,,,,,nonwinner144.ai,nonwinner81.ai,nonwinner14.ai,,4,,4
112,4674,01,13,23,24,42,31,56,46,70,68,,,,,,base02.ai,4,,4
,,,,,,,,,,,,,,nonwinner117.ai,nonwinner93.ai,nonwinner63.ai,,4,,4
,,,,,,,,,,,,,,nonwinner116.ai,nonwinner138.ai,nonwinner31.ai,,4,,4
,,,,,,,,,,,,winner05.ai,,,,,,1,,5
,,,,,,,,,,,,winner05.ai,,,,,,1,,5
38,523,14,03,25,30,,,55,52,64,70,free03.ai,,,,,base02.ai,1,,5
122,7129,09,07,28,19,35,44,54,59,64,61,,,,,,base02.ai,1,,5
73,7369,12,03,30,19,36,44,46,48,64,74,,,,,,base02.ai,1,,5
108,2943,12,01,27,23,38,37,53,49,71,63,,,,,,base02.ai,1,,5
94,5178,10,01,18,30,40,31,48,49,72,61,,,,,,base02.ai,1,,5
55,2059,04,13,,,41,39,53,59,62,61,free02.ai,,,,,base02.ai,2,,6
104,1552,15,05,22,25,31,32,60,58,61,67,,,,,,base02.ai,2,,6
48,4081,14,10,22,28,,,59,52,62,70,free03.ai,,,,,base02.ai,2,,6
,,,,,,,,,,,,,,nonwinner61.ai,nonwinner49.ai,nonwinner78.ai,,2,,6
,,,,,,,,,,,,,,nonwinner85.ai,nonwinner131.ai,nonwinner153.ai,,2,,6
,,,,,,,,,,,,,,nonwinner04.ai,nonwinner45.ai,nonwinner84.ai,,2,,6
,,,,,,,,,,,,winner03.ai,,,,,,2,3,6
8,3307,06,12,,,,,52,55,64,67,free02.ai,free03.ai,,,,base02.ai,3,,7
15,1662,02,05,,,36,44,60,59,67,75,free02.ai,,,,,base02.ai,3,,7
36,475,12,14,18,30,,,49,59,70,66,free03.ai,,,,,base02.ai,3,,7
,,,,,,,,,,,,winner04.ai,,,,,,3,4,7
,,,,,,,,,,,,,,nonwinner31.ai,nonwinner116.ai,nonwinner57.ai,,3,,7
,,,,,,,,,,,,winner05.ai,,,,,,3,,7
,,,,,,,,,,,,,,nonwinner115.ai,nonwinner64.ai,nonwinner125.ai,,3,,7
,,,,,,,,,,,,winner05.ai,,,,,,4,,8
74,1708,06,15,20,24,31,34,51,46,66,65,,,,,,base02.ai,4,,8
,,,,,,,,,,,,,,nonwinner82.ai,nonwinner03.ai,nonwinner127.ai,,4,,8
,,,,,,,,,,,,,,nonwinner49.ai,nonwinner159.ai,nonwinner15.ai,,4,,8
18,7092,15,02,,,41,39,56,53,64,68,free02.ai,,,,,base02.ai,4,,8
,,,,,,,,,,,,,,nonwinner166.ai,nonwinner152.ai,nonwinner38.ai,,4,,8
,,,,,,,,,,,,winner04.ai,,,,,,4,4,8
,,,,,,,,,,,,,,nonwinner88.ai,nonwinner47.ai,nonwinner155.ai,,1,,1
,,,,,,,,,,,,winner05.ai,,,,,,1,,1
19,573,09,15,20,25,41,34,,,75,63,free04.ai,,,,,base02.ai,1,,1
,,,,,,,,,,,,winner05.ai,,,,,,1,,1
,,,,,,,,,,,,,,nonwinner128.ai,nonwinner17.ai,nonwinner132.ai,,1,,1
,,,,,,,,,,,,winner05.ai,,,,,,1,,1
,,,,,,,,,,,,,,nonwinner07.ai,nonwinner134.ai,nonwinner84.ai,,1,,1
,,,,,,,,,,,,,,nonwinner159.ai,nonwinner45.ai,nonwinner47.ai,,2,,2
,,,,,,,,,,,,winner05.ai,,,,,,2,,2
87,3062,04,06,29,27,39,34,51,57,74,75,,,,,,base02.ai,2,,2
,,,,,,,,,,,,,,nonwinner36.ai,nonwinner161.ai,nonwinner18.ai,,2,,2
45,2739,,,16,18,31,42,54,50,63,69,free01.ai,,,,,base02.ai,2,,2
52,450,15,14,22,24,,,55,49,72,70,free03.ai,,,,,base02.ai,2,,2
,,,,,,,,,,,,,,nonwinner75.ai,nonwinner05.ai,nonwinner86.ai,,2,,2
,,,,,,,,,,,,,,nonwinner77.ai,nonwinner71.ai,nonwinner145.ai,,3,,3
,,,,,,,,,,,,winner05.ai,,,,,,3,,3
,,,,,,,,,,,,winner05.ai,,,,,,3,,3
,,,,,,,,,,,,,,nonwinner37.ai,nonwinner148.ai,nonwinner116.ai,,3,,3
,,,,,,,,,,,,,,nonwinner134.ai,nonwinner151.ai,nonwinner92.ai,,3,,3
,,,,,,,,,,,,,,nonwinner93.ai,nonwinner09.ai,nonwinner132.ai,,3,,3
56,4490,01,15,16,25,39,45,50,58,,,free05.ai,,,,,base02.ai,3,,3
7,7697,09,11,,,36,32,,,66,67,free02.ai,free04.ai,,,,base02.ai,4,,4
,,,,,,,,,,,,winner04.ai,,,,,,4,4,4
,,,,,,,,,,,,,,nonwinner59.ai,nonwinner71.ai,nonwinner38.ai,,4,,4
,,,,,,,,,,,,,,nonwinner32.ai,nonwinner109.ai,nonwinner42.ai,,4,,4
98,5807,09,04,23,18,35,42,53,58,73,75,,,,,,base02.ai,4,,4
,,,,,,,,,,,,winner05.ai,,,,,,4,,4
,,,,,,,,,,,,,,nonwinner138.ai,nonwinner109.ai,nonwinner118.ai,,4,,4
,,,,,,,,,,,,winner04.ai,,,,,,1,4,5
,,,,,,,,,,,,,,nonwinner162.ai,nonwinner52.ai,nonwinner57.ai,,1,,5
,,,,,,,,,,,,,,nonwinner33.ai,nonwinner134.ai,nonwinner63.ai,,1,,5
136,5580,13,05,16,22,33,39,46,51,65,74,,,,,,base02.ai,1,,5
,,,,,,,,,,,,,,nonwinner29.ai,nonwinner79.ai,nonwinner24.ai,,1,,5
,,,,,,,,,,,,,,nonwinner21.ai,nonwinner69.ai,nonwinner36.ai,,1,,5
,,,,,,,,,,,,winner04.ai,,,,,,1,4,5
,,,,,,,,,,,,winner04.ai,,,,,,2,4,6
90,4382,15,14,24,21,43,32,55,47,62,68,,,,,,base02.ai,2,,6
,,,,,,,,,,,,,,nonwinner84.ai,nonwinner146.ai,nonwinner121.ai,,2,,6
41,920,,,16,29,43,34,50,48,61,65,free01.ai,,,,,base02.ai,2,,6
,,,,,,,,,,,,,,nonwinner122.ai,nonwinner91.ai,nonwinner34.ai,,2,,6
,,,,,,,,,,,,,,nonwinner12.ai,nonwinner25.ai,nonwinner149.ai,,2,,6
,,,,,,,,,,,,,,nonwinner114.ai,nonwinner94.ai,nonwinner47.ai,,2,,6
106,7812,03,08,27,16,45,39,53,54,68,72,,,,,,base02.ai,3,,7
85,2717,10,04,22,28,40,33,48,54,74,73,,,,,,base02.ai,3,,7
,,,,,,,,,,,,,,nonwinner79.ai,nonwinner60.ai,nonwinner128.ai,,3,,7
,,,,,,,,,,,,,,nonwinner41.ai,nonwinner47.ai,nonwinner95.ai,,3,,7
,,,,,,,,,,,,,,nonwinner18.ai,nonwinner108.ai,nonwinner15.ai,,3,,7
,,,,,,,,,,,,winner05.ai,,,,,,3,,7
,,,,,,,,,,,,,,nonwinner105.ai,nonwinner23.ai,nonwinner28.ai,,3,,7
137,7523,14,01,20,19,45,36,57,46,64,75,,,,,,base02.ai,4,,8
102,2419,03,06,25,26,37,43,54,55,71,69,,,,,,base02.ai,4,,8
53,385,12,10,19,28,,,51,59,62,67,free03.ai,,,,,base02.ai,4,,8
,,,,,,,,,,,,,,nonwinner11.ai,nonwinner50.ai,nonwinner109.ai,,4,,8
123,3223,05,10,20,28,31,43,51,57,70,65,,,,,,base02.ai,4,,8
,,,,,,,,,,,,,,nonwinner63.ai,nonwinner127.ai,nonwinner91.ai,,4,,8
,,,,,,,,,,,,,,nonwinner65.ai,nonwinner158.ai,nonwinner85.ai,,4,,8
54,2700,,,30,19,31,42,55,60,68,72,free01.ai,,,,,base02.ai,1,,1
,,,,,,,,,,,,winner03.ai,,,,,,1,3,1
,,,,,,,,,,,,,,nonwinner150.ai,nonwinner89.ai,nonwinner142.ai,,1,,1
,,,,,,,,,,,,winner05.ai,,,,,,1,,1
,,,,,,,,,,,,,,nonwinner133.ai,nonwinner85.ai,nonwinner20.ai,,1,,1
,,,,,,,,,,,,,,nonwinner87.ai,nonwinner74.ai,nonwinner43.ai,,1,,1
124,5905,11,04,25,28,40,42,46,52,70,73,,,,,,base02.ai,1,,1
,,,,,,,,,,,,winner04.ai,,,,,,2,4,2
,,,,,,,,,,,,winner02.ai,,,,,,2,2,2
,,,,,,,,,,,,,,nonwinner95.ai,nonwinner145.ai,nonwinner27.ai,,2,,2
122,4736,12,11,17,26,42,40,59,54,72,70,,,,,,base02.ai,2,,2
59,7965,05,10,20,26,35,40,47,46,67,75,,,,,,base02.ai,2,,2
,,,,,,,,,,,,,,nonwinner54.ai,nonwinner29.ai,nonwinner136.ai,,2,,2
,,,,,,,,,,,,,,nonwinner32.ai,nonwinner87.ai,nonwinner137.ai,,2,,2
,,,,,,,,,,,,,,nonwinner65.ai,nonwinner92.ai,nonwinner151.ai,,3,,3
,,,,,,,,,,,,,,nonwinner136.ai,nonwinner100.ai,nonwinner12.ai,,3,,3
63,6820,01,14,29,23,36,33,46,58,61,62,,,,,,base02.ai,3,,3
,,,,,,,,,,,,winner04.ai,,,,,,3,4,3
140,3010,01,05,25,30,34,35,50,46,75,70,,,,,,base02.ai,3,,3
119,8327,09,01,16,20,34,32,56,49,73,68,,,,,,base02.ai,3,,3
,,,,,,,,,,,,,,nonwinner118.ai,nonwinner62.ai,nonwinner123.ai,,3,,3
,,,,,,,,,,,,,,nonwinner113.ai,nonwinner47.ai,nonwinner54.ai,,4,,4
21,2992,15,03,24,26,,,58,49,70,69,free03.ai,,,,,base02.ai,4,,4
,,,,,,,,,,,,winner05.ai,,,,,,4,,4
,,,,,,,,,,,,winner04.ai,,,,,,4,4,4
,,,,,,,,,,,,,,nonwinner102.ai,nonwinner70.ai,nonwinner17.ai,,4,,4
,,,,,,,,,,,,,,nonwinner127.ai,nonwinner83.ai,nonwinner105.ai,,4,,4
,,,,,,,,,,,,,,nonwinner120.ai,nonwinner23.ai,nonwinner149.ai,,4,,4
115,4275,14,04,28,20,33,38,59,53,62,69,,,,,,base02.ai,1,,5
,,,,,,,,,,,,,,nonwinner137.ai,nonwinner116.ai,nonwinner125.ai,,1,,5
,,,,,,,,,,,,,,nonwinner115.ai,nonwinner66.ai,nonwinner76.ai,,1,,5
,,,,,,,,,,,,,,nonwinner57.ai,nonwinner49.ai,nonwinner159.ai,,1,,5
,,,,,,,,,,,,,,nonwinner102.ai,nonwinner113.ai,nonwinner92.ai,,1,,5
59,6923,14,04,19,30,36,35,51,46,72,75,,,,,,base02.ai,1,,5
,,,,,,,,,,,,winner05.ai,,,,,,1,,5
132,1796,10,09,18,22,33,32,47,49,73,70,,,,,,base02.ai,2,,6
111,2266,11,06,24,17,45,35,60,53,73,64,,,,,,base02.ai,2,,6
62,1600,07,12,29,28,39,42,59,49,65,63,,,,,,base02.ai,2,,6
,,,,,,,,,,,,,,nonwinner40.ai,nonwinner98.ai,nonwinner90.ai,,2,,6
34,5199,,,23,18,35,31,57,59,68,74,free01.ai,,,,,base02.ai,2,,6
,,,,,,,,,,,,,,nonwinner47.ai,nonwinner131.ai,nonwinner99.ai,,2,,6
27,40,,,22,19,33,37,55,51,66,61,free01.ai,,,,,base02.ai,2,,6
,,,,,,,,,,,,,,nonwinner44.ai,nonwinner52.ai,nonwinner01.ai,,3,,7
