TKT,VER,N1B,N1C,N2B,N2C,N3B,N3C,N4B,N4C,N5B,N5C,I1,I2,I3,I4,I5,B,P,CD
,,,,,,,,,,,,,,nonwinner28.ai,nonwinner137.ai,nonwinner79.ai,,3,
,,,,,,,,,,,,,,nonwinner04.ai,nonwinner60.ai,nonwinner10.ai,,3,
,,,,,,,,,,,,,,nonwinner120.ai,nonwinner13.ai,nonwinner59.ai,,3,
,,,,,,,,,,,,,,nonwinner112.ai,nonwinner87.ai,nonwinner147.ai,,3,
,,,,,,,,,,,,,,nonwinner97.ai,nonwinner43.ai,nonwinner19.ai,,3,
,,,,,,,,,,,,,,nonwinner46.ai,nonwinner68.ai,nonwinner80.ai,,3,
,,,,,,,,,,,,,,nonwinner157.ai,nonwinner24.ai,nonwinner49.ai,,3,
,,,,,,,,,,,,,,nonwinner83.ai,nonwinner154.ai,nonwinner07.ai,,3,
,,,,,,,,,,,,,,nonwinner05.ai,nonwinner144.ai,nonwinner114.ai,,3,
,,,,,,,,,,,,,,nonwinner119.ai,nonwinner36.ai,nonwinner98.ai,,3,
,,,,,,,,,,,,,,nonwinner01.ai,nonwinner140.ai,nonwinner57.ai,,3,
,,,,,,,,,,,,,,nonwinner23.ai,nonwinner131.ai,nonwinner61.ai,,3,
,,,,,,,,,,,,,,nonwinner116.ai,nonwinner106.ai,nonwinner39.ai,,3,
,,,,,,,,,,,,,,nonwinner18.ai,nonwinner99.ai,nonwinner153.ai,,3,
,,,,,,,,,,,,,,nonwinner100.ai,nonwinner141.ai,nonwinner138.ai,,3,
,,,,,,,,,,,,,,nonwinner117.ai,nonwinner149.ai,nonwinner25.ai,,3,
,,,,,,,,,,,,,,nonwinner166.ai,nonwinner94.ai,nonwinner27.ai,,3,
,,,,,,,,,,,,,,nonwinner78.ai,nonwinner50.ai,nonwinner162.ai,,3,
,,,,,,,,,,,,,,nonwinner22.ai,nonwinner52.ai,nonwinner113.ai,,3,
,,,,,,,,,,,,,,nonwinner165.ai,nonwinner34.ai,nonwinner75.ai,,3,
,,,,,,,,,,,,,,nonwinner65.ai,nonwinner92.ai,nonwinner151.ai,,3,
,,,,,,,,,,,,,,nonwinner33.ai,nonwinner42.ai,nonwinner164.ai,,3,
,,,,,,,,,,,,,,nonwinner11.ai,nonwinner91.ai,nonwinner146.ai,,3,
,,,,,,,,,,,,,,nonwinner54.ai,nonwinner143.ai,nonwinner62.ai,,3,
,,,,,,,,,,,,,,nonwinner53.ai,nonwinner26.ai,nonwinner121.ai,,3,
,,,,,,,,,,,,,,nonwinner74.ai,nonwinner124.ai,nonwinner08.ai,,3,
,,,,,,,,,,,,,,nonwinner58.ai,nonwinner02.ai,nonwinner139.ai,,3,
,,,,,,,,,,,,,,nonwinner159.ai,nonwinner145.ai,nonwinner155.ai,,3,
,,,,,,,,,,,,,,nonwinner115.ai,nonwinner64.ai,nonwinner125.ai,,3,
,,,,,,,,,,,,,,nonwinner55.ai,nonwinner108.ai,nonwinner84.ai,,3,
,,,,,,,,,,,,,,nonwinner71.ai,nonwinner06.ai,nonwinner158.ai,,3,
,,,,,,,,,,,,,,nonwinner69.ai,nonwinner86.ai,nonwinner56.ai,,3,
,,,,,,,,,,,,,,nonwinner133.ai,nonwinner142.ai,nonwinner70.ai,,3,
,,,,,,,,,,,,,,nonwinner89.ai,nonwinner122.ai,nonwinner126.ai,,3,
,,,,,,,,,,,,,,nonwinner51.ai,nonwinner111.ai,nonwinner73.ai,,3,
,,,,,,,,,,,,,,nonwinner41.ai,nonwinner47.ai,nonwinner95.ai,,3,
,,,,,,,,,,,,,,nonwinner81.ai,nonwinner03.ai,nonwinner44.ai,,3,
,,,,,,,,,,,,,,nonwinner107.ai,nonwinner63.ai,nonwinner103.ai,,3,
,,,,,,,,,,,,,,nonwinner160.ai,nonwinner72.ai,nonwinner76.ai,,3,
,,,,,,,,,,,,,,nonwinner20.ai,nonwinner88.ai,nonwinner102.ai,,3,
,,,,,,,,,,,,,,nonwinner152.ai,nonwinner129.ai,nonwinner35.ai,,3,
,,,,,,,,,,,,,,nonwinner82.ai,nonwinner110.ai,nonwinner130.ai,,3,
,,,,,,,,,,,,,,nonwinner17.ai,nonwinner77.ai,nonwinner85.ai,,3,
,,,,,,,,,,,,,,nonwinner123.ai,nonwinner128.ai,nonwinner14.ai,,3,
,,,,,,,,,,,,,,nonwinner90.ai,nonwinner127.ai,nonwinner48.ai,,3,
,,,,,,,,,,,,,,nonwinner12.ai,nonwinner37.ai,nonwinner96.ai,,3,
,,,,,,,,,,,,,,nonwinner31.ai,nonwinner161.ai,nonwinner32.ai,,3,
,,,,,,,,,,,,,,nonwinner67.ai,nonwinner101.ai,nonwinner135.ai,,3,
,,,,,,,,,,,,,,nonwinner66.ai,nonwinner105.ai,nonwinner156.ai,,3,
,,,,,,,,,,,,,,nonwinner109.ai,nonwinner136.ai,nonwinner148.ai,,3,
,,,,,,,,,,,,,,nonwinner16.ai,nonwinner163.ai,nonwinner30.ai,,3,
,,,,,,,,,,,,,,nonwinner150.ai,nonwinner21.ai,nonwinner15.ai,,3,
,,,,,,,,,,,,,,nonwinner121.ai,nonwinner105.ai,nonwinner144.ai,,3,
,,,,,,,,,,,,,,nonwinner165.ai,nonwinner16.ai,nonwinner49.ai,,3,
,,,,,,,,,,,,,,nonwinner24.ai,nonwinner13.ai,nonwinner11.ai,,3,
,,,,,,,,,,,,,,nonwinner07.ai,nonwinner27.ai,nonwinner44.ai,,3,
,,,,,,,,,,,,,,nonwinner151.ai,nonwinner10.ai,nonwinner89.ai,,3,
,,,,,,,,,,,,,,nonwinner132.ai,nonwinner39.ai,nonwinner134.ai,,3,
,,,,,,,,,,,,,,nonwinner72.ai,nonwinner68.ai,nonwinner18.ai,,3,
,,,,,,,,,,,,,,nonwinner61.ai,nonwinner143.ai,nonwinner28.ai,,3,
,,,,,,,,,,,,,,nonwinner104.ai,nonwinner155.ai,nonwinner64.ai,,3,
,,,,,,,,,,,,,,nonwinner154.ai,nonwinner127.ai,nonwinner147.ai,,3,
,,,,,,,,,,,,,,nonwinner77.ai,nonwinner71.ai,nonwinner145.ai,,3,
,,,,,,,,,,,,,,nonwinner156.ai,nonwinner19.ai,nonwinner106.ai,,3,
,,,,,,,,,,,,,,nonwinner133.ai,nonwinner88.ai,nonwinner79.ai,,3,
,,,,,,,,,,,,,,nonwinner20.ai,nonwinner09.ai,nonwinner90.ai,,3,
,,,,,,,,,,,,,,nonwinner118.ai,nonwinner03.ai,nonwinner117.ai,,3,
,,,,,,,,,,,,,,nonwinner22.ai,nonwinner59.ai,nonwinner93.ai,,3,
,,,,,,,,,,,,,,nonwinner139.ai,nonwinner82.ai,nonwinner81.ai,,3,
,,,,,,,,,,,,,,nonwinner45.ai,nonwinner58.ai,nonwinner120.ai,,3,
,,,,,,,,,,,,,,nonwinner83.ai,nonwinner42.ai,nonwinner92.ai,,3,
,,,,,,,,,,,,,,nonwinner119.ai,nonwinner115.ai,nonwinner166.ai,,3,
,,,,,,,,,,,,,,nonwinner54.ai,nonwinner23.ai,nonwinner51.ai,,3,
,,,,,,,,,,,,,,nonwinner161.ai,nonwinner76.ai,nonwinner102.ai,,3,
,,,,,,,,,,,,,,nonwinner110.ai,nonwinner47.ai,nonwinner53.ai,,3,
,,,,,,,,,,,,,,nonwinner38.ai,nonwinner100.ai,nonwinner142.ai,,3,
,,,,,,,,,,,,,,nonwinner37.ai,nonwinner148.ai,nonwinner116.ai,,3,
,,,,,,,,,,,,,,nonwinner78.ai,nonwinner153.ai,nonwinner97.ai,,3,
,,,,,,,,,,,,,,nonwinner160.ai,nonwinner125.ai,nonwinner140.ai,,3,
,,,,,,,,,,,,,,nonwinner08.ai,nonwinner131.ai,nonwinner63.ai,,3,
,,,,,,,,,,,,,,nonwinner31.ai,nonwinner111.ai,nonwinner34.ai,,3,
,,,,,,,,,,,,,,nonwinner124.ai,nonwinner32.ai,nonwinner40.ai,,3,
,,,,,,,,,,,,,,nonwinner164.ai,nonwinner112.ai,nonwinner57.ai,,3,
,,,,,,,,,,,,,,nonwinner135.ai,nonwinner158.ai,nonwinner29.ai,,3,
,,,,,,,,,,,,,,nonwinner02.ai,nonwinner48.ai,nonwinner33.ai,,3,
,,,,,,,,,,,,,,nonwinner21.ai,nonwinner41.ai,nonwinner113.ai,,3,
,,,,,,,,,,,,,,nonwinner17.ai,nonwinner56.ai,nonwinner130.ai,,3,
,,,,,,,,,,,,,,nonwinner25.ai,nonwinner103.ai,nonwinner75.ai,,3,
,,,,,,,,,,,,,,nonwinner163.ai,nonwinner99.ai,nonwinner12.ai,,3,
,,,,,,,,,,,,,,nonwinner86.ai,nonwinner73.ai,nonwinner98.ai,,3,
,,,,,,,,,,,,,,nonwinner01.ai,nonwinner137.ai,nonwinner122.ai,,3,
,,,,,,,,,,,,,,nonwinner129.ai,nonwinner128.ai,nonwinner15.ai,,3,
,,,,,,,,,,,,,,nonwinner159.ai,nonwinner36.ai,nonwinner52.ai,,3,
,,,,,,,,,,,,,,nonwinner35.ai,nonwinner05.ai,nonwinner62.ai,,3,
,,,,,,,,,,,,,,nonwinner30.ai,nonwinner46.ai,nonwinner126.ai,,3,
,,,,,,,,,,,,,,nonwinner80.ai,nonwinner74.ai,nonwinner141.ai,,3,
,,,,,,,,,,,,,,nonwinner06.ai,nonwinner152.ai,nonwinner85.ai,,3,
,,,,,,,,,,,,,,nonwinner60.ai,nonwinner149.ai,nonwinner162.ai,,3,
,,,,,,,,,,,,,,nonwinner96.ai,nonwinner136.ai,nonwinner107.ai,,3,
,,,,,,,,,,,,,,nonwinner26.ai,nonwinner69.ai,nonwinner50.ai,,3,
,,,,,,,,,,,,,,nonwinner150.ai,nonwinner14.ai,nonwinner55.ai,,3,
,,,,,,,,,,,,,,nonwinner65.ai,nonwinner67.ai,nonwinner146.ai,,3,
,,,,,,,,,,,,,,nonwinner108.ai,nonwinner91.ai,nonwinner101.ai,,3,
,,,,,,,,,,,,,,nonwinner04.ai,nonwinner70.ai,nonwinner87.ai,,3,
,,,,,,,,,,,,,,nonwinner109.ai,nonwinner94.ai,nonwinner138.ai,,3,
,,,,,,,,,,,,,,nonwinner95.ai,nonwinner66.ai,nonwinner157.ai,,3,
,,,,,,,,,,,,,,nonwinner114.ai,nonwinner84.ai,nonwinner123.ai,,3,
,,,,,,,,,,,,,,nonwinner88.ai,nonwinner70.ai,nonwinner28.ai,,3,
,,,,,,,,,,,,,,nonwinner131.ai,nonwinner24.ai,nonwinner03.ai,,3,
,,,,,,,,,,,,,,nonwinner140.ai,nonwinner146.ai,nonwinner54.ai,,3,
,,,,,,,,,,,,winner01.ai,,,,,,3,1
,,,,,,,,,,,,winner02.ai,,,,,,3,2
,,,,,,,,,,,,winner02.ai,,,,,,3,2
,,,,,,,,,,,,winner02.ai,,,,,,3,2
,,,,,,,,,,,,winner02.ai,,,,,,3,2
,,,,,,,,,,,,winner02.ai,,,,,,3,2
,,,,,,,,,,,,winner03.ai,,,,,,3,3
,,,,,,,,,,,,winner03.ai,,,,,,3,3
,,,,,,,,,,,,winner03.ai,,,,,,3,3
,,,,,,,,,,,,winner03.ai,,,,,,3,3
,,,,,,,,,,,,winner03.ai,,,,,,3,3
,,,,,,,,,,,,winner03.ai,,,,,,3,3
,,,,,,,,,,,,winner03.ai,,,,,,3,3
,,,,,,,,,,,,winner03.ai,,,,,,3,3
,,,,,,,,,,,,winner03.ai,,,,,,3,3
,,,,,,,,,,,,winner03.ai,,,,,,3,3
,,,,,,,,,,,,winner04.ai,,,,,,3,4
,,,,,,,,,,,,winner04.ai,,,,,,3,4
,,,,,,,,,,,,winner04.ai,,,,,,3,4
,,,,,,,,,,,,winner04.ai,,,,,,3,4
,,,,,,,,,,,,winner04.ai,,,,,,3,4
,,,,,,,,,,,,winner04.ai,,,,,,3,4
,,,,,,,,,,,,winner04.ai,,,,,,3,4
,,,,,,,,,,,,winner04.ai,,,,,,3,4
,,,,,,,,,,,,winner04.ai,,,,,,3,4
,,,,,,,,,,,,winner04.ai,,,,,,3,4
,,,,,,,,,,,,winner04.ai,,,,,,3,4
,,,,,,,,,,,,winner04.ai,,,,,,3,4
,,,,,,,,,,,,winner04.ai,,,,,,3,4
,,,,,,,,,,,,winner04.ai,,,,,,3,4
,,,,,,,,,,,,winner04.ai,,,,,,3,4
,,,,,,,,,,,,winner04.ai,,,,,,3,4
,,,,,,,,,,,,winner04.ai,,,,,,3,4
,,,,,,,,,,,,winner04.ai,,,,,,3,4
,,,,,,,,,,,,winner04.ai,,,,,,3,4
,,,,,,,,,,,,winner04.ai,,,,,,3,4
,,,,,,,,,,,,winner05.ai,,,,,,3,
,,,,,,,,,,,,winner05.ai,,,,,,3,
,,,,,,,,,,,,winner05.ai,,,,,,3,
,,,,,,,,,,,,winner05.ai,,,,,,3,
,,,,,,,,,,,,winner05.ai,,,,,,3,
,,,,,,,,,,,,winner05.ai,,,,,,3,
,,,,,,,,,,,,winner05.ai,,,,,,3,
,,,,,,,,,,,,winner05.ai,,,,,,3,
,,,,,,,,,,,,winner05.ai,,,,,,3,
,,,,,,,,,,,,winner05.ai,,,,,,3,
,,,,,,,,,,,,winner05.ai,,,,,,3,
,,,,,,,,,,,,winner05.ai,,,,,,3,
,,,,,,,,,,,,winner05.ai,,,,,,3,
,,,,,,,,,,,,winner05.ai,,,,,,3,
,,,,,,,,,,,,winner05.ai,,,,,,3,
,,,,,,,,,,,,winner05.ai,,,,,,3,
,,,,,,,,,,,,winner05.ai,,,,,,3,
,,,,,,,,,,,,winner05.ai,,,,,,3,
,,,,,,,,,,,,winner05.ai,,,,,,3,
,,,,,,,,,,,,winner05.ai,,,,,,3,
,,,,,,,,,,,,winner05.ai,,,,,,3,
,,,,,,,,,,,,winner05.ai,,,,,,3,
,,,,,,,,,,,,winner05.ai,,,,,,3,
,,,,,,,,,,,,winner05.ai,,,,,,3,
,,,,,,,,,,,,winner05.ai,,,,,,3,
,,,,,,,,,,,,winner05.ai,,,,,,3,
,,,,,,,,,,,,winner05.ai,,,,,,3,
,,,,,,,,,,,,winner05.ai,,,,,,3,
,,,,,,,,,,,,winner05.ai,,,,,,3,
,,,,,,,,,,,,winner05.ai,,,,,,3,
,,,,,,,,,,,,winner05.ai,,,,,,3,
,,,,,,,,,,,,winner05.ai,,,,,,3,
,,,,,,,,,,,,winner05.ai,,,,,,3,
,,,,,,,,,,,,winner05.ai,,,,,,3,
,,,,,,,,,,,,winner05.ai,,,,,,3,
,,,,,,,,,,,,winner05.ai,,,,,,3,
,,,,,,,,,,,,winner05.ai,,,,,,3,
,,,,,,,,,,,,winner05.ai,,,,,,3,
,,,,,,,,,,,,winner05.ai,,,,,,3,
,,,,,,,,,,,,winner05.ai,,,,,,3,
,,,,,,,,,,,,winner05.ai,,,,,,3,
,,,,,,,,,,,,winner05.ai,,,,,,3,
,,,,,,,,,,,,winner05.ai,,,,,,3,
,,,,,,,,,,,,winner05.ai,,,,,,3,
,,,,,,,,,,,,winner05.ai,,,,,,3,
,,,,,,,,,,,,winner05.ai,,,,,,3,
,,,,,,,,,,,,winner05.ai,,,,,,3,
,,,,,,,,,,,,winner05.ai,,,,,,3,
,,,,,,,,,,,,winner05.ai,,,,,,3,
,,,,,,,,,,,,winner05.ai,,,,,,3,
1,5662,,,20,30,,,49,53,71,67,free01.ai,free03.ai,,,,base02.ai,3,
2,5662,03,13,,,,,47,58,64,73,free02.ai,free03.ai,,,,base02.ai,3,
3,4475,15,06,28,26,,,46,51,,,free03.ai,free05.ai,,,,base02.ai,3,
4,4475,09,11,,,,,54,56,69,70,free02.ai,free03.ai,,,,base02.ai,3,
5,1323,15,08,22,19,,,,,63,69,free03.ai,free04.ai,,,,base02.ai,3,
6,1323,12,09,29,23,,,,,75,74,free03.ai,free04.ai,,,,base02.ai,3,
7,3270,14,09,17,24,,,46,55,,,free03.ai,free05.ai,,,,base02.ai,3,
8,3307,06,12,,,,,52,55,64,67,free02.ai,free03.ai,,,,base02.ai,3,
9,4320,01,03,18,26,,,,,65,63,free03.ai,free04.ai,,,,base02.ai,3,
10,4320,,,27,28,,,60,47,74,72,free01.ai,free03.ai,,,,base02.ai,3,
11,1636,08,13,,,33,32,,,62,68,free02.ai,free04.ai,,,,base02.ai,3,
12,4469,10,04,19,27,,,,,66,71,free03.ai,free04.ai,,,,base02.ai,3,
13,4171,04,10,23,26,38,33,,,,,free04.ai,free05.ai,,,,base02.ai,3,
14,7120,01,08,,,,,48,53,64,74,free02.ai,free03.ai,,,,base02.ai,3,
15,1662,02,05,,,36,44,60,59,67,75,free02.ai,,,,,base02.ai,3,
16,1662,07,03,17,28,,,53,57,68,61,free03.ai,,,,,base02.ai,3,
17,3510,,,23,25,42,44,55,56,63,68,free01.ai,,,,,base02.ai,3,
18,6084,10,08,18,29,41,37,,,70,69,free04.ai,,,,,base02.ai,3,
19,3552,08,01,24,17,40,37,,,71,65,free04.ai,,,,,base02.ai,3,
20,971,02,12,16,29,31,35,,,72,66,free04.ai,,,,,base02.ai,3,
21,813,01,10,19,21,,,53,54,61,72,free03.ai,,,,,base02.ai,3,
22,813,07,14,16,29,,,48,51,65,68,free03.ai,,,,,base02.ai,3,
23,5670,03,09,,,41,32,58,50,68,61,free02.ai,,,,,base02.ai,3,
24,1608,06,05,16,29,31,35,,,69,65,free04.ai,,,,,base02.ai,3,
25,6530,02,05,25,23,,,53,52,70,71,free03.ai,,,,,base02.ai,3,
26,614,,,16,23,34,37,60,55,66,73,free01.ai,,,,,base02.ai,3,
27,614,02,10,21,30,40,39,,,62,69,free04.ai,,,,,base02.ai,3,
28,1039,07,14,30,21,45,37,50,47,,,free05.ai,,,,,base02.ai,3,
29,6655,05,01,24,25,33,38,,,67,72,free04.ai,,,,,base02.ai,3,
30,5625,10,05,28,30,39,41,,,64,63,free04.ai,,,,,base02.ai,3,
31,5625,02,09,24,21,,,60,51,70,74,free03.ai,,,,,base02.ai,3,
32,2660,11,07,,,34,33,49,50,69,64,free02.ai,,,,,base02.ai,3,
33,5299,,,19,20,36,33,49,46,65,61,free01.ai,,,,,base02.ai,3,
34,5299,11,07,,,37,31,59,53,70,73,free02.ai,,,,,base02.ai,3,
35,4210,02,01,26,30,42,34,,,68,69,free04.ai,,,,,base02.ai,3,
36,475,12,14,18,30,,,49,59,70,66,free03.ai,,,,,base02.ai,3,
37,2464,05,06,18,21,41,37,46,49,,,free05.ai,,,,,base02.ai,3,
38,2464,04,08,25,16,40,31,57,56,,,free05.ai,,,,,base02.ai,3,
39,8314,02,12,23,30,37,36,,,68,65,free04.ai,,,,,base02.ai,3,
40,8314,08,15,,,43,45,47,59,71,62,free02.ai,,,,,base02.ai,3,
41,3345,09,03,,,40,45,58,48,71,62,free02.ai,,,,,base02.ai,3,
42,1977,14,06,22,19,32,34,47,59,,,free05.ai,,,,,base02.ai,3,
43,1033,,,21,29,44,36,49,48,66,71,free01.ai,,,,,base02.ai,3,
44,217,05,12,28,17,,,56,48,67,73,free03.ai,,,,,base02.ai,3,
45,2561,03,13,,,45,36,52,55,67,62,free02.ai,,,,,base02.ai,3,
46,5251,15,10,20,18,35,40,55,47,,,free05.ai,,,,,base02.ai,3,
47,3172,09,03,29,19,31,34,,,67,63,free04.ai,,,,,base02.ai,3,
48,1799,,,24,27,31,35,52,48,72,75,free01.ai,,,,,base02.ai,3,
49,5317,12,09,26,25,,,46,58,65,66,free03.ai,,,,,base02.ai,3,
50,765,02,14,29,21,31,32,,,67,71,free04.ai,,,,,base02.ai,3,
51,765,06,01,24,19,41,39,,,65,63,free04.ai,,,,,base02.ai,3,
52,6895,02,14,23,22,,,50,56,70,74,free03.ai,,,,,base02.ai,3,
53,6970,04,14,28,30,34,40,,,75,68,free04.ai,,,,,base02.ai,3,
54,8725,13,06,29,22,,,52,58,72,71,free03.ai,,,,,base02.ai,3,
55,5282,12,13,,,41,45,50,59,69,64,free02.ai,,,,,base02.ai,3,
56,4490,01,15,16,25,39,45,50,58,,,free05.ai,,,,,base02.ai,3,
57,929,07,12,18,21,32,40,47,46,68,61,,,,,,base02.ai,3,
58,929,04,05,27,19,33,43,51,60,65,64,,,,,,base02.ai,3,
59,1917,10,04,30,21,31,42,56,57,65,69,,,,,,base02.ai,3,
60,1917,01,12,17,27,44,39,46,49,62,63,,,,,,base02.ai,3,
61,8520,14,07,25,24,44,37,50,58,75,62,,,,,,base02.ai,3,
62,7990,15,14,23,26,35,34,50,54,61,73,,,,,,base02.ai,3,
63,6820,01,14,29,23,36,33,46,58,61,62,,,,,,base02.ai,3,
64,6820,02,12,24,21,37,39,50,54,72,68,,,,,,base02.ai,3,
65,7363,04,13,27,30,45,33,59,48,75,61,,,,,,base02.ai,3,
66,4183,01,07,19,27,42,39,52,57,61,67,,,,,,base02.ai,3,
67,4926,05,06,24,25,38,33,47,51,70,65,,,,,,base02.ai,3,
68,3548,07,05,17,23,39,45,54,55,62,75,,,,,,base02.ai,3,
69,1228,13,12,17,19,43,31,54,49,63,74,,,,,,base02.ai,3,
70,1244,02,07,18,21,37,42,60,57,63,73,,,,,,base02.ai,3,
71,1823,04,11,16,27,36,42,48,53,61,70,,,,,,base02.ai,3,
72,6642,13,05,22,29,43,40,46,53,72,69,,,,,,base02.ai,3,
73,6642,15,04,18,17,34,44,48,55,65,70,,,,,,base02.ai,3,
74,8227,05,13,29,16,37,32,49,57,69,66,,,,,,base02.ai,3,
75,8227,06,01,21,24,42,31,53,58,70,73,,,,,,base02.ai,3,
76,649,06,09,25,19,31,33,58,46,72,75,,,,,,base02.ai,3,
77,7161,07,11,25,22,36,39,52,50,72,74,,,,,,base02.ai,3,
78,7161,09,14,17,26,42,43,57,56,64,62,,,,,,base02.ai,3,
79,8932,12,10,24,28,44,31,46,54,67,74,,,,,,base02.ai,3,
80,3993,13,07,17,27,44,33,57,60,73,66,,,,,,base02.ai,3,
81,559,13,06,18,19,43,37,60,54,66,72,,,,,,base02.ai,3,
82,559,09,03,22,29,39,40,57,53,68,62,,,,,,base02.ai,3,
83,2263,14,03,29,27,45,36,53,49,67,64,,,,,,base02.ai,3,
84,2717,12,07,16,27,42,45,60,57,71,64,,,,,,base02.ai,3,
85,2717,10,04,22,28,40,33,48,54,74,73,,,,,,base02.ai,3,
