TKT,VER,N1B,N1C,N2B,N2C,N3B,N3C,N4B,N4C,N5B,N5C,I1,I2,I3,I4,I5,B,P,Up
,,,,,,,,,,,,,,nonwinner12.ai,nonwinner10.ai,nonwinner13.ai,,2,18
,,,,,,,,,,,,,,nonwinner05.ai,nonwinner04.ai,nonwinner13.ai,,3,19
2,1392,,,,,39,40,56,57,62,65,free01.ai,free02.ai,,,,base02.ai,3,19
23,1508,05,12,,,36,42,53,49,69,74,free02.ai,,,,,base02.ai,4,20
,,,,,,,,,,,,,,nonwinner09.ai,nonwinner07.ai,nonwinner06.ai,,4,20
104,2415,15,05,23,27,45,35,52,46,73,66,,,,,,base02.ai,1,21
,,,,,,,,,,,,,,nonwinner01.ai,nonwinner14.ai,nonwinner03.ai,,1,21
134,4952,05,07,29,21,31,41,59,51,66,67,,,,,,base02.ai,2,22
14,1034,,,19,18,,,47,53,68,63,free01.ai,free03.ai,,,,base02.ai,2,22
117,8170,05,04,28,21,31,39,51,54,63,73,,,,,,base02.ai,3,23
,,,,,,,,,,,,,,nonwinner12.ai,nonwinner01.ai,nonwinner08.ai,,3,23
,,,,,,,,,,,,,,nonwinner09.ai,nonwinner12.ai,nonwinner14.ai,,4,24
122,7936,02,06,28,26,32,45,48,52,64,75,,,,,,base02.ai,4,24
84,7495,11,04,16,20,41,33,51,60,72,62,,,,,,base02.ai,1,25
52,5733,11,01,26,27,,,57,47,64,68,free03.ai,,,,,base02.ai,1,25
,,,,,,,,,,,,,,nonwinner10.ai,nonwinner08.ai,nonwinner09.ai,,2,26
,,,,,,,,,,,,,,nonwinner07.ai,nonwinner14.ai,nonwinner04.ai,,2,26
,,,,,,,,,,,,,,nonwinner15.ai,nonwinner08.ai,nonwinner07.ai,,3,27
,,,,,,,,,,,,winner01.ai,,,,,,3,27
5,3590,,,,,40,39,47,51,61,67,free01.ai,free02.ai,,,,base02.ai,4,28
111,6024,15,11,21,16,33,45,54,55,65,62,,,,,,base02.ai,4,28
,,,,,,,,,,,,,,nonwinner11.ai,nonwinner07.ai,nonwinner10.ai,,1,1
45,3336,14,12,29,17,,,55,50,61,71,free03.ai,,,,,base02.ai,1,1
10,1815,12,14,,,,,58,52,67,68,free02.ai,free03.ai,,,,base02.ai,2,2
22,8833,,,26,17,42,32,58,50,70,74,free01.ai,,,,,base02.ai,2,2
,,,,,,,,,,,,,,nonwinner14.ai,nonwinner03.ai,nonwinner06.ai,,3,3
79,8354,14,02,20,23,45,42,55,48,69,67,,,,,,base02.ai,3,3
3,7009,08,11,,,,,58,60,66,69,free02.ai,free03.ai,,,,base02.ai,4,4
65,4075,04,10,27,21,31,43,57,53,74,72,,,,,,base02.ai,4,4
113,1869,02,15,21,27,33,42,47,60,68,62,,,,,,base02.ai,1,5
91,2524,05,01,26,30,42,36,60,53,75,68,,,,,,base02.ai,1,5
,,,,,,,,,,,,winner01.ai,,,,,,2,6
2,1717,,,,,32,34,50,56,64,69,free01.ai,free02.ai,,,,base02.ai,2,6
77,5385,10,04,29,21,34,44,59,55,64,72,,,,,,base02.ai,3,7
,,,,,,,,,,,,,,nonwinner05.ai,nonwinner10.ai,nonwinner07.ai,,3,7
77,3672,03,11,16,22,34,37,52,48,63,69,,,,,,base02.ai,4,8
27,3357,05,04,,,39,36,50,52,68,67,free02.ai,,,,,base02.ai,4,8
1,1986,,,22,25,,,48,51,73,68,free01.ai,free03.ai,,,,base02.ai,1,9
131,7259,05,04,23,27,37,33,54,46,62,66,,,,,,base02.ai,1,9
54,350,02,11,,,41,31,50,59,66,68,free02.ai,,,,,base02.ai,2,10
110,8631,11,12,24,19,39,44,55,50,70,75,,,,,,base02.ai,2,10
71,194,09,10,21,23,32,44,49,53,66,63,,,,,,base02.ai,3,11
39,8499,,,17,23,43,36,51,48,74,71,free01.ai,,,,,base02.ai,3,11
,,,,,,,,,,,,,,nonwinner12.ai,nonwinner01.ai,nonwinner10.ai,,4,12
54,1680,10,11,,,35,33,59,52,67,72,free02.ai,,,,,base02.ai,4,12
78,7499,09,06,26,16,33,35,48,46,64,74,,,,,,base02.ai,1,13
116,2490,08,03,16,26,32,40,56,53,68,70,,,,,,base02.ai,1,13
47,8173,,,21,23,45,41,50,56,64,73,free01.ai,,,,,base02.ai,2,14
71,3830,06,01,21,30,44,38,51,49,66,62,,,,,,base02.ai,2,14
123,4247,07,11,30,26,41,42,60,56,65,71,,,,,,base02.ai,3,15
,,,,,,,,,,,,,,nonwinner12.ai,nonwinner11.ai,nonwinner08.ai,,3,15
86,6830,10,04,27,21,31,34,54,53,64,61,,,,,,base02.ai,4,16
,,,,,,,,,,,,,,nonwinner10.ai,nonwinner09.ai,nonwinner07.ai,,4,16
82,997,11,13,18,28,39,45,57,48,74,73,,,,,,base02.ai,1,17
44,2031,15,03,,,43,39,47,59,66,75,free02.ai,,,,,base02.ai,1,17
120,3884,06,07,21,23,36,39,52,54,70,68,,,,,,base02.ai,2,18
108,6291,15,09,21,24,37,38,55,48,61,68,,,,,,base02.ai,2,18
,,,,,,,,,,,,,,nonwinner06.ai,nonwinner14.ai,nonwinner13.ai,,3,19
80,2831,10,13,21,28,44,43,48,60,68,72,,,,,,base02.ai,3,19
41,6244,,,16,25,40,31,59,55,71,70,free01.ai,,,,,base02.ai,4,20
57,4180,02,04,21,25,42,35,51,58,72,75,,,,,,base02.ai,4,20
,,,,,,,,,,,,,,nonwinner12.ai,nonwinner04.ai,nonwinner05.ai,,1,21
60,343,04,14,26,23,32,38,54,46,64,68,,,,,,base02.ai,1,21
,,,,,,,,,,,,,,nonwinner05.ai,nonwinner12.ai,nonwinner14.ai,,2,22
64,6442,04,07,22,19,37,35,48,49,63,66,,,,,,base02.ai,2,22
85,3198,02,11,22,29,38,33,50,57,66,63,,,,,,base02.ai,3,23
,,,,,,,,,,,,,,nonwinner14.ai,nonwinner01.ai,nonwinner15.ai,,3,23
32,7880,,,22,30,37,35,57,60,73,62,free01.ai,,,,,base02.ai,4,24
16,5913,,,22,25,39,34,59,53,65,64,free01.ai,,,,,base02.ai,4,24
,,,,,,,,,,,,,,nonwinner14.ai,nonwinner02.ai,nonwinner03.ai,,1,25
128,4233,02,01,17,16,41,45,48,50,73,74,,,,,,base02.ai,1,25
,,,,,,,,,,,,,,nonwinner08.ai,nonwinner07.ai,nonwinner05.ai,,2,26
62,6421,15,07,20,19,40,37,46,50,73,71,,,,,,base02.ai,2,26
5,393,05,09,,,,,51,55,64,62,free02.ai,free03.ai,,,,base02.ai,3,27
,,,,,,,,,,,,,,nonwinner10.ai,nonwinner06.ai,nonwinner14.ai,,3,27
,,,,,,,,,,,,,,nonwinner09.ai,nonwinner07.ai,nonwinner06.ai,,4,28
,,,,,,,,,,,,,,nonwinner02.ai,nonwinner08.ai,nonwinner11.ai,,4,28
107,4407,07,02,27,17,31,40,56,57,68,74,,,,,,base02.ai,1,1
,,,,,,,,,,,,,,nonwinner11.ai,nonwinner07.ai,nonwinner03.ai,,1,1
,,,,,,,,,,,,,,nonwinner01.ai,nonwinner06.ai,nonwinner08.ai,,2,2
124,7606,07,02,17,20,44,43,59,51,61,67,,,,,,base02.ai,2,2
91,4983,04,08,23,25,32,42,54,55,72,71,,,,,,base02.ai,3,3
107,4299,07,01,16,17,36,38,46,59,71,61,,,,,,base02.ai,3,3
,,,,,,,,,,,,,,nonwinner11.ai,nonwinner15.ai,nonwinner04.ai,,4,4
77,3672,03,11,16,22,34,37,52,48,63,69,,,,,,base02.ai,4,4
,,,,,,,,,,,,,,nonwinner15.ai,nonwinner09.ai,nonwinner07.ai,,1,5
35,3839,12,05,,,45,38,60,48,72,63,free02.ai,,,,,base02.ai,1,5
10,1815,12,14,,,,,58,52,67,68,free02.ai,free03.ai,,,,base02.ai,2,6
,,,,,,,,,,,,,,nonwinner15.ai,nonwinner06.ai,nonwinner02.ai,,2,6
53,3569,01,13,,,32,44,58,59,68,63,free02.ai,,,,,base02.ai,3,7
,,,,,,,,,,,,,,nonwinner11.ai,nonwinner08.ai,nonwinner07.ai,,3,7
,,,,,,,,,,,,,,nonwinner07.ai,nonwinner05.ai,nonwinner08.ai,,4,8
73,8493,09,07,27,19,36,33,55,51,72,68,,,,,,base02.ai,4,8
95,8356,15,08,30,29,34,36,47,57,64,74,,,,,,base02.ai,1,9
11,6578,09,10,,,,,58,54,68,75,free02.ai,free03.ai,,,,base02.ai,1,9
20,678,06,04,25,26,,,55,49,68,67,free03.ai,,,,,base02.ai,2,10
,,,,,,,,,,,,,,nonwinner10.ai,nonwinner15.ai,nonwinner13.ai,,2,10
,,,,,,,,,,,,,,nonwinner12.ai,nonwinner01.ai,nonwinner08.ai,,3,11
31,945,,,30,17,40,32,49,53,74,65,free01.ai,,,,,base02.ai,3,11
30,328,,,24,25,38,37,54,51,61,69,free01.ai,,,,,base02.ai,4,12
,,,,,,,,,,,,,,nonwinner11.ai,nonwinner14.ai,nonwinner04.ai,,4,12
,,,,,,,,,,,,,,nonwinner07.ai,nonwinner03.ai,nonwinner13.ai,,1,13
74,2170,15,13,25,19,34,32,53,52,70,61,,,,,,base02.ai,1,13
,,,,,,,,,,,,,,nonwinner08.ai,nonwinner12.ai,nonwinner05.ai,,2,14
115,5098,11,09,22,19,44,31,60,53,73,65,,,,,,base02.ai,2,14
125,1128,01,14,28,30,40,42,50,47,66,74,,,,,,base02.ai,3,15
35,7276,09,04,24,27,31,44,,,63,70,free04.ai,,,,,base02.ai,3,15
128,8418,11,13,29,20,44,45,60,52,68,63,,,,,,base02.ai,4,16
60,5159,15,07,21,25,38,44,57,60,68,70,,,,,,base02.ai,4,16
,,,,,,,,,,,,,,nonwinner09.ai,nonwinner07.ai,nonwinner03.ai,,1,17
14,5894,03,15,,,31,36,,,62,75,free02.ai,free04.ai,,,,base02.ai,1,17
,,,,,,,,,,,,,,nonwinner06.ai,nonwinner05.ai,nonwinner12.ai,,2,18
,,,,,,,,,,,,,,nonwinner09.ai,nonwinner10.ai,nonwinner03.ai,,2,18
138,7257,10,02,26,25,40,38,56,57,63,75,,,,,,base02.ai,3,19
28,781,06,03,,,44,41,51,59,70,64,free02.ai,,,,,base02.ai,3,19
,,,,,,,,,,,,,,nonwinner02.ai,nonwinner08.ai,nonwinner11.ai,,4,20
,,,,,,,,,,,,,,nonwinner05.ai,nonwinner14.ai,nonwinner13.ai,,4,20
,,,,,,,,,,,,,,nonwinner11.ai,nonwinner01.ai,nonwinner12.ai,,1,21
66,1427,01,06,27,22,40,39,49,56,63,72,,,,,,base02.ai,1,21
46,1810,07,12,,,36,31,54,60,69,73,free02.ai,,,,,base02.ai,2,22
62,6421,15,07,20,19,40,37,46,50,73,71,,,,,,base02.ai,2,22
131,1165,09,06,20,18,37,38,48,47,71,67,,,,,,base02.ai,3,23
,,,,,,,,,,,,,,nonwinner03.ai,nonwinner12.ai,nonwinner01.ai,,3,23
,,,,,,,,,,,,,,nonwinner04.ai,nonwinner08.ai,nonwinner06.ai,,4,24
60,5159,15,07,21,25,38,44,57,60,68,70,,,,,,base02.ai,4,24
,,,,,,,,,,,,,,nonwinner11.ai,nonwinner02.ai,nonwinner01.ai,,1,25
78,7499,09,06,26,16,33,35,48,46,64,74,,,,,,base02.ai,1,25
52,3579,,,25,21,44,37,47,51,71,67,free01.ai,,,,,base02.ai,2,26
,,,,,,,,,,,,,,nonwinner11.ai,nonwinner04.ai,nonwinner01.ai,,2,26
125,1128,01,14,28,30,40,42,50,47,66,74,,,,,,base02.ai,3,27
,,,,,,,,,,,,,,nonwinner12.ai,nonwinner05.ai,nonwinner14.ai,,3,27
,,,,,,,,,,,,,,nonwinner15.ai,nonwinner12.ai,nonwinner01.ai,,4,28
11,4632,,,,,43,42,59,56,70,74,free01.ai,free02.ai,,,,base02.ai,4,28
,,,,,,,,,,,,,,nonwinner08.ai,nonwinner12.ai,nonwinner06.ai,,1,1
135,5568,10,11,23,16,35,33,50,53,70,62,,,,,,base02.ai,1,1
130,4717,06,05,16,20,31,41,59,46,62,66,,,,,,base02.ai,2,2
,,,,,,,,,,,,,,nonwinner10.ai,nonwinner09.ai,nonwinner05.ai,,2,2
29,4861,,,23,28,36,37,58,53,64,63,free01.ai,,,,,base02.ai,3,3
,,,,,,,,,,,,,,nonwinner05.ai,nonwinner10.ai,nonwinner07.ai,,3,3
123,742,03,15,27,30,37,41,55,49,62,72,,,,,,base02.ai,4,4
,,,,,,,,,,,,,,nonwinner05.ai,nonwinner14.ai,nonwinner13.ai,,4,4
,,,,,,,,,,,,,,nonwinner04.ai,nonwinner10.ai,nonwinner05.ai,,1,5
,,,,,,,,,,,,,,nonwinner01.ai,nonwinner12.ai,nonwinner05.ai,,1,5
40,8215,,,27,25,34,32,60,53,73,74,free01.ai,,,,,base02.ai,2,6
126,78,12,06,20,16,44,39,56,49,74,69,,,,,,base02.ai,2,6
139,1746,03,10,27,23,42,34,56,50,61,67,,,,,,base02.ai,3,7
,,,,,,,,,,,,,,nonwinner14.ai,nonwinner11.ai,nonwinner07.ai,,3,7
19,1375,13,12,,,36,31,46,55,68,73,free02.ai,,,,,base02.ai,4,8
87,569,08,10,23,17,43,37,47,55,65,66,,,,,,base02.ai,4,8
21,3176,,,16,19,40,32,47,46,72,74,free01.ai,,,,,base02.ai,1,9
,,,,,,,,,,,,,,nonwinner10.ai,nonwinner14.ai,nonwinner09.ai,,1,9
74,3363,13,06,17,25,42,40,46,53,72,75,,,,,,base02.ai,2,10
,,,,,,,,,,,,,,nonwinner01.ai,nonwinner02.ai,nonwinner10.ai,,2,10
,,,,,,,,,,,,,,nonwinner07.ai,nonwinner12.ai,nonwinner04.ai,,3,11
105,6893,01,11,23,25,39,33,50,51,63,75,,,,,,base02.ai,3,11
,,,,,,,,,,,,,,nonwinner03.ai,nonwinner15.ai,nonwinner01.ai,,4,12
,,,,,,,,,,,,,,nonwinner11.ai,nonwinner12.ai,nonwinner13.ai,,4,12
102,4049,13,03,23,22,45,42,47,60,71,63,,,,,,base02.ai,1,13
44,2031,15,03,,,43,39,47,59,66,75,free02.ai,,,,,base02.ai,1,13
,,,,,,,,,,,,,,nonwinner09.ai,nonwinner11.ai,nonwinner06.ai,,2,14
57,1954,05,13,26,19,31,40,46,52,62,67,,,,,,base02.ai,2,14
,,,,,,,,,,,,,,nonwinner14.ai,nonwinner12.ai,nonwinner01.ai,,3,15
,,,,,,,,,,,,,,nonwinner13.ai,nonwinner08.ai,nonwinner04.ai,,3,15
92,3703,06,09,18,29,33,41,49,59,66,69,,,,,,base02.ai,4,16
122,7936,02,06,28,26,32,45,48,52,64,75,,,,,,base02.ai,4,16
,,,,,,,,,,,,,,nonwinner09.ai,nonwinner15.ai,nonwinner08.ai,,1,17
,,,,,,,,,,,,,,nonwinner11.ai,nonwinner01.ai,nonwinner12.ai,,1,17
80,3754,11,15,21,22,38,33,56,52,68,71,,,,,,base02.ai,2,18
118,1933,14,08,23,21,43,35,50,55,74,64,,,,,,base02.ai,2,18
10,1328,,,,,38,41,46,53,69,73,free01.ai,free02.ai,,,,base02.ai,3,19
30,3239,,,18,21,35,37,53,46,71,74,free01.ai,,,,,base02.ai,3,19
111,6024,15,11,21,16,33,45,54,55,65,62,,,,,,base02.ai,4,20
55,8819,14,06,,,35,32,47,59,67,70,free02.ai,,,,,base02.ai,4,20
58,1707,11,13,18,20,43,34,56,51,65,61,,,,,,base02.ai,1,21
106,7183,01,04,19,30,38,32,51,54,75,72,,,,,,base02.ai,1,21
,,,,,,,,,,,,,,nonwinner09.ai,nonwinner04.ai,nonwinner14.ai,,2,22
94,6594,12,13,23,27,38,39,60,50,69,71,,,,,,base02.ai,2,22
1,5383,,,,,32,36,49,47,71,61,free01.ai,free02.ai,,,,base02.ai,3,23
121,8101,03,13,20,16,37,39,51,46,73,72,,,,,,base02.ai,3,23
42,5376,,,18,30,45,32,49,50,72,70,free01.ai,,,,,base02.ai,4,24
34,6378,13,12,16,27,,,50,53,75,68,free03.ai,,,,,base02.ai,4,24
,,,,,,,,,,,,,,nonwinner01.ai,nonwinner07.ai,nonwinner08.ai,,1,25
,,,,,,,,,,,,,,nonwinner06.ai,nonwinner09.ai,nonwinner10.ai,,1,25
,,,,,,,,,,,,,,nonwinner05.ai,nonwinner12.ai,nonwinner14.ai,,2,26
74,3363,13,06,17,25,42,40,46,53,72,75,,,,,,base02.ai,2,26
,,,,,,,,,,,,,,nonwinner02.ai,nonwinner11.ai,nonwinner14.ai,,3,27
67,8186,10,06,18,23,42,39,46,53,69,61,,,,,,base02.ai,3,27
37,693,,,19,29,34,39,55,48,67,69,free01.ai,,,,,base02.ai,4,28
,,,,,,,,,,,,,,nonwinner01.ai,nonwinner10.ai,nonwinner02.ai,,4,28
123,3332,05,12,21,29,36,42,51,57,72,66,,,,,,base02.ai,1,1
49,2535,,,17,20,35,42,57,51,72,70,free01.ai,,,,,base02.ai,1,1
,,,,,,,,,,,,,,nonwinner14.ai,nonwinner04.ai,nonwinner11.ai,,2,2
132,4959,15,08,16,24,32,44,48,56,63,72,,,,,,base02.ai,2,2
57,3337,01,12,27,18,38,43,55,59,65,73,,,,,,base02.ai,3,3
,,,,,,,,,,,,,,nonwinner09.ai,nonwinner01.ai,nonwinner15.ai,,3,3
83,4169,15,09,23,16,41,38,58,47,63,71,,,,,,base02.ai,4,4
,,,,,,,,,,,,,,nonwinner10.ai,nonwinner13.ai,nonwinner11.ai,,4,4
,,,,,,,,,,,,,,nonwinner09.ai,nonwinner10.ai,nonwinner02.ai,,1,5
,,,,,,,,,,,,,,nonwinner10.ai,nonwinner06.ai,nonwinner11.ai,,1,5
,,,,,,,,,,,,,,nonwinner05.ai,nonwinner06.ai,nonwinner12.ai,,2,6
4,6255,,,30,27,,,48,57,61,66,free01.ai,free03.ai,,,,base02.ai,2,6
115,8807,14,11,22,26,33,45,59,49,68,66,,,,,,base02.ai,3,7
39,8499,,,17,23,43,36,51,48,74,71,free01.ai,,,,,base02.ai,3,7
81,829,12,02,22,19,31,44,46,56,75,63,,,,,,base02.ai,4,8
7,1900,,,26,30,,,52,53,63,66,free01.ai,free03.ai,,,,base02.ai,4,8
,,,,,,,,,,,,,,nonwinner15.ai,nonwinner09.ai,nonwinner08.ai,,1,9
39,6789,07,02,,,39,36,53,57,73,67,free02.ai,,,,,base02.ai,1,9
,,,,,,,,,,,,,,nonwinner10.ai,nonwinner04.ai,nonwinner03.ai,,2,10
130,4717,06,05,16,20,31,41,59,46,62,66,,,,,,base02.ai,2,10
99,5464,03,12,27,24,31,42,51,56,63,72,,,,,,base02.ai,3,11
,,,,,,,,,,,,,,nonwinner02.ai,nonwinner11.ai,nonwinner14.ai,,3,11
58,7061,05,12,24,22,43,35,59,47,75,66,,,,,,base02.ai,4,12
88,982,06,12,29,20,40,32,53,51,65,73,,,,,,base02.ai,4,12
34,4350,,,30,16,38,33,55,49,67,63,free01.ai,,,,,base02.ai,1,13
114,2093,06,14,26,18,31,39,56,54,64,68,,,,,,base02.ai,1,13
55,8778,10,12,20,25,39,37,,,70,63,free04.ai,,,,,base02.ai,2,14
83,5723,07,14,29,22,37,44,56,60,64,74,,,,,,base02.ai,2,14
,,,,,,,,,,,,,,nonwinner09.ai,nonwinner02.ai,nonwinner10.ai,,3,15
19,3083,,,16,21,43,33,57,51,66,75,free01.ai,,,,,base02.ai,3,15
10,1360,,,29,17,,,49,46,70,64,free01.ai,free03.ai,,,,base02.ai,4,16
38,4736,,,19,26,38,40,60,54,61,70,free01.ai,,,,,base02.ai,4,16
48,8070,06,01,,,34,45,59,54,71,69,free02.ai,,,,,base02.ai,1,17
42,4557,,,16,17,37,35,54,57,61,66,free01.ai,,,,,base02.ai,1,17
,,,,,,,,,,,,,,nonwinner01.ai,nonwinner06.ai,nonwinner08.ai,,2,18
20,678,06,04,25,26,,,55,49,68,67,free03.ai,,,,,base02.ai,2,18
106,6948,06,09,29,22,36,43,46,57,68,74,,,,,,base02.ai,3,19
