TKT,VER,N1B,N1C,N2B,N2C,N3B,N3C,N4B,N4C,N5B,N5C,I1,I2,I3,I4,I5,B,P,CD
,,,,,,,,,,,,,,nonwinner116.ai,nonwinner53.ai,nonwinner95.ai,,2,
,,,,,,,,,,,,,,nonwinner21.ai,nonwinner37.ai,nonwinner19.ai,,2,
,,,,,,,,,,,,,,nonwinner115.ai,nonwinner42.ai,nonwinner67.ai,,2,
,,,,,,,,,,,,,,nonwinner103.ai,nonwinner74.ai,nonwinner10.ai,,2,
,,,,,,,,,,,,,,nonwinner97.ai,nonwinner137.ai,nonwinner32.ai,,2,
,,,,,,,,,,,,,,nonwinner112.ai,nonwinner108.ai,nonwinner39.ai,,2,
,,,,,,,,,,,,,,nonwinner69.ai,nonwinner31.ai,nonwinner43.ai,,2,
,,,,,,,,,,,,,,nonwinner159.ai,nonwinner45.ai,nonwinner47.ai,,2,
,,,,,,,,,,,,,,nonwinner150.ai,nonwinner104.ai,nonwinner134.ai,,2,
,,,,,,,,,,,,,,nonwinner24.ai,nonwinner109.ai,nonwinner73.ai,,2,
,,,,,,,,,,,,,,nonwinner16.ai,nonwinner17.ai,nonwinner36.ai,,2,
,,,,,,,,,,,,,,nonwinner92.ai,nonwinner142.ai,nonwinner82.ai,,2,
,,,,,,,,,,,,,,nonwinner129.ai,nonwinner27.ai,nonwinner56.ai,,2,
,,,,,,,,,,,,,,nonwinner94.ai,nonwinner28.ai,nonwinner98.ai,,2,
,,,,,,,,,,,,,,nonwinner04.ai,nonwinner20.ai,nonwinner77.ai,,2,
,,,,,,,,,,,,,,nonwinner08.ai,nonwinner83.ai,nonwinner128.ai,,2,
,,,,,,,,,,,,,,nonwinner127.ai,nonwinner102.ai,nonwinner70.ai,,2,
,,,,,,,,,,,,,,nonwinner26.ai,nonwinner105.ai,nonwinner125.ai,,2,
,,,,,,,,,,,,,,nonwinner46.ai,nonwinner68.ai,nonwinner101.ai,,2,
,,,,,,,,,,,,,,nonwinner61.ai,nonwinner149.ai,nonwinner114.ai,,2,
,,,,,,,,,,,,,,nonwinner15.ai,nonwinner140.ai,nonwinner12.ai,,2,
,,,,,,,,,,,,,,nonwinner100.ai,nonwinner135.ai,nonwinner136.ai,,2,
,,,,,,,,,,,,,,nonwinner110.ai,nonwinner38.ai,nonwinner113.ai,,2,
,,,,,,,,,,,,,,nonwinner89.ai,nonwinner163.ai,nonwinner23.ai,,2,
,,,,,,,,,,,,,,nonwinner122.ai,nonwinner91.ai,nonwinner34.ai,,2,
,,,,,,,,,,,,,,nonwinner52.ai,nonwinner55.ai,nonwinner01.ai,,2,
,,,,,,,,,,,,,,nonwinner93.ai,nonwinner13.ai,nonwinner164.ai,,2,
,,,,,,,,,,,,,,nonwinner49.ai,nonwinner22.ai,nonwinner09.ai,,2,
,,,,,,,,,,,,,,nonwinner14.ai,nonwinner30.ai,nonwinner44.ai,,2,
,,,,,,,,,,,,,,nonwinner63.ai,nonwinner71.ai,nonwinner166.ai,,2,
,,,,,,,,,,,,,,nonwinner154.ai,nonwinner48.ai,nonwinner107.ai,,2,
,,,,,,,,,,,,,,nonwinner81.ai,nonwinner157.ai,nonwinner165.ai,,2,
,,,,,,,,,,,,,,nonwinner33.ai,nonwinner130.ai,nonwinner72.ai,,2,
,,,,,,,,,,,,,,nonwinner02.ai,nonwinner147.ai,nonwinner152.ai,,2,
,,,,,,,,,,,,,,nonwinner124.ai,nonwinner162.ai,nonwinner06.ai,,2,
,,,,,,,,,,,,,,nonwinner126.ai,nonwinner138.ai,nonwinner25.ai,,2,
,,,,,,,,,,,,,,nonwinner145.ai,nonwinner123.ai,nonwinner11.ai,,2,
,,,,,,,,,,,,,,nonwinner29.ai,nonwinner139.ai,nonwinner155.ai,,2,
,,,,,,,,,,,,,,nonwinner57.ai,nonwinner51.ai,nonwinner65.ai,,2,
,,,,,,,,,,,,,,nonwinner99.ai,nonwinner18.ai,nonwinner132.ai,,2,
,,,,,,,,,,,,,,nonwinner117.ai,nonwinner161.ai,nonwinner88.ai,,2,
,,,,,,,,,,,,,,nonwinner58.ai,nonwinner62.ai,nonwinner64.ai,,2,
,,,,,,,,,,,,,,nonwinner160.ai,nonwinner78.ai,nonwinner59.ai,,2,
,,,,,,,,,,,,,,nonwinner156.ai,nonwinner143.ai,nonwinner40.ai,,2,
,,,,,,,,,,,,,,nonwinner96.ai,nonwinner158.ai,nonwinner03.ai,,2,
,,,,,,,,,,,,,,nonwinner90.ai,nonwinner148.ai,nonwinner41.ai,,2,
,,,,,,,,,,,,,,nonwinner120.ai,nonwinner60.ai,nonwinner118.ai,,2,
,,,,,,,,,,,,,,nonwinner54.ai,nonwinner111.ai,nonwinner119.ai,,2,
,,,,,,,,,,,,,,nonwinner106.ai,nonwinner66.ai,nonwinner80.ai,,2,
,,,,,,,,,,,,,,nonwinner75.ai,nonwinner05.ai,nonwinner86.ai,,2,
,,,,,,,,,,,,,,nonwinner76.ai,nonwinner07.ai,nonwinner133.ai,,2,
,,,,,,,,,,,,,,nonwinner15.ai,nonwinner50.ai,nonwinner103.ai,,2,
,,,,,,,,,,,,,,nonwinner124.ai,nonwinner121.ai,nonwinner69.ai,,2,
,,,,,,,,,,,,,,nonwinner37.ai,nonwinner155.ai,nonwinner31.ai,,2,
,,,,,,,,,,,,,,nonwinner14.ai,nonwinner113.ai,nonwinner92.ai,,2,
,,,,,,,,,,,,,,nonwinner71.ai,nonwinner21.ai,nonwinner160.ai,,2,
,,,,,,,,,,,,,,nonwinner118.ai,nonwinner67.ai,nonwinner135.ai,,2,
,,,,,,,,,,,,,,nonwinner29.ai,nonwinner148.ai,nonwinner01.ai,,2,
,,,,,,,,,,,,,,nonwinner27.ai,nonwinner106.ai,nonwinner79.ai,,2,
,,,,,,,,,,,,,,nonwinner61.ai,nonwinner49.ai,nonwinner78.ai,,2,
,,,,,,,,,,,,,,nonwinner112.ai,nonwinner97.ai,nonwinner117.ai,,2,
,,,,,,,,,,,,,,nonwinner34.ai,nonwinner140.ai,nonwinner10.ai,,2,
,,,,,,,,,,,,,,nonwinner144.ai,nonwinner55.ai,nonwinner104.ai,,2,
,,,,,,,,,,,,,,nonwinner83.ai,nonwinner164.ai,nonwinner143.ai,,2,
,,,,,,,,,,,,,,nonwinner158.ai,nonwinner73.ai,nonwinner35.ai,,2,
,,,,,,,,,,,,,,nonwinner63.ai,nonwinner100.ai,nonwinner123.ai,,2,
,,,,,,,,,,,,,,nonwinner12.ai,nonwinner25.ai,nonwinner149.ai,,2,
,,,,,,,,,,,,,,nonwinner119.ai,nonwinner115.ai,nonwinner138.ai,,2,
,,,,,,,,,,,,,,nonwinner110.ai,nonwinner20.ai,nonwinner142.ai,,2,
,,,,,,,,,,,,,,nonwinner02.ai,nonwinner139.ai,nonwinner156.ai,,2,
,,,,,,,,,,,,,,nonwinner68.ai,nonwinner72.ai,nonwinner81.ai,,2,
,,,,,,,,,,,,,,nonwinner41.ai,nonwinner108.ai,nonwinner77.ai,,2,
,,,,,,,,,,,,,,nonwinner48.ai,nonwinner05.ai,nonwinner11.ai,,2,
,,,,,,,,,,,,,,nonwinner04.ai,nonwinner45.ai,nonwinner84.ai,,2,
,,,,,,,,,,,,,,nonwinner111.ai,nonwinner13.ai,nonwinner74.ai,,2,
,,,,,,,,,,,,,,nonwinner24.ai,nonwinner89.ai,nonwinner43.ai,,2,
,,,,,,,,,,,,,,nonwinner120.ai,nonwinner56.ai,nonwinner64.ai,,2,
,,,,,,,,,,,,,,nonwinner91.ai,nonwinner33.ai,nonwinner65.ai,,2,
,,,,,,,,,,,,,,nonwinner105.ai,nonwinner80.ai,nonwinner16.ai,,2,
,,,,,,,,,,,,,,nonwinner59.ai,nonwinner23.ai,nonwinner88.ai,,2,
,,,,,,,,,,,,,,nonwinner40.ai,nonwinner98.ai,nonwinner90.ai,,2,
,,,,,,,,,,,,,,nonwinner17.ai,nonwinner09.ai,nonwinner03.ai,,2,
,,,,,,,,,,,,,,nonwinner127.ai,nonwinner150.ai,nonwinner134.ai,,2,
,,,,,,,,,,,,,,nonwinner125.ai,nonwinner57.ai,nonwinner136.ai,,2,
,,,,,,,,,,,,,,nonwinner76.ai,nonwinner159.ai,nonwinner39.ai,,2,
,,,,,,,,,,,,,,nonwinner126.ai,nonwinner93.ai,nonwinner132.ai,,2,
,,,,,,,,,,,,,,nonwinner42.ai,nonwinner152.ai,nonwinner154.ai,,2,
,,,,,,,,,,,,,,nonwinner114.ai,nonwinner94.ai,nonwinner47.ai,,2,
,,,,,,,,,,,,,,nonwinner146.ai,nonwinner96.ai,nonwinner101.ai,,2,
,,,,,,,,,,,,,,nonwinner129.ai,nonwinner86.ai,nonwinner75.ai,,2,
,,,,,,,,,,,,,,nonwinner165.ai,nonwinner53.ai,nonwinner99.ai,,2,
,,,,,,,,,,,,,,nonwinner36.ai,nonwinner161.ai,nonwinner18.ai,,2,
,,,,,,,,,,,,,,nonwinner116.ai,nonwinner06.ai,nonwinner22.ai,,2,
,,,,,,,,,,,,,,nonwinner130.ai,nonwinner28.ai,nonwinner07.ai,,2,
,,,,,,,,,,,,,,nonwinner85.ai,nonwinner131.ai,nonwinner153.ai,,2,
,,,,,,,,,,,,,,nonwinner163.ai,nonwinner157.ai,nonwinner66.ai,,2,
,,,,,,,,,,,,,,nonwinner166.ai,nonwinner38.ai,nonwinner122.ai,,2,
,,,,,,,,,,,,,,nonwinner60.ai,nonwinner46.ai,nonwinner58.ai,,2,
,,,,,,,,,,,,,,nonwinner102.ai,nonwinner109.ai,nonwinner70.ai,,2,
,,,,,,,,,,,,,,nonwinner19.ai,nonwinner107.ai,nonwinner147.ai,,2,
,,,,,,,,,,,,,,nonwinner26.ai,nonwinner145.ai,nonwinner151.ai,,2,
,,,,,,,,,,,,,,nonwinner54.ai,nonwinner95.ai,nonwinner44.ai,,2,
,,,,,,,,,,,,,,nonwinner128.ai,nonwinner52.ai,nonwinner82.ai,,2,
,,,,,,,,,,,,,,nonwinner30.ai,nonwinner141.ai,nonwinner162.ai,,2,
,,,,,,,,,,,,,,nonwinner133.ai,nonwinner08.ai,nonwinner51.ai,,2,
,,,,,,,,,,,,,,nonwinner32.ai,nonwinner87.ai,nonwinner137.ai,,2,
,,,,,,,,,,,,,,nonwinner83.ai,nonwinner120.ai,nonwinner05.ai,,2,
,,,,,,,,,,,,,,nonwinner127.ai,nonwinner74.ai,nonwinner04.ai,,2,
,,,,,,,,,,,,winner01.ai,,,,,,2,1
,,,,,,,,,,,,winner02.ai,,,,,,2,2
,,,,,,,,,,,,winner02.ai,,,,,,2,2
,,,,,,,,,,,,winner02.ai,,,,,,2,2
,,,,,,,,,,,,winner02.ai,,,,,,2,2
,,,,,,,,,,,,winner02.ai,,,,,,2,2
,,,,,,,,,,,,winner03.ai,,,,,,2,3
,,,,,,,,,,,,winner03.ai,,,,,,2,3
,,,,,,,,,,,,winner03.ai,,,,,,2,3
,,,,,,,,,,,,winner03.ai,,,,,,2,3
,,,,,,,,,,,,winner03.ai,,,,,,2,3
,,,,,,,,,,,,winner03.ai,,,,,,2,3
,,,,,,,,,,,,winner03.ai,,,,,,2,3
,,,,,,,,,,,,winner03.ai,,,,,,2,3
,,,,,,,,,,,,winner03.ai,,,,,,2,3
,,,,,,,,,,,,winner03.ai,,,,,,2,3
,,,,,,,,,,,,winner04.ai,,,,,,2,4
,,,,,,,,,,,,winner04.ai,,,,,,2,4
,,,,,,,,,,,,winner04.ai,,,,,,2,4
,,,,,,,,,,,,winner04.ai,,,,,,2,4
,,,,,,,,,,,,winner04.ai,,,,,,2,4
,,,,,,,,,,,,winner04.ai,,,,,,2,4
,,,,,,,,,,,,winner04.ai,,,,,,2,4
,,,,,,,,,,,,winner04.ai,,,,,,2,4
,,,,,,,,,,,,winner04.ai,,,,,,2,4
,,,,,,,,,,,,winner04.ai,,,,,,2,4
,,,,,,,,,,,,winner04.ai,,,,,,2,4
,,,,,,,,,,,,winner04.ai,,,,,,2,4
,,,,,,,,,,,,winner04.ai,,,,,,2,4
,,,,,,,,,,,,winner04.ai,,,,,,2,4
,,,,,,,,,,,,winner04.ai,,,,,,2,4
,,,,,,,,,,,,winner04.ai,,,,,,2,4
,,,,,,,,,,,,winner04.ai,,,,,,2,4
,,,,,,,,,,,,winner04.ai,,,,,,2,4
,,,,,,,,,,,,winner04.ai,,,,,,2,4
,,,,,,,,,,,,winner04.ai,,,,,,2,4
,,,,,,,,,,,,winner05.ai,,,,,,2,
,,,,,,,,,,,,winner05.ai,,,,,,2,
,,,,,,,,,,,,winner05.ai,,,,,,2,
,,,,,,,,,,,,winner05.ai,,,,,,2,
,,,,,,,,,,,,winner05.ai,,,,,,2,
,,,,,,,,,,,,winner05.ai,,,,,,2,
,,,,,,,,,,,,winner05.ai,,,,,,2,
,,,,,,,,,,,,winner05.ai,,,,,,2,
,,,,,,,,,,,,winner05.ai,,,,,,2,
,,,,,,,,,,,,winner05.ai,,,,,,2,
,,,,,,,,,,,,winner05.ai,,,,,,2,
,,,,,,,,,,,,winner05.ai,,,,,,2,
,,,,,,,,,,,,winner05.ai,,,,,,2,
,,,,,,,,,,,,winner05.ai,,,,,,2,
,,,,,,,,,,,,winner05.ai,,,,,,2,
,,,,,,,,,,,,winner05.ai,,,,,,2,
,,,,,,,,,,,,winner05.ai,,,,,,2,
,,,,,,,,,,,,winner05.ai,,,,,,2,
,,,,,,,,,,,,winner05.ai,,,,,,2,
,,,,,,,,,,,,winner05.ai,,,,,,2,
,,,,,,,,,,,,winner05.ai,,,,,,2,
,,,,,,,,,,,,winner05.ai,,,,,,2,
,,,,,,,,,,,,winner05.ai,,,,,,2,
,,,,,,,,,,,,winner05.ai,,,,,,2,
,,,,,,,,,,,,winner05.ai,,,,,,2,
,,,,,,,,,,,,winner05.ai,,,,,,2,
,,,,,,,,,,,,winner05.ai,,,,,,2,
,,,,,,,,,,,,winner05.ai,,,,,,2,
,,,,,,,,,,,,winner05.ai,,,,,,2,
,,,,,,,,,,,,winner05.ai,,,,,,2,
,,,,,,,,,,,,winner05.ai,,,,,,2,
,,,,,,,,,,,,winner05.ai,,,,,,2,
,,,,,,,,,,,,winner05.ai,,,,,,2,
,,,,,,,,,,,,winner05.ai,,,,,,2,
,,,,,,,,,,,,winner05.ai,,,,,,2,
,,,,,,,,,,,,winner05.ai,,,,,,2,
,,,,,,,,,,,,winner05.ai,,,,,,2,
,,,,,,,,,,,,winner05.ai,,,,,,2,
,,,,,,,,,,,,winner05.ai,,,,,,2,
,,,,,,,,,,,,winner05.ai,,,,,,2,
,,,,,,,,,,,,winner05.ai,,,,,,2,
,,,,,,,,,,,,winner05.ai,,,,,,2,
,,,,,,,,,,,,winner05.ai,,,,,,2,
,,,,,,,,,,,,winner05.ai,,,,,,2,
,,,,,,,,,,,,winner05.ai,,,,,,2,
,,,,,,,,,,,,winner05.ai,,,,,,2,
,,,,,,,,,,,,winner05.ai,,,,,,2,
,,,,,,,,,,,,winner05.ai,,,,,,2,
,,,,,,,,,,,,winner05.ai,,,,,,2,
,,,,,,,,,,,,winner05.ai,,,,,,2,
1,2826,,,28,27,33,43,58,51,,,free01.ai,free05.ai,,,,base02.ai,2,
2,2826,03,09,,,,,52,53,72,63,free02.ai,free03.ai,,,,base02.ai,2,
3,2029,,,22,19,,,46,58,65,71,free01.ai,free03.ai,,,,base02.ai,2,
4,2029,05,04,21,24,38,32,,,,,free04.ai,free05.ai,,,,base02.ai,2,
5,7697,,,30,17,32,36,58,49,,,free01.ai,free05.ai,,,,base02.ai,2,
6,7697,12,15,,,45,38,59,60,,,free02.ai,free05.ai,,,,base02.ai,2,
7,2498,,,30,16,,,53,46,68,69,free01.ai,free03.ai,,,,base02.ai,2,
8,8752,,,20,29,39,35,,,71,66,free01.ai,free04.ai,,,,base02.ai,2,
9,7062,,,19,29,,,52,56,61,64,free01.ai,free03.ai,,,,base02.ai,2,
10,5329,02,09,,,38,40,55,47,,,free02.ai,free05.ai,,,,base02.ai,2,
11,5329,,,20,22,,,56,51,67,68,free01.ai,free03.ai,,,,base02.ai,2,
12,7468,,,18,24,34,42,57,47,,,free01.ai,free05.ai,,,,base02.ai,2,
13,4004,14,10,26,23,44,43,,,,,free04.ai,free05.ai,,,,base02.ai,2,
14,7514,,,,,31,39,50,60,70,68,free01.ai,free02.ai,,,,base02.ai,2,
15,5827,,,27,21,33,45,56,52,67,73,free01.ai,,,,,base02.ai,2,
16,6505,11,08,23,18,43,32,47,51,,,free05.ai,,,,,base02.ai,2,
17,4320,11,03,28,26,40,34,47,51,,,free05.ai,,,,,base02.ai,2,
18,4320,01,07,18,27,35,44,50,60,,,free05.ai,,,,,base02.ai,2,
19,3105,02,06,,,44,41,53,49,66,64,free02.ai,,,,,base02.ai,2,
20,3105,10,08,25,17,40,34,,,70,68,free04.ai,,,,,base02.ai,2,
21,7235,08,12,20,28,36,42,,,62,69,free04.ai,,,,,base02.ai,2,
22,2853,,,24,29,33,31,53,56,74,69,free01.ai,,,,,base02.ai,2,
23,2853,01,05,22,23,39,35,49,55,,,free05.ai,,,,,base02.ai,2,
24,3210,02,01,25,17,34,31,,,62,65,free04.ai,,,,,base02.ai,2,
25,8563,07,08,,,31,38,50,49,61,62,free02.ai,,,,,base02.ai,2,
26,8563,13,11,24,20,41,36,55,60,,,free05.ai,,,,,base02.ai,2,
27,40,,,22,19,33,37,55,51,66,61,free01.ai,,,,,base02.ai,2,
28,6446,02,09,27,24,39,36,,,71,73,free04.ai,,,,,base02.ai,2,
29,2522,,,25,17,44,40,56,59,63,71,free01.ai,,,,,base02.ai,2,
30,2522,04,07,28,30,,,47,52,62,65,free03.ai,,,,,base02.ai,2,
31,5158,,,26,16,32,42,48,46,72,70,free01.ai,,,,,base02.ai,2,
32,4032,06,05,29,18,38,40,,,62,65,free04.ai,,,,,base02.ai,2,
33,5252,,,20,23,34,42,53,54,61,67,free01.ai,,,,,base02.ai,2,
34,5199,,,23,18,35,31,57,59,68,74,free01.ai,,,,,base02.ai,2,
35,4604,12,06,17,23,34,40,50,55,,,free05.ai,,,,,base02.ai,2,
36,4604,,,18,16,45,39,52,56,62,68,free01.ai,,,,,base02.ai,2,
37,5356,01,05,26,27,,,57,46,73,61,free03.ai,,,,,base02.ai,2,
38,963,,,26,29,32,37,56,53,67,74,free01.ai,,,,,base02.ai,2,
39,3288,,,30,16,44,33,49,51,67,69,free01.ai,,,,,base02.ai,2,
40,3288,,,23,19,34,35,58,59,64,72,free01.ai,,,,,base02.ai,2,
41,920,,,16,29,43,34,50,48,61,65,free01.ai,,,,,base02.ai,2,
42,3887,13,01,19,22,,,54,46,69,61,free03.ai,,,,,base02.ai,2,
43,8123,04,12,27,29,41,42,54,55,,,free05.ai,,,,,base02.ai,2,
44,2038,14,03,,,36,39,46,53,62,67,free02.ai,,,,,base02.ai,2,
45,2739,,,16,18,31,42,54,50,63,69,free01.ai,,,,,base02.ai,2,
46,2463,08,11,25,20,43,44,,,73,74,free04.ai,,,,,base02.ai,2,
47,4081,13,07,,,40,35,58,55,73,67,free02.ai,,,,,base02.ai,2,
48,4081,14,10,22,28,,,59,52,62,70,free03.ai,,,,,base02.ai,2,
49,7168,03,02,28,27,,,46,54,72,61,free03.ai,,,,,base02.ai,2,
50,7168,,,25,19,43,35,48,60,68,64,free01.ai,,,,,base02.ai,2,
51,8031,12,09,30,17,45,41,56,58,,,free05.ai,,,,,base02.ai,2,
52,450,15,14,22,24,,,55,49,72,70,free03.ai,,,,,base02.ai,2,
53,450,11,09,26,30,,,48,50,69,63,free03.ai,,,,,base02.ai,2,
54,3530,02,07,22,27,,,57,59,63,67,free03.ai,,,,,base02.ai,2,
55,2059,04,13,,,41,39,53,59,62,61,free02.ai,,,,,base02.ai,2,
56,4832,11,15,29,21,36,43,46,51,,,free05.ai,,,,,base02.ai,2,
57,6594,05,13,26,27,37,39,58,50,67,71,,,,,,base02.ai,2,
58,2875,03,06,28,21,31,33,59,55,69,62,,,,,,base02.ai,2,
59,7965,05,10,20,26,35,40,47,46,67,75,,,,,,base02.ai,2,
60,2590,02,03,18,16,36,45,55,56,67,66,,,,,,base02.ai,2,
61,1600,06,14,17,22,36,34,60,48,61,71,,,,,,base02.ai,2,
62,1600,07,12,29,28,39,42,59,49,65,63,,,,,,base02.ai,2,
63,6831,01,11,21,16,41,31,51,54,61,66,,,,,,base02.ai,2,
64,6831,04,02,23,29,32,43,59,47,73,75,,,,,,base02.ai,2,
65,7555,07,05,20,30,44,45,56,55,69,71,,,,,,base02.ai,2,
66,7050,06,08,19,28,45,40,50,60,64,71,,,,,,base02.ai,2,
67,8895,02,14,19,26,40,38,54,51,62,69,,,,,,base02.ai,2,
68,6071,04,10,28,24,34,40,60,46,74,65,,,,,,base02.ai,2,
69,6071,14,06,30,26,33,32,59,50,63,71,,,,,,base02.ai,2,
70,783,13,09,29,17,39,31,55,58,68,73,,,,,,base02.ai,2,
71,783,14,15,20,30,34,45,49,53,63,74,,,,,,base02.ai,2,
72,804,05,03,17,16,36,43,55,60,68,62,,,,,,base02.ai,2,
73,804,15,10,25,22,38,34,49,53,69,74,,,,,,base02.ai,2,
74,70,11,06,25,20,42,33,50,53,72,65,,,,,,base02.ai,2,
75,70,10,01,21,28,41,40,57,60,71,67,,,,,,base02.ai,2,
76,5758,13,06,20,18,35,31,59,48,62,72,,,,,,base02.ai,2,
77,1688,02,07,28,18,43,45,49,50,64,75,,,,,,base02.ai,2,
78,5757,08,11,26,29,37,35,57,52,70,65,,,,,,base02.ai,2,
79,5757,04,02,28,19,45,39,54,53,75,74,,,,,,base02.ai,2,
80,5673,14,10,27,30,39,44,55,54,64,62,,,,,,base02.ai,2,
81,8470,15,11,22,19,43,33,60,49,73,69,,,,,,base02.ai,2,
82,8470,06,02,25,24,45,39,47,48,67,65,,,,,,base02.ai,2,
83,2841,13,05,17,29,41,32,48,59,73,68,,,,,,base02.ai,2,
84,2841,08,14,23,19,34,38,49,51,64,75,,,,,,base02.ai,2,
85,7103,02,05,20,27,44,42,55,56,62,65,,,,,,base02.ai,2,
