TKT,VER,N1B,N1C,N2B,N2C,N3B,N3C,N4B,N4C,N5B,N5C,I1,I2,I3,I4,I5,B,P
,,,,,,,,,,,,,,nonwinner14.ai,nonwinner01.ai,nonwinner15.ai,,3
,,,,,,,,,,,,,,nonwinner03.ai,nonwinner04.ai,nonwinner12.ai,,3
,,,,,,,,,,,,,,nonwinner11.ai,nonwinner06.ai,nonwinner02.ai,,3
,,,,,,,,,,,,,,nonwinner07.ai,nonwinner13.ai,nonwinner09.ai,,3
,,,,,,,,,,,,,,nonwinner12.ai,nonwinner03.ai,nonwinner06.ai,,3
,,,,,,,,,,,,,,nonwinner10.ai,nonwinner04.ai,nonwinner01.ai,,3
,,,,,,,,,,,,,,nonwinner14.ai,nonwinner13.ai,nonwinner11.ai,,3
,,,,,,,,,,,,,,nonwinner09.ai,nonwinner08.ai,nonwinner02.ai,,3
,,,,,,,,,,,,,,nonwinner07.ai,nonwinner15.ai,nonwinner05.ai,,3
,,,,,,,,,,,,,,nonwinner01.ai,nonwinner13.ai,nonwinner05.ai,,3
,,,,,,,,,,,,,,nonwinner06.ai,nonwinner02.ai,nonwinner09.ai,,3
,,,,,,,,,,,,,,nonwinner04.ai,nonwinner10.ai,nonwinner12.ai,,3
,,,,,,,,,,,,,,nonwinner14.ai,nonwinner11.ai,nonwinner07.ai,,3
,,,,,,,,,,,,,,nonwinner15.ai,nonwinner03.ai,nonwinner08.ai,,3
,,,,,,,,,,,,,,nonwinner15.ai,nonwinner07.ai,nonwinner04.ai,,3
,,,,,,,,,,,,,,nonwinner09.ai,nonwinner02.ai,nonwinner03.ai,,3
,,,,,,,,,,,,,,nonwinner05.ai,nonwinner08.ai,nonwinner12.ai,,3
,,,,,,,,,,,,,,nonwinner06.ai,nonwinner14.ai,nonwinner13.ai,,3
,,,,,,,,,,,,,,nonwinner11.ai,nonwinner10.ai,nonwinner01.ai,,3
,,,,,,,,,,,,,,nonwinner13.ai,nonwinner06.ai,nonwinner01.ai,,3
,,,,,,,,,,,,,,nonwinner09.ai,nonwinner02.ai,nonwinner10.ai,,3
,,,,,,,,,,,,winner01.ai,,,,,,3
,,,,,,,,,,,,winner01.ai,,,,,,3
,,,,,,,,,,,,winner01.ai,,,,,,3
1,5383,,,,,32,36,49,47,71,61,free01.ai,free02.ai,,,,base02.ai,3
2,1392,,,,,39,40,56,57,62,65,free01.ai,free02.ai,,,,base02.ai,3
3,5524,,,,,44,37,56,54,73,71,free01.ai,free02.ai,,,,base02.ai,3
4,5499,03,07,,,35,33,56,59,,,free02.ai,free05.ai,,,,base02.ai,3
5,393,05,09,,,,,51,55,64,62,free02.ai,free03.ai,,,,base02.ai,3
6,6139,,,,,32,34,59,54,66,62,free01.ai,free02.ai,,,,base02.ai,3
7,4892,,,,,43,35,47,49,72,71,free01.ai,free02.ai,,,,base02.ai,3
8,2783,,,23,18,31,40,,,70,74,free01.ai,free04.ai,,,,base02.ai,3
9,6200,,,16,19,34,37,,,74,65,free01.ai,free04.ai,,,,base02.ai,3
10,1328,,,,,38,41,46,53,69,73,free01.ai,free02.ai,,,,base02.ai,3
11,7312,15,04,,,,,49,59,69,73,free02.ai,free03.ai,,,,base02.ai,3
12,4430,,,,,31,32,58,50,73,65,free01.ai,free02.ai,,,,base02.ai,3
13,7803,,,28,20,34,33,47,53,,,free01.ai,free05.ai,,,,base02.ai,3
14,8015,10,01,,,,,55,52,68,75,free02.ai,free03.ai,,,,base02.ai,3
15,6801,07,13,,,43,37,55,47,64,73,free02.ai,,,,,base02.ai,3
16,5536,09,04,18,17,,,56,49,75,63,free03.ai,,,,,base02.ai,3
17,8262,,,22,24,34,36,60,47,63,65,free01.ai,,,,,base02.ai,3
18,7561,10,14,20,25,38,41,,,62,72,free04.ai,,,,,base02.ai,3
19,3083,,,16,21,43,33,57,51,66,75,free01.ai,,,,,base02.ai,3
20,652,05,02,,,35,42,50,49,67,62,free02.ai,,,,,base02.ai,3
21,7323,10,12,21,25,,,59,57,61,68,free03.ai,,,,,base02.ai,3
22,869,,,29,24,43,39,52,48,72,62,free01.ai,,,,,base02.ai,3
23,2626,,,21,24,36,45,50,46,71,72,free01.ai,,,,,base02.ai,3
24,3257,14,08,,,41,36,59,56,74,68,free02.ai,,,,,base02.ai,3
25,5209,15,11,,,37,44,51,46,63,75,free02.ai,,,,,base02.ai,3
26,5994,,,21,19,38,34,53,47,62,67,free01.ai,,,,,base02.ai,3
27,5972,10,13,,,40,34,59,60,67,69,free02.ai,,,,,base02.ai,3
28,781,06,03,,,44,41,51,59,70,64,free02.ai,,,,,base02.ai,3
29,4861,,,23,28,36,37,58,53,64,63,free01.ai,,,,,base02.ai,3
30,3239,,,18,21,35,37,53,46,71,74,free01.ai,,,,,base02.ai,3
31,945,,,30,17,40,32,49,53,74,65,free01.ai,,,,,base02.ai,3
32,7719,,,16,24,39,40,50,46,63,71,free01.ai,,,,,base02.ai,3
33,8787,01,05,,,44,38,47,60,75,69,free02.ai,,,,,base02.ai,3
34,3441,,,28,17,38,39,53,58,62,72,free01.ai,,,,,base02.ai,3
35,7276,09,04,24,27,31,44,,,63,70,free04.ai,,,,,base02.ai,3
36,7276,,,22,26,38,40,52,54,69,65,free01.ai,,,,,base02.ai,3
37,5491,14,04,27,29,,,59,60,71,65,free03.ai,,,,,base02.ai,3
38,574,01,02,,,41,45,60,47,75,67,free02.ai,,,,,base02.ai,3
39,8499,,,17,23,43,36,51,48,74,71,free01.ai,,,,,base02.ai,3
40,7365,15,07,,,35,45,48,53,72,64,free02.ai,,,,,base02.ai,3
41,1111,,,27,17,38,45,51,56,70,61,free01.ai,,,,,base02.ai,3
42,5985,,,23,18,37,39,48,52,63,69,free01.ai,,,,,base02.ai,3
43,7911,04,08,,,42,35,51,48,67,64,free02.ai,,,,,base02.ai,3
44,4413,08,09,,,44,35,56,59,66,68,free02.ai,,,,,base02.ai,3
45,4413,10,02,,,33,39,46,54,62,73,free02.ai,,,,,base02.ai,3
46,2919,12,01,,,43,32,56,58,72,75,free02.ai,,,,,base02.ai,3
47,1466,,,30,23,44,34,52,58,74,71,free01.ai,,,,,base02.ai,3
48,1309,05,07,,,40,31,59,54,75,72,free02.ai,,,,,base02.ai,3
49,3662,,,20,30,35,36,50,58,71,74,free01.ai,,,,,base02.ai,3
50,595,09,12,,,35,39,56,49,73,61,free02.ai,,,,,base02.ai,3
51,1201,14,11,,,42,31,47,53,72,67,free02.ai,,,,,base02.ai,3
52,8344,,,26,22,32,44,50,60,71,68,free01.ai,,,,,base02.ai,3
53,3569,01,13,,,32,44,58,59,68,63,free02.ai,,,,,base02.ai,3
54,4197,10,15,,,44,40,50,60,65,75,free02.ai,,,,,base02.ai,3
55,5900,08,14,21,17,,,54,47,75,63,free03.ai,,,,,base02.ai,3
56,249,12,14,,,35,41,56,54,71,67,free02.ai,,,,,base02.ai,3
57,3337,01,12,27,18,38,43,55,59,65,73,,,,,,base02.ai,3
58,1641,01,14,22,19,38,42,50,59,75,68,,,,,,base02.ai,3
59,7562,01,15,19,30,41,37,60,59,71,63,,,,,,base02.ai,3
60,4573,02,11,28,29,35,42,50,58,72,64,,,,,,base02.ai,3
61,3938,14,02,21,17,36,43,59,56,75,62,,,,,,base02.ai,3
62,6262,09,13,25,17,42,33,49,47,66,73,,,,,,base02.ai,3
63,8022,13,06,19,20,32,44,58,48,67,70,,,,,,base02.ai,3
64,3452,04,05,24,20,45,37,56,50,65,62,,,,,,base02.ai,3
65,7150,03,02,16,29,35,40,60,51,66,74,,,,,,base02.ai,3
66,7588,01,08,19,16,43,33,50,54,66,73,,,,,,base02.ai,3
67,8186,10,06,18,23,42,39,46,53,69,61,,,,,,base02.ai,3
68,692,05,13,21,17,38,33,57,52,70,65,,,,,,base02.ai,3
69,8549,09,15,27,29,45,38,50,46,61,62,,,,,,base02.ai,3
70,3,06,11,16,19,45,43,48,55,68,73,,,,,,base02.ai,3
71,194,09,10,21,23,32,44,49,53,66,63,,,,,,base02.ai,3
72,8690,03,14,25,20,44,42,46,50,73,61,,,,,,base02.ai,3
73,2054,01,10,25,26,32,37,47,48,66,69,,,,,,base02.ai,3
74,5043,05,13,23,16,38,39,58,52,75,62,,,,,,base02.ai,3
75,2102,12,10,17,27,43,37,57,47,70,64,,,,,,base02.ai,3
76,2102,02,09,30,23,39,40,52,49,71,72,,,,,,base02.ai,3
77,5385,10,04,29,21,34,44,59,55,64,72,,,,,,base02.ai,3
78,5385,06,15,20,25,31,33,48,54,74,65,,,,,,base02.ai,3
79,8354,14,02,20,23,45,42,55,48,69,67,,,,,,base02.ai,3
80,2831,10,13,21,28,44,43,48,60,68,72,,,,,,base02.ai,3
81,2097,14,02,30,16,40,35,54,60,72,64,,,,,,base02.ai,3
82,2384,02,06,20,26,39,42,53,47,70,74,,,,,,base02.ai,3
83,1904,12,10,30,21,45,33,53,47,67,74,,,,,,base02.ai,3
84,4269,04,13,28,21,45,43,60,58,75,65,,,,,,base02.ai,3
85,3198,02,11,22,29,38,33,50,57,66,63,,,,,,base02.ai,3
86,3136,04,03,17,20,41,31,54,52,67,63,,,,,,base02.ai,3
87,1876,04,15,19,24,38,40,54,59,74,67,,,,,,base02.ai,3
88,4101,01,07,28,23,31,45,55,52,61,62,,,,,,base02.ai,3
89,7501,08,01,26,25,41,36,59,56,65,71,,,,,,base02.ai,3
90,1420,06,11,20,23,38,40,51,56,63,68,,,,,,base02.ai,3
91,4983,04,08,23,25,32,42,54,55,72,71,,,,,,base02.ai,3
92,6425,06,04,21,22,36,40,55,53,65,68,,,,,,base02.ai,3
93,4220,11,14,26,22,38,41,52,57,73,62,,,,,,base02.ai,3
94,3586,05,13,25,19,45,41,51,60,65,75,,,,,,base02.ai,3
95,3586,02,06,23,22,42,32,48,57,63,70,,,,,,base02.ai,3
96,5069,12,07,24,20,40,42,58,49,66,62,,,,,,base02.ai,3
97,8416,09,15,30,24,45,38,47,57,72,69,,,,,,base02.ai,3
98,8416,01,11,18,26,35,37,49,56,67,68,,,,,,base02.ai,3
99,5464,03,12,27,24,31,42,51,56,63,72,,,,,,base02.ai,3
100,6804,10,04,27,25,31,45,50,56,71,68,,,,,,base02.ai,3
101,5041,09,15,29,18,44,33,47,59,75,61,,,,,,base02.ai,3
102,5709,06,07,23,30,34,39,48,59,67,64,,,,,,base02.ai,3
103,1340,01,03,20,22,31,44,54,58,69,72,,,,,,base02.ai,3
104,4392,15,04,16,17,34,33,50,58,68,71,,,,,,base02.ai,3
105,6893,01,11,23,25,39,33,50,51,63,75,,,,,,base02.ai,3
106,6948,06,09,29,22,36,43,46,57,68,74,,,,,,base02.ai,3
107,4299,07,01,16,17,36,38,46,59,71,61,,,,,,base02.ai,3
108,2112,08,05,18,26,34,39,48,54,75,74,,,,,,base02.ai,3
109,2502,06,07,21,26,37,35,51,60,65,63,,,,,,base02.ai,3
110,6005,05,14,21,20,31,42,56,57,62,68,,,,,,base02.ai,3
111,3733,07,13,16,28,44,37,58,59,71,69,,,,,,base02.ai,3
112,7374,01,14,25,23,35,31,48,56,75,64,,,,,,base02.ai,3
113,7477,09,07,23,22,39,38,51,59,72,66,,,,,,base02.ai,3
114,1356,01,11,29,19,36,33,54,59,62,61,,,,,,base02.ai,3
115,8807,14,11,22,26,33,45,59,49,68,66,,,,,,base02.ai,3
116,455,09,06,18,23,39,37,54,46,67,63,,,,,,base02.ai,3
117,8170,05,04,28,21,31,39,51,54,63,73,,,,,,base02.ai,3
118,1811,03,12,28,30,42,40,54,50,75,70,,,,,,base02.ai,3
119,6373,09,07,23,18,34,45,56,49,67,61,,,,,,base02.ai,3
120,6373,04,03,20,17,38,32,52,47,62,70,,,,,,base02.ai,3
121,8101,03,13,20,16,37,39,51,46,73,72,,,,,,base02.ai,3
122,874,10,03,17,26,33,37,47,54,63,67,,,,,,base02.ai,3
123,4247,07,11,30,26,41,42,60,56,65,71,,,,,,base02.ai,3
124,1347,12,10,22,16,41,45,58,55,66,64,,,,,,base02.ai,3
125,1128,01,14,28,30,40,42,50,47,66,74,,,,,,base02.ai,3
126,4716,15,14,17,23,37,36,55,50,74,63,,,,,,base02.ai,3
127,487,13,11,24,30,43,33,49,54,74,66,,,,,,base02.ai,3
128,3289,07,15,29,21,41,31,57,50,63,72,,,,,,base02.ai,3
129,3289,12,11,25,27,42,32,51,60,71,65,,,,,,base02.ai,3
130,844,08,13,28,24,37,42,59,48,65,73,,,,,,base02.ai,3
131,1165,09,06,20,18,37,38,48,47,71,67,,,,,,base02.ai,3
132,4684,07,08,23,16,36,35,52,55,67,71,,,,,,base02.ai,3
133,856,06,07,21,16,39,42,52,60,61,69,,,,,,base02.ai,3
134,7496,14,13,17,20,31,33,54,51,73,64,,,,,,base02.ai,3
135,5939,12,03,28,16,31,45,59,56,61,64,,,,,,base02.ai,3
136,4171,10,03,26,22,33,41,57,60,72,68,,,,,,base02.ai,3
137,4231,01,12,19,24,37,43,49,60,75,66,,,,,,base02.ai,3
138,7257,10,02,26,25,40,38,56,57,63,75,,,,,,base02.ai,3
139,1746,03,10,27,23,42,34,56,50,61,67,,,,,,base02.ai,3
140,6395,05,09,28,23,38,33,49,52,67,61,,,,,,base02.ai,3
