TKT,VER,N1B,N1C,N2B,N2C,N3B,N3C,N4B,N4C,N5B,N5C,I1,I2,I3,I4,I5,B,P
,,,,,,,,,,,,,,nonwinner15.ai,nonwinner13.ai,nonwinner14.ai,,1
,,,,,,,,,,,,,,nonwinner03.ai,nonwinner04.ai,nonwinner06.ai,,1
,,,,,,,,,,,,,,nonwinner11.ai,nonwinner01.ai,nonwinner12.ai,,1
,,,,,,,,,,,,,,nonwinner09.ai,nonwinner10.ai,nonwinner02.ai,,1
,,,,,,,,,,,,,,nonwinner06.ai,nonwinner09.ai,nonwinner10.ai,,1
,,,,,,,,,,,,,,nonwinner13.ai,nonwinner04.ai,nonwinner08.ai,,1
,,,,,,,,,,,,,,nonwinner07.ai,nonwinner15.ai,nonwinner11.ai,,1
,,,,,,,,,,,,,,nonwinner01.ai,nonwinner12.ai,nonwinner05.ai,,1
,,,,,,,,,,,,,,nonwinner14.ai,nonwinner02.ai,nonwinner03.ai,,1
,,,,,,,,,,,,,,nonwinner14.ai,nonwinner10.ai,nonwinner12.ai,,1
,,,,,,,,,,,,,,nonwinner13.ai,nonwinner11.ai,nonwinner08.ai,,1
,,,,,,,,,,,,,,nonwinner05.ai,nonwinner02.ai,nonwinner15.ai,,1
,,,,,,,,,,,,,,nonwinner07.ai,nonwinner06.ai,nonwinner01.ai,,1
,,,,,,,,,,,,,,nonwinner09.ai,nonwinner04.ai,nonwinner03.ai,,1
,,,,,,,,,,,,,,nonwinner05.ai,nonwinner02.ai,nonwinner07.ai,,1
,,,,,,,,,,,,,,nonwinner10.ai,nonwinner14.ai,nonwinner09.ai,,1
,,,,,,,,,,,,,,nonwinner04.ai,nonwinner01.ai,nonwinner12.ai,,1
,,,,,,,,,,,,,,nonwinner03.ai,nonwinner08.ai,nonwinner11.ai,,1
,,,,,,,,,,,,,,nonwinner06.ai,nonwinner15.ai,nonwinner13.ai,,1
,,,,,,,,,,,,,,nonwinner15.ai,nonwinner09.ai,nonwinner08.ai,,1
,,,,,,,,,,,,,,nonwinner11.ai,nonwinner02.ai,nonwinner01.ai,,1
,,,,,,,,,,,,,,nonwinner03.ai,nonwinner06.ai,nonwinner07.ai,,1
,,,,,,,,,,,,,,nonwinner12.ai,nonwinner04.ai,nonwinner05.ai,,1
,,,,,,,,,,,,,,nonwinner14.ai,nonwinner13.ai,nonwinner10.ai,,1
,,,,,,,,,,,,,,nonwinner13.ai,nonwinner05.ai,nonwinner08.ai,,1
,,,,,,,,,,,,,,nonwinner04.ai,nonwinner06.ai,nonwinner02.ai,,1
,,,,,,,,,,,,,,nonwinner03.ai,nonwinner15.ai,nonwinner12.ai,,1
,,,,,,,,,,,,,,nonwinner09.ai,nonwinner14.ai,nonwinner10.ai,,1
,,,,,,,,,,,,,,nonwinner11.ai,nonwinner01.ai,nonwinner07.ai,,1
,,,,,,,,,,,,,,nonwinner03.ai,nonwinner12.ai,nonwinner06.ai,,1
,,,,,,,,,,,,,,nonwinner02.ai,nonwinner05.ai,nonwinner01.ai,,1
,,,,,,,,,,,,,,nonwinner11.ai,nonwinner07.ai,nonwinner10.ai,,1
,,,,,,,,,,,,,,nonwinner13.ai,nonwinner08.ai,nonwinner15.ai,,1
,,,,,,,,,,,,,,nonwinner04.ai,nonwinner14.ai,nonwinner09.ai,,1
,,,,,,,,,,,,,,nonwinner08.ai,nonwinner01.ai,nonwinner15.ai,,1
,,,,,,,,,,,,,,nonwinner13.ai,nonwinner07.ai,nonwinner12.ai,,1
,,,,,,,,,,,,,,nonwinner14.ai,nonwinner02.ai,nonwinner03.ai,,1
,,,,,,,,,,,,,,nonwinner04.ai,nonwinner10.ai,nonwinner05.ai,,1
,,,,,,,,,,,,,,nonwinner06.ai,nonwinner09.ai,nonwinner11.ai,,1
,,,,,,,,,,,,,,nonwinner12.ai,nonwinner09.ai,nonwinner05.ai,,1
,,,,,,,,,,,,,,nonwinner01.ai,nonwinner07.ai,nonwinner08.ai,,1
,,,,,,,,,,,,,,nonwinner10.ai,nonwinner06.ai,nonwinner11.ai,,1
,,,,,,,,,,,,,,nonwinner04.ai,nonwinner03.ai,nonwinner02.ai,,1
,,,,,,,,,,,,,,nonwinner14.ai,nonwinner13.ai,nonwinner15.ai,,1
,,,,,,,,,,,,winner01.ai,,,,,,1
,,,,,,,,,,,,winner01.ai,,,,,,1
,,,,,,,,,,,,winner01.ai,,,,,,1
1,1986,,,22,25,,,48,51,73,68,free01.ai,free03.ai,,,,base02.ai,1
2,1986,,,,,35,41,55,52,65,70,free01.ai,free02.ai,,,,base02.ai,1
3,5679,05,04,,,,,55,50,61,75,free02.ai,free03.ai,,,,base02.ai,1
4,5679,,,,,33,41,48,57,67,69,free01.ai,free02.ai,,,,base02.ai,1
5,4863,06,07,,,,,60,50,67,66,free02.ai,free03.ai,,,,base02.ai,1
6,1794,,,18,20,,,51,52,71,66,free01.ai,free03.ai,,,,base02.ai,1
7,1821,,,23,26,34,37,,,72,70,free01.ai,free04.ai,,,,base02.ai,1
8,4885,13,05,,,45,43,,,69,67,free02.ai,free04.ai,,,,base02.ai,1
9,1744,,,,,34,32,60,58,61,62,free01.ai,free02.ai,,,,base02.ai,1
10,1744,,,16,20,42,36,,,65,63,free01.ai,free04.ai,,,,base02.ai,1
11,6578,09,10,,,,,58,54,68,75,free02.ai,free03.ai,,,,base02.ai,1
12,5029,,,,,39,33,50,51,65,74,free01.ai,free02.ai,,,,base02.ai,1
13,390,,,,,42,45,60,54,64,73,free01.ai,free02.ai,,,,base02.ai,1
14,5894,03,15,,,31,36,,,62,75,free02.ai,free04.ai,,,,base02.ai,1
15,4783,14,11,,,44,42,56,59,69,72,free02.ai,,,,,base02.ai,1
16,3093,,,19,26,34,41,47,56,73,61,free01.ai,,,,,base02.ai,1
17,1610,13,05,,,35,41,50,59,65,72,free02.ai,,,,,base02.ai,1
18,1610,,,29,17,45,39,57,48,70,75,free01.ai,,,,,base02.ai,1
19,8857,02,03,29,16,,,46,48,61,68,free03.ai,,,,,base02.ai,1
20,714,,,28,24,42,31,56,47,65,71,free01.ai,,,,,base02.ai,1
21,3176,,,16,19,40,32,47,46,72,74,free01.ai,,,,,base02.ai,1
22,3540,05,14,,,32,31,49,60,69,75,free02.ai,,,,,base02.ai,1
23,5342,,,17,21,34,39,48,52,72,64,free01.ai,,,,,base02.ai,1
24,3498,09,02,,,39,45,59,53,61,71,free02.ai,,,,,base02.ai,1
25,42,07,05,22,24,44,34,,,70,72,free04.ai,,,,,base02.ai,1
26,6610,01,06,,,34,35,49,55,63,62,free02.ai,,,,,base02.ai,1
27,6496,,,24,23,33,44,53,48,74,73,free01.ai,,,,,base02.ai,1
28,1354,,,18,28,39,42,55,47,73,70,free01.ai,,,,,base02.ai,1
29,5682,08,01,,,31,40,46,59,66,73,free02.ai,,,,,base02.ai,1
30,2798,,,25,17,42,44,56,52,64,65,free01.ai,,,,,base02.ai,1
31,4853,,,24,23,41,38,55,51,71,67,free01.ai,,,,,base02.ai,1
32,5473,02,05,,,31,32,50,58,63,67,free02.ai,,,,,base02.ai,1
33,6565,06,08,24,29,,,51,57,66,72,free03.ai,,,,,base02.ai,1
34,4350,,,30,16,38,33,55,49,67,63,free01.ai,,,,,base02.ai,1
35,3839,12,05,,,45,38,60,48,72,63,free02.ai,,,,,base02.ai,1
36,6883,04,10,,,41,40,53,47,71,64,free02.ai,,,,,base02.ai,1
37,2224,,,28,24,44,37,46,60,73,74,free01.ai,,,,,base02.ai,1
38,90,12,01,,,32,44,53,48,72,67,free02.ai,,,,,base02.ai,1
39,6789,07,02,,,39,36,53,57,73,67,free02.ai,,,,,base02.ai,1
40,6754,12,05,,,41,35,58,56,75,62,free02.ai,,,,,base02.ai,1
41,958,08,03,,,43,45,52,49,67,65,free02.ai,,,,,base02.ai,1
42,4557,,,16,17,37,35,54,57,61,66,free01.ai,,,,,base02.ai,1
43,7857,05,08,,,38,44,46,48,75,65,free02.ai,,,,,base02.ai,1
44,2031,15,03,,,43,39,47,59,66,75,free02.ai,,,,,base02.ai,1
45,3336,14,12,29,17,,,55,50,61,71,free03.ai,,,,,base02.ai,1
46,3077,,,18,17,36,31,48,60,65,61,free01.ai,,,,,base02.ai,1
47,2584,,,18,23,41,38,54,58,70,61,free01.ai,,,,,base02.ai,1
48,8070,06,01,,,34,45,59,54,71,69,free02.ai,,,,,base02.ai,1
49,2535,,,17,20,35,42,57,51,72,70,free01.ai,,,,,base02.ai,1
50,2089,13,08,,,36,43,55,59,61,62,free02.ai,,,,,base02.ai,1
51,7532,,,18,27,35,43,52,60,61,64,free01.ai,,,,,base02.ai,1
52,5733,11,01,26,27,,,57,47,64,68,free03.ai,,,,,base02.ai,1
53,3034,,,25,22,38,33,52,53,66,63,free01.ai,,,,,base02.ai,1
54,3536,,,24,23,40,43,49,56,64,61,free01.ai,,,,,base02.ai,1
55,4859,,,27,28,44,33,52,51,73,71,free01.ai,,,,,base02.ai,1
56,7159,04,11,,,31,36,56,47,73,66,free02.ai,,,,,base02.ai,1
57,1793,07,06,17,26,31,42,52,48,72,70,,,,,,base02.ai,1
58,1707,11,13,18,20,43,34,56,51,65,61,,,,,,base02.ai,1
59,5932,11,10,28,26,35,41,50,52,71,61,,,,,,base02.ai,1
60,343,04,14,26,23,32,38,54,46,64,68,,,,,,base02.ai,1
61,8068,13,11,28,22,39,34,55,54,67,63,,,,,,base02.ai,1
62,5916,03,01,23,20,37,42,49,47,75,62,,,,,,base02.ai,1
63,8402,11,04,24,30,34,36,54,53,64,75,,,,,,base02.ai,1
64,3099,08,05,28,25,44,35,53,50,68,74,,,,,,base02.ai,1
65,1427,12,10,28,21,36,45,51,50,68,74,,,,,,base02.ai,1
66,1427,01,06,27,22,40,39,49,56,63,72,,,,,,base02.ai,1
67,2988,04,13,30,27,41,42,46,59,66,63,,,,,,base02.ai,1
68,6612,03,15,20,25,35,43,58,54,72,64,,,,,,base02.ai,1
69,2200,04,07,29,19,31,35,52,46,62,72,,,,,,base02.ai,1
70,1474,11,09,26,28,44,40,49,59,63,75,,,,,,base02.ai,1
71,5666,15,09,20,24,39,32,57,46,72,68,,,,,,base02.ai,1
72,1960,04,02,29,16,44,33,56,58,63,64,,,,,,base02.ai,1
73,3158,14,02,29,28,45,40,59,53,74,62,,,,,,base02.ai,1
74,2170,15,13,25,19,34,32,53,52,70,61,,,,,,base02.ai,1
75,5970,14,12,24,30,44,43,57,55,63,65,,,,,,base02.ai,1
76,8673,02,09,30,25,40,39,58,59,73,67,,,,,,base02.ai,1
77,5549,13,04,30,21,31,36,48,57,69,65,,,,,,base02.ai,1
78,7499,09,06,26,16,33,35,48,46,64,74,,,,,,base02.ai,1
79,3284,09,12,24,27,39,37,54,47,62,63,,,,,,base02.ai,1
80,423,11,13,22,27,39,34,46,59,63,73,,,,,,base02.ai,1
81,5308,01,03,24,19,44,40,49,51,74,65,,,,,,base02.ai,1
82,997,11,13,18,28,39,45,57,48,74,73,,,,,,base02.ai,1
83,5086,10,09,23,30,34,44,46,50,71,74,,,,,,base02.ai,1
84,7495,11,04,16,20,41,33,51,60,72,62,,,,,,base02.ai,1
85,8597,07,14,23,20,39,31,46,60,64,62,,,,,,base02.ai,1
86,4982,06,02,26,22,41,36,57,46,62,71,,,,,,base02.ai,1
87,4982,12,04,17,20,32,38,60,53,75,68,,,,,,base02.ai,1
88,1727,03,10,30,19,36,42,58,50,66,64,,,,,,base02.ai,1
89,2527,09,02,23,24,40,42,59,57,69,67,,,,,,base02.ai,1
90,6284,09,14,25,19,43,42,54,59,63,62,,,,,,base02.ai,1
91,2524,05,01,26,30,42,36,60,53,75,68,,,,,,base02.ai,1
92,8560,05,14,21,17,41,39,49,46,71,74,,,,,,base02.ai,1
93,7012,15,06,30,18,39,38,58,54,69,72,,,,,,base02.ai,1
94,1341,06,12,29,26,40,42,51,55,62,63,,,,,,base02.ai,1
95,8356,15,08,30,29,34,36,47,57,64,74,,,,,,base02.ai,1
96,5431,07,09,25,20,45,31,60,57,65,75,,,,,,base02.ai,1
97,556,15,11,22,28,41,35,51,48,61,74,,,,,,base02.ai,1
98,5404,14,08,21,27,39,34,55,54,61,68,,,,,,base02.ai,1
99,733,08,01,29,20,45,35,53,46,72,61,,,,,,base02.ai,1
100,5715,07,01,23,26,39,33,58,49,75,62,,,,,,base02.ai,1
101,6488,10,13,16,23,36,44,60,53,61,71,,,,,,base02.ai,1
102,4049,13,03,23,22,45,42,47,60,71,63,,,,,,base02.ai,1
103,2415,08,13,18,28,31,36,57,48,75,69,,,,,,base02.ai,1
104,2415,15,05,23,27,45,35,52,46,73,66,,,,,,base02.ai,1
105,4251,13,11,26,23,36,32,49,59,65,69,,,,,,base02.ai,1
106,7183,01,04,19,30,38,32,51,54,75,72,,,,,,base02.ai,1
107,4407,07,02,27,17,31,40,56,57,68,74,,,,,,base02.ai,1
108,187,10,01,29,21,45,36,46,56,62,63,,,,,,base02.ai,1
109,949,02,05,29,19,31,44,48,60,73,64,,,,,,base02.ai,1
110,1222,06,14,30,27,44,41,51,46,67,68,,,,,,base02.ai,1
111,6111,14,04,16,26,34,44,51,59,68,64,,,,,,base02.ai,1
112,3175,07,12,19,16,35,31,53,46,61,65,,,,,,base02.ai,1
113,1869,02,15,21,27,33,42,47,60,68,62,,,,,,base02.ai,1
114,2093,06,14,26,18,31,39,56,54,64,68,,,,,,base02.ai,1
115,5565,15,02,24,19,45,36,55,57,68,63,,,,,,base02.ai,1
116,2490,08,03,16,26,32,40,56,53,68,70,,,,,,base02.ai,1
117,6364,10,01,19,20,41,35,51,56,68,65,,,,,,base02.ai,1
118,4159,13,04,16,22,31,33,59,48,75,63,,,,,,base02.ai,1
119,739,01,14,27,18,40,44,46,50,69,71,,,,,,base02.ai,1
120,4536,15,05,25,26,45,35,56,46,65,61,,,,,,base02.ai,1
121,4681,15,13,26,16,33,32,55,53,72,70,,,,,,base02.ai,1
122,1804,04,01,30,27,39,34,47,57,71,72,,,,,,base02.ai,1
123,3332,05,12,21,29,36,42,51,57,72,66,,,,,,base02.ai,1
124,6706,01,15,27,17,44,39,51,55,66,70,,,,,,base02.ai,1
125,3041,14,12,24,19,39,34,52,49,63,69,,,,,,base02.ai,1
126,2014,09,12,23,19,39,45,52,46,66,62,,,,,,base02.ai,1
127,7024,09,06,28,21,37,41,57,49,74,63,,,,,,base02.ai,1
128,4233,02,01,17,16,41,45,48,50,73,74,,,,,,base02.ai,1
129,138,07,03,19,29,43,44,53,55,62,61,,,,,,base02.ai,1
130,1566,15,06,22,25,38,35,58,53,75,68,,,,,,base02.ai,1
131,7259,05,04,23,27,37,33,54,46,62,66,,,,,,base02.ai,1
132,6280,06,02,19,20,44,41,49,54,66,67,,,,,,base02.ai,1
133,6653,06,04,21,20,35,33,46,54,66,62,,,,,,base02.ai,1
134,2932,06,11,22,19,35,41,48,54,75,71,,,,,,base02.ai,1
135,5568,10,11,23,16,35,33,50,53,70,62,,,,,,base02.ai,1
136,6276,13,04,28,30,36,31,54,51,72,68,,,,,,base02.ai,1
137,6616,13,05,25,29,41,37,58,49,63,67,,,,,,base02.ai,1
138,2123,02,10,19,24,37,45,47,55,69,64,,,,,,base02.ai,1
139,7502,04,01,20,28,41,43,59,46,64,63,,,,,,base02.ai,1
140,4115,12,03,30,19,43,34,55,49,73,64,,,,,,base02.ai,1
