TKT,I1,NW1,NW2,NW3
,,nonwinner03.ai,nonwinner08.ai,nonwinner09.ai
,,nonwinner01.ai,nonwinner07.ai,nonwinner08.ai
,,nonwinner05.ai,nonwinner01.ai,nonwinner08.ai
,,nonwinner02.ai,nonwinner06.ai,nonwinner05.ai
7,playticket.ai,hold16.ai,hold31.ai,hold51.ai
,,nonwinner01.ai,nonwinner06.ai,nonwinner08.ai
,,nonwinner02.ai,nonwinner06.ai,nonwinner07.ai
9,playticket.ai,hold12.ai,hold38.ai,hold53.ai
,,nonwinner03.ai,nonwinner02.ai,nonwinner04.ai
,,nonwinner03.ai,nonwinner07.ai,nonwinner01.ai
,,nonwinner07.ai,nonwinner05.ai,nonwinner08.ai
,,nonwinner09.ai,nonwinner01.ai,nonwinner06.ai
,,nonwinner04.ai,nonwinner06.ai,nonwinner05.ai
,,nonwinner03.ai,nonwinner02.ai,nonwinner04.ai
,,nonwinner06.ai,nonwinner01.ai,nonwinner04.ai
8,playticket.ai,hold29.ai,hold48.ai,hold71.ai
,,nonwinner03.ai,nonwinner06.ai,nonwinner09.ai
,,nonwinner01.ai,nonwinner07.ai,nonwinner02.ai
,,nonwinner05.ai,nonwinner08.ai,nonwinner09.ai
,,nonwinner08.ai,nonwinner09.ai,nonwinner01.ai
,,nonwinner05.ai,nonwinner01.ai,nonwinner08.ai
,,nonwinner07.ai,nonwinner04.ai,nonwinner08.ai
,,nonwinner07.ai,nonwinner05.ai,nonwinner03.ai
,,nonwinner02.ai,nonwinner05.ai,nonwinner01.ai
,,nonwinner04.ai,nonwinner02.ai,nonwinner09.ai
,,nonwinner08.ai,nonwinner03.ai,nonwinner07.ai
,,nonwinner04.ai,nonwinner02.ai,nonwinner07.ai
,,nonwinner03.ai,nonwinner02.ai,nonwinner06.ai
16,playticket.ai,hold28.ai,hold35.ai,hold66.ai
,,nonwinner03.ai,nonwinner02.ai,nonwinner06.ai
,,nonwinner06.ai,nonwinner03.ai,nonwinner02.ai
,,nonwinner01.ai,nonwinner07.ai,nonwinner03.ai
,,nonwinner08.ai,nonwinner09.ai,nonwinner02.ai
,,nonwinner08.ai,nonwinner07.ai,nonwinner01.ai
,,nonwinner07.ai,nonwinner03.ai,nonwinner01.ai
,,nonwinner08.ai,nonwinner03.ai,nonwinner07.ai
,,nonwinner09.ai,nonwinner04.ai,nonwinner08.ai
,,nonwinner01.ai,nonwinner05.ai,nonwinner03.ai
,,nonwinner01.ai,nonwinner07.ai,nonwinner08.ai
17,playticket.ai,hold06.ai,hold22.ai,hold46.ai
,,nonwinner03.ai,nonwinner02.ai,nonwinner05.ai
,,nonwinner01.ai,nonwinner08.ai,nonwinner03.ai
,,nonwinner07.ai,nonwinner04.ai,nonwinner01.ai
,,nonwinner09.ai,nonwinner08.ai,nonwinner04.ai
,,nonwinner06.ai,nonwinner02.ai,nonwinner01.ai
24,playticket.ai,hold01.ai,hold42.ai,hold58.ai
,,nonwinner05.ai,nonwinner01.ai,nonwinner04.ai
,,nonwinner07.ai,nonwinner09.ai,nonwinner06.ai
,,nonwinner08.ai,nonwinner03.ai,nonwinner06.ai
,,nonwinner07.ai,nonwinner01.ai,nonwinner05.ai
,,nonwinner03.ai,nonwinner09.ai,nonwinner01.ai
,,nonwinner07.ai,nonwinner04.ai,nonwinner01.ai
,,nonwinner08.ai,nonwinner04.ai,nonwinner09.ai
,,nonwinner04.ai,nonwinner01.ai,nonwinner06.ai
,,nonwinner08.ai,nonwinner05.ai,nonwinner04.ai
,,nonwinner09.ai,nonwinner08.ai,nonwinner05.ai
,,nonwinner01.ai,nonwinner09.ai,nonwinner05.ai
,,nonwinner05.ai,nonwinner08.ai,nonwinner09.ai
,,nonwinner04.ai,nonwinner01.ai,nonwinner06.ai
,,nonwinner04.ai,nonwinner03.ai,nonwinner01.ai
,,nonwinner07.ai,nonwinner02.ai,nonwinner09.ai
,,nonwinner04.ai,nonwinner07.ai,nonwinner03.ai
13,playticket.ai,hold24.ai,hold34.ai,hold62.ai
,,nonwinner03.ai,nonwinner08.ai,nonwinner06.ai
,,nonwinner05.ai,nonwinner07.ai,nonwinner01.ai
,,nonwinner07.ai,nonwinner05.ai,nonwinner03.ai
,,nonwinner06.ai,nonwinner09.ai,nonwinner05.ai
10,playticket.ai,hold05.ai,hold30.ai,hold75.ai
,,nonwinner09.ai,nonwinner05.ai,nonwinner08.ai
,,nonwinner08.ai,nonwinner04.ai,nonwinner07.ai
,,nonwinner02.ai,nonwinner09.ai,nonwinner08.ai
,,nonwinner08.ai,nonwinner03.ai,nonwinner07.ai
,,nonwinner01.ai,nonwinner03.ai,nonwinner07.ai
,,nonwinner03.ai,nonwinner06.ai,nonwinner05.ai
,,nonwinner08.ai,nonwinner02.ai,nonwinner09.ai
,,nonwinner05.ai,nonwinner02.ai,nonwinner03.ai
,,nonwinner01.ai,nonwinner07.ai,nonwinner02.ai
,,nonwinner08.ai,nonwinner05.ai,nonwinner03.ai
,,nonwinner05.ai,nonwinner09.ai,nonwinner02.ai
,,nonwinner05.ai,nonwinner01.ai,nonwinner07.ai
,,nonwinner05.ai,nonwinner06.ai,nonwinner07.ai
,,nonwinner08.ai,nonwinner06.ai,nonwinner03.ai
,,nonwinner08.ai,nonwinner07.ai,nonwinner05.ai
,,nonwinner07.ai,nonwinner03.ai,nonwinner01.ai
,,nonwinner07.ai,nonwinner09.ai,nonwinner02.ai
,,nonwinner03.ai,nonwinner06.ai,nonwinner07.ai
,,nonwinner09.ai,nonwinner05.ai,nonwinner02.ai
,,nonwinner08.ai,nonwinner03.ai,nonwinner06.ai
,,nonwinner01.ai,nonwinner03.ai,nonwinner09.ai
,,nonwinner05.ai,nonwinner01.ai,nonwinner06.ai
,,nonwinner08.ai,nonwinner09.ai,nonwinner01.ai
,,nonwinner03.ai,nonwinner01.ai,nonwinner09.ai
,,nonwinner07.ai,nonwinner08.ai,nonwinner01.ai
,,nonwinner03.ai,nonwinner01.ai,nonwinner09.ai
,,nonwinner03.ai,nonwinner06.ai,nonwinner09.ai
,,nonwinner04.ai,nonwinner03.ai,nonwinner08.ai
,,nonwinner09.ai,nonwinner02.ai,nonwinner01.ai
,,nonwinner02.ai,nonwinner06.ai,nonwinner07.ai
,,nonwinner05.ai,nonwinner01.ai,nonwinner06.ai
,,nonwinner01.ai,nonwinner04.ai,nonwinner03.ai
,,nonwinner04.ai,nonwinner02.ai,nonwinner08.ai
,,nonwinner06.ai,nonwinner05.ai,nonwinner01.ai
,,nonwinner07.ai,nonwinner02.ai,nonwinner09.ai
,,nonwinner03.ai,nonwinner08.ai,nonwinner09.ai
,,nonwinner08.ai,nonwinner09.ai,nonwinner01.ai
,,nonwinner05.ai,nonwinner04.ai,nonwinner09.ai
,,nonwinner01.ai,nonwinner07.ai,nonwinner08.ai
,,nonwinner06.ai,nonwinner04.ai,nonwinner01.ai
,,nonwinner02.ai,nonwinner06.ai,nonwinner07.ai
,,nonwinner07.ai,nonwinner02.ai,nonwinner04.ai
,,nonwinner01.ai,nonwinner08.ai,nonwinner07.ai
,,nonwinner02.ai,nonwinner03.ai,nonwinner01.ai
,,nonwinner01.ai,nonwinner03.ai,nonwinner07.ai
18,playticket.ai,hold09.ai,hold45.ai,hold59.ai
,,nonwinner04.ai,nonwinner02.ai,nonwinner08.ai
,,nonwinner03.ai,nonwinner08.ai,nonwinner06.ai
,,nonwinner09.ai,nonwinner02.ai,nonwinner03.ai
,,nonwinner07.ai,nonwinner02.ai,nonwinner09.ai
,,nonwinner06.ai,nonwinner01.ai,nonwinner05.ai
,,nonwinner09.ai,nonwinner02.ai,nonwinner08.ai
,,nonwinner07.ai,nonwinner06.ai,nonwinner04.ai
,,nonwinner05.ai,nonwinner02.ai,nonwinner03.ai
,,nonwinner03.ai,nonwinner08.ai,nonwinner02.ai
4,playticket.ai,hold11.ai,hold41.ai,hold64.ai
,,nonwinner03.ai,nonwinner02.ai,nonwinner04.ai
,,nonwinner09.ai,nonwinner02.ai,nonwinner03.ai
7,playticket.ai,hold16.ai,hold31.ai,hold51.ai
,,nonwinner03.ai,nonwinner01.ai,nonwinner09.ai
,,nonwinner05.ai,nonwinner06.ai,nonwinner07.ai
,,nonwinner09.ai,nonwinner07.ai,nonwinner03.ai
,,nonwinner02.ai,nonwinner03.ai,nonwinner01.ai
,,nonwinner07.ai,nonwinner02.ai,nonwinner04.ai
,,nonwinner03.ai,nonwinner06.ai,nonwinner05.ai
,,nonwinner01.ai,nonwinner03.ai,nonwinner09.ai
,,nonwinner07.ai,nonwinner06.ai,nonwinner03.ai
,,nonwinner04.ai,nonwinner03.ai,nonwinner08.ai
,,nonwinner07.ai,nonwinner01.ai,nonwinner08.ai
2,playticket.ai,hold04.ai,hold54.ai,hold65.ai
10,playticket.ai,hold05.ai,hold30.ai,hold75.ai
4,playticket.ai,hold11.ai,hold41.ai,hold64.ai
,,nonwinner07.ai,nonwinner01.ai,nonwinner06.ai
,,nonwinner06.ai,nonwinner03.ai,nonwinner04.ai
11,playticket.ai,hold19.ai,hold39.ai,hold49.ai
,,nonwinner05.ai,nonwinner04.ai,nonwinner03.ai
,,nonwinner04.ai,nonwinner06.ai,nonwinner05.ai
,,nonwinner05.ai,nonwinner01.ai,nonwinner04.ai
12,playticket.ai,hold13.ai,hold57.ai,hold72.ai
,,nonwinner08.ai,nonwinner07.ai,nonwinner01.ai
,,nonwinner03.ai,nonwinner09.ai,nonwinner02.ai
16,playticket.ai,hold28.ai,hold35.ai,hold66.ai
,,nonwinner01.ai,nonwinner07.ai,nonwinner03.ai
7,playticket.ai,hold16.ai,hold31.ai,hold51.ai
,,nonwinner09.ai,nonwinner05.ai,nonwinner08.ai
,,nonwinner03.ai,nonwinner02.ai,nonwinner05.ai
,,nonwinner02.ai,nonwinner05.ai,nonwinner08.ai
,,nonwinner08.ai,nonwinner04.ai,nonwinner07.ai
,,nonwinner07.ai,nonwinner05.ai,nonwinner09.ai
,,nonwinner07.ai,nonwinner04.ai,nonwinner08.ai
,,nonwinner06.ai,nonwinner04.ai,nonwinner09.ai
,,nonwinner07.ai,nonwinner08.ai,nonwinner01.ai
,,nonwinner09.ai,nonwinner05.ai,nonwinner04.ai
,,nonwinner02.ai,nonwinner06.ai,nonwinner07.ai
,,nonwinner07.ai,nonwinner08.ai,nonwinner01.ai
,,nonwinner03.ai,nonwinner08.ai,nonwinner06.ai
,,nonwinner07.ai,nonwinner08.ai,nonwinner03.ai
,,nonwinner07.ai,nonwinner09.ai,nonwinner06.ai
,,nonwinner05.ai,nonwinner06.ai,nonwinner07.ai
,,nonwinner08.ai,nonwinner09.ai,nonwinner02.ai
,,nonwinner04.ai,nonwinner01.ai,nonwinner06.ai
16,playticket.ai,hold28.ai,hold35.ai,hold66.ai
,,nonwinner05.ai,nonwinner04.ai,nonwinner02.ai
,,nonwinner09.ai,nonwinner08.ai,nonwinner04.ai
,,nonwinner08.ai,nonwinner04.ai,nonwinner07.ai
,,nonwinner06.ai,nonwinner04.ai,nonwinner01.ai
,,nonwinner02.ai,nonwinner04.ai,nonwinner08.ai
,,nonwinner09.ai,nonwinner02.ai,nonwinner04.ai
,,nonwinner02.ai,nonwinner08.ai,nonwinner09.ai
,,nonwinner01.ai,nonwinner08.ai,nonwinner03.ai
,,nonwinner07.ai,nonwinner05.ai,nonwinner09.ai
,,nonwinner08.ai,nonwinner07.ai,nonwinner01.ai
,,nonwinner01.ai,nonwinner03.ai,nonwinner02.ai
,,nonwinner01.ai,nonwinner08.ai,nonwinner03.ai
19,playticket.ai,hold25.ai,hold60.ai,hold63.ai
,,nonwinner03.ai,nonwinner06.ai,nonwinner09.ai
,,nonwinner07.ai,nonwinner01.ai,nonwinner05.ai
8,playticket.ai,hold29.ai,hold48.ai,hold71.ai
,,nonwinner03.ai,nonwinner02.ai,nonwinner06.ai
,,nonwinner02.ai,nonwinner05.ai,nonwinner09.ai
,,nonwinner02.ai,nonwinner03.ai,nonwinner01.ai
,,nonwinner03.ai,nonwinner06.ai,nonwinner05.ai
,,nonwinner04.ai,nonwinner06.ai,nonwinner05.ai
,,nonwinner03.ai,nonwinner02.ai,nonwinner04.ai
,,nonwinner04.ai,nonwinner08.ai,nonwinner06.ai
,,nonwinner04.ai,nonwinner02.ai,nonwinner06.ai
,,nonwinner02.ai,nonwinner06.ai,nonwinner07.ai
,,nonwinner02.ai,nonwinner03.ai,nonwinner01.ai
,,nonwinner04.ai,nonwinner02.ai,nonwinner07.ai
,,nonwinner03.ai,nonwinner07.ai,nonwinner01.ai
,,nonwinner06.ai,nonwinner01.ai,nonwinner03.ai
,,nonwinner01.ai,nonwinner07.ai,nonwinner05.ai
,,nonwinner02.ai,nonwinner07.ai,nonwinner03.ai
,,nonwinner01.ai,nonwinner07.ai,nonwinner02.ai
,,nonwinner05.ai,nonwinner09.ai,nonwinner02.ai
,,nonwinner07.ai,nonwinner06.ai,nonwinner03.ai
,,nonwinner01.ai,nonwinner08.ai,nonwinner05.ai
,,nonwinner07.ai,nonwinner06.ai,nonwinner03.ai
,,nonwinner05.ai,nonwinner04.ai,nonwinner09.ai
,,nonwinner05.ai,nonwinner01.ai,nonwinner02.ai
,,nonwinner08.ai,nonwinner04.ai,nonwinner09.ai
,,nonwinner06.ai,nonwinner03.ai,nonwinner07.ai
,,nonwinner02.ai,nonwinner05.ai,nonwinner01.ai
,,nonwinner03.ai,nonwinner05.ai,nonwinner02.ai
,,nonwinner01.ai,nonwinner05.ai,nonwinner09.ai
4,playticket.ai,hold11.ai,hold41.ai,hold64.ai
,,nonwinner01.ai,nonwinner04.ai,nonwinner02.ai
,,nonwinner02.ai,nonwinner05.ai,nonwinner09.ai
,,nonwinner05.ai,nonwinner02.ai,nonwinner04.ai
,,nonwinner09.ai,nonwinner05.ai,nonwinner04.ai
,,nonwinner01.ai,nonwinner09.ai,nonwinner05.ai
,,nonwinner09.ai,nonwinner04.ai,nonwinner01.ai
,,nonwinner03.ai,nonwinner08.ai,nonwinner02.ai
,,nonwinner01.ai,nonwinner05.ai,nonwinner03.ai
,,nonwinner09.ai,nonwinner04.ai,nonwinner02.ai
,,nonwinner07.ai,nonwinner05.ai,nonwinner03.ai
,,nonwinner04.ai,nonwinner02.ai,nonwinner03.ai
,,nonwinner05.ai,nonwinner04.ai,nonwinner09.ai
,,nonwinner08.ai,nonwinner07.ai,nonwinner05.ai
,,nonwinner08.ai,nonwinner01.ai,nonwinner09.ai
,,nonwinner01.ai,nonwinner05.ai,nonwinner04.ai
,,nonwinner09.ai,nonwinner04.ai,nonwinner02.ai
,,nonwinner01.ai,nonwinner09.ai,nonwinner06.ai
,,nonwinner05.ai,nonwinner06.ai,nonwinner03.ai
,,nonwinner04.ai,nonwinner08.ai,nonwinner02.ai
,,nonwinner06.ai,nonwinner01.ai,nonwinner05.ai
,,nonwinner05.ai,nonwinner09.ai,nonwinner08.ai
,,nonwinner07.ai,nonwinner03.ai,nonwinner08.ai
,,nonwinner03.ai,nonwinner06.ai,nonwinner09.ai
,,nonwinner02.ai,nonwinner08.ai,nonwinner03.ai
,,nonwinner03.ai,nonwinner08.ai,nonwinner05.ai
,,nonwinner01.ai,nonwinner07.ai,nonwinner05.ai
,,nonwinner08.ai,nonwinner06.ai,nonwinner03.ai
,,nonwinner07.ai,nonwinner05.ai,nonwinner04.ai
,,nonwinner02.ai,nonwinner07.ai,nonwinner03.ai
,,nonwinner02.ai,nonwinner04.ai,nonwinner09.ai
,,nonwinner05.ai,nonwinner02.ai,nonwinner04.ai
,,nonwinner05.ai,nonwinner01.ai,nonwinner04.ai
2,playticket.ai,hold04.ai,hold54.ai,hold65.ai
,,nonwinner08.ai,nonwinner05.ai,nonwinner04.ai
,,nonwinner03.ai,nonwinner06.ai,nonwinner07.ai
,,nonwinner02.ai,nonwinner07.ai,nonwinner03.ai
,,nonwinner03.ai,nonwinner06.ai,nonwinner09.ai
,,nonwinner01.ai,nonwinner09.ai,nonwinner05.ai
,,nonwinner01.ai,nonwinner07.ai,nonwinner08.ai
,,nonwinner05.ai,nonwinner07.ai,nonwinner09.ai
9,playticket.ai,hold12.ai,hold38.ai,hold53.ai
,,nonwinner07.ai,nonwinner06.ai,nonwinner03.ai
,,nonwinner07.ai,nonwinner01.ai,nonwinner05.ai
,,nonwinner04.ai,nonwinner02.ai,nonwinner07.ai
,,nonwinner01.ai,nonwinner04.ai,nonwinner02.ai
,,nonwinner07.ai,nonwinner03.ai,nonwinner01.ai
,,nonwinner04.ai,nonwinner02.ai,nonwinner03.ai
,,nonwinner05.ai,nonwinner03.ai,nonwinner09.ai
,,nonwinner04.ai,nonwinner02.ai,nonwinner01.ai
,,nonwinner01.ai,nonwinner06.ai,nonwinner08.ai
,,nonwinner06.ai,nonwinner03.ai,nonwinner04.ai
,,nonwinner07.ai,nonwinner06.ai,nonwinner04.ai
,,nonwinner07.ai,nonwinner05.ai,nonwinner08.ai
,,nonwinner08.ai,nonwinner09.ai,nonwinner02.ai
,,nonwinner04.ai,nonwinner02.ai,nonwinner09.ai
22,playticket.ai,hold07.ai,hold47.ai,hold73.ai
,,nonwinner02.ai,nonwinner05.ai,nonwinner09.ai
,,nonwinner09.ai,nonwinner07.ai,nonwinner03.ai
,,nonwinner04.ai,nonwinner06.ai,nonwinner05.ai
,,nonwinner05.ai,nonwinner04.ai,nonwinner02.ai
,,nonwinner03.ai,nonwinner06.ai,nonwinner09.ai
,,nonwinner09.ai,nonwinner03.ai,nonwinner01.ai
,,nonwinner01.ai,nonwinner08.ai,nonwinner03.ai
,,nonwinner09.ai,nonwinner07.ai,nonwinner03.ai
,,nonwinner03.ai,nonwinner06.ai,nonwinner05.ai
,,nonwinner07.ai,nonwinner04.ai,nonwinner05.ai
4,playticket.ai,hold11.ai,hold41.ai,hold64.ai
,,nonwinner01.ai,nonwinner03.ai,nonwinner07.ai
,,nonwinner08.ai,nonwinner03.ai,nonwinner07.ai
,,nonwinner02.ai,nonwinner01.ai,nonwinner04.ai
,,nonwinner06.ai,nonwinner02.ai,nonwinner01.ai
,,nonwinner01.ai,nonwinner07.ai,nonwinner06.ai
,,nonwinner07.ai,nonwinner02.ai,nonwinner01.ai
,,nonwinner07.ai,nonwinner05.ai,nonwinner06.ai
,,nonwinner07.ai,nonwinner08.ai,nonwinner03.ai
,,nonwinner09.ai,nonwinner02.ai,nonwinner04.ai
15,playticket.ai,hold14.ai,hold55.ai,hold61.ai
,,nonwinner05.ai,nonwinner09.ai,nonwinner02.ai
,,nonwinner07.ai,nonwinner06.ai,nonwinner03.ai
,,nonwinner01.ai,nonwinner07.ai,nonwinner06.ai
,,nonwinner09.ai,nonwinner08.ai,nonwinner02.ai
,,nonwinner07.ai,nonwinner06.ai,nonwinner03.ai
,,nonwinner05.ai,nonwinner01.ai,nonwinner08.ai
,,nonwinner07.ai,nonwinner03.ai,nonwinner01.ai
,,nonwinner06.ai,nonwinner04.ai,nonwinner07.ai
,,nonwinner08.ai,nonwinner05.ai,nonwinner04.ai
,,nonwinner08.ai,nonwinner05.ai,nonwinner03.ai
,,nonwinner08.ai,nonwinner02.ai,nonwinner07.ai
,,nonwinner05.ai,nonwinner06.ai,nonwinner07.ai
,,nonwinner03.ai,nonwinner02.ai,nonwinner06.ai
,,nonwinner01.ai,nonwinner08.ai,nonwinner03.ai
,,nonwinner03.ai,nonwinner06.ai,nonwinner05.ai
,,nonwinner03.ai,nonwinner02.ai,nonwinner04.ai
,,nonwinner04.ai,nonwinner02.ai,nonwinner01.ai
,,nonwinner07.ai,nonwinner06.ai,nonwinner03.ai
,,nonwinner07.ai,nonwinner08.ai,nonwinner03.ai
,,nonwinner02.ai,nonwinner09.ai,nonwinner08.ai
,,nonwinner03.ai,nonwinner06.ai,nonwinner05.ai
,,nonwinner03.ai,nonwinner06.ai,nonwinner09.ai
,,nonwinner08.ai,nonwinner06.ai,nonwinner03.ai
,,nonwinner05.ai,nonwinner08.ai,nonwinner09.ai
,,nonwinner09.ai,nonwinner07.ai,nonwinner03.ai
,,nonwinner06.ai,nonwinner05.ai,nonwinner04.ai
,,nonwinner05.ai,nonwinner06.ai,nonwinner07.ai
,,nonwinner08.ai,nonwinner09.ai,nonwinner02.ai
,,nonwinner01.ai,nonwinner04.ai,nonwinner03.ai
,,nonwinner01.ai,nonwinner05.ai,nonwinner04.ai
,,nonwinner02.ai,nonwinner01.ai,nonwinner04.ai
,,nonwinner09.ai,nonwinner06.ai,nonwinner04.ai
,,nonwinner01.ai,nonwinner08.ai,nonwinner03.ai
,,nonwinner06.ai,nonwinner08.ai,nonwinner03.ai
,,nonwinner02.ai,nonwinner09.ai,nonwinner06.ai
